varga_id	kanda	theme_iast	theme_slp1	semdom_keywords	lemma_slp1	deva	iast	gloss	core_rank	card_href
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	agni	अग्नि	agni	agni m. (√ ag , Uṇ. ) fire, sacrificial fire (of three kinds, Gārhapatya, Āhavanīya, and Dakṣiṇa)	17	../../w/agni.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	indra	इन्द्र	indra	indra m. (for etym. as given by native authorities See Nir. x, 8 ; Sāy. on RV. i, 3, 4 ; Uṇ. ii, 28…	22	../../w/indra.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	bala	बल	bala	bala n. (or m. g. ardharcā di) power, strength, might, vigour, force, validity, RV. &c. &c. ( balāt…	30	../../w/bala.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	kAma	काम	kāma	kāma &c. See s.v.	42	../../w/k_41ma.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	muni	मुनि	muni	muni m. ( accord. to Uṇ. iv, 122 fr. √ man ) impulse, eagerness (?), RV. vii, 56, 8	55	../../w/muni.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	BUta	भूत	bhūta	bhūta mf( ā )n. become, been, gone, past ( n. the past), RV. &c. &c.	59	../../w/_42_55ta.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	vAta	वात	vāta	1. vāta mfn. (for 2. See ) blown &c.	80	../../w/v_41ta.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	rAma	राम	rāma	rāma mf( ā )n. ( prob. ‘causing rest’, and in most meanings fr. √ ram ) dark, dark-coloured, black…	81	../../w/r_41ma.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	prARa	प्राण	prāṇa	1. prāṇa mfn. (for 2. See .) filled, full, L.	91	../../w/pr_41_52a.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	Bagavat	भगवत्	bhagavat	bhagavat &c. See .	109	../../w/_42agavat.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	viDi	विधि	vidhi	1. vidhi m. (for 2. See ) a worshipper, one who does homage, AitBr.	136	../../w/vi_44i.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	vizRu	विष्णु	viṣṇu	viṣṇu m. ( prob. fr. √ viṣ , ‘All-pervader’ or ‘Worker’) N. of one of the principal Hindū deities (…	140	../../w/viz_52u.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	brahman	ब्रह्मन्	brahman	brahman n. ( lit. ‘growth’, ‘expansion’, ‘evolution’, ‘development’ ‘swelling of the spirit or soul…	141	../../w/brahman.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	vAyu	वायु	vāyu	1. vāyu m. ( fr. √ 2. vā ) wind, air (as one of the 5 elements; in MBh. 7 winds are reckoned), RV.…	161	../../w/v_41yu.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	ISvara	ईश्वर	īśvara	īśvara mfn. able to do, capable of (with gen. of Vedic inf. , or with common inf. ), liable, expose…	162	../../w/_49_53vara.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	div	दिव्	div	1. div cl. 1. P. -devati cl. 10. P. -devayati , to cause to lament, to pain, vex; to ask, beg; to g…	164	../../w/div.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	rudra	रुद्र	rudra	rudra mfn. ( prob. ) crying, howling, roaring, dreadful, terrific, terrible, horrible (applied to t…	177	../../w/rudra.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	vajra	वज्र	vajra	vajra m. n. ‘the hard or mighty one’, a thunderbolt ( esp. that of Indra, said to have been formed…	221	../../w/vajra.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	sura	सुर	sura	sura m. ( prob. fr. asura as if fr. a-sura and as sita fr. a-sita ; thought by some to be connected…	253	../../w/sura.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	svarga	स्वर्ग	svarga	svar—ga , see below.	269	../../w/svarga.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	asura	असुर	asura	asura mfn. (√ 2. as , Uṇ. ), spiritual, incorporeal, divine, RV. ; AV. ; VS.	271	../../w/asura.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	Sakra	शक्र	śakra	śakra mf( ā )n. strong, powerful, mighty (applied to various gods, but esp. to Indra), RV. ; AV. ;…	281	../../w/_53akra.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	devatA	देवता	devatā	deva—tā See devatā .	304	../../w/devat_41.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	vahni	वह्नि	vahni	vahni m. any animal that draws or bears along, a draught animal, horse, team, RV. ; AV. ; VS. ; TBr.	320	../../w/vahni.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	yama	यम	yama	yama m. a rein, curb, bridle, RV. v, 61, 2	330	../../w/yama.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	Aditya	आदित्य	āditya	1. āditya ( Pāṇ. iv, 1, 85 ), mfn. belonging to or coming from Aditi, TS. ii, 2, 6, 1 ; ŚBr. &c.	336	../../w/_41ditya.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	ganDarva	गन्धर्व	gandharva	gandharva as , m. a Gandharva [though in later times the Gandharvas are regarded as a class, yet in…	370	../../w/gan_44arva.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	Basman	भस्मन्	bhasman	bhasman mfn. chewing, devouring, consuming, pulverizing, RV. v, 19, 5 ; x, 115, 2	380	../../w/_42asman.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	laGu	लघु	laghu	laghu mf( vī , or u )n. (a later form of raghu , q.v. ) light, quick, swift, active, prompt, nimble…	405	../../w/la_47u.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	pitAmaha	पितामह	pitāmaha	pitā—maha m. a paternal grandfather, AV. &c. &c.	410	../../w/pit_41maha.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	nitya	नित्य	nitya	nitya mf( ā )n. ( fr. ni ; cf. ni-ja ) innate, native, MBh. iii, 13941	422	../../w/nitya.html
AK-1.1	1	svargavargaḥ	svargavargaH	Air; God; Supernatural being	padma	पद्म	padma	padma m. n. ( 2. or 3. pad ?) a lotus ( esp. the flower of the lotus-plant Nelumbium Speciosum whic…	435	../../w/padma.html
