synset_id	concept	gloss	wordnet21id	supersense	supersense_src	n_member_lemmas	n_tokens	member_lemmas_slp1	decode_src
104004	and	and			none	5	15931	ca|taTA|uta|tu|aDa	word-senses
129840	this	this (pron.)			none	4	12782	tad|idam|etad|enad	word-senses
97363	thus	in the way indicated; 'hold the brush so'; 'set up the pieces thus'; (`thusly' is a nonstandard variant)			none	8	4687	iti|evam|taTA|tadvat|itTam|eva|itTA|enA	word-senses
96750	not	negation of a word or group of words; 'he does not speak French'; 'she is not going'; 'they are not friends'; 'not many'; 'not much'; 'not at all'			none	6	4163	na|a|an|mA|no|nakir	word-senses
63556	mercury	a heavy silvery toxic univalent and bivalent metallic element; the only metal that is liquid at ordinary temperatures	14451	substance	direct	95	4001	rasa|sUta|pArada|sUtaka|rasendra|rasarAja|sUtarAja|sUtendra|mahArasa|sUtavara|rasavara|raseSvara|rasottama|harabIja|capala|mftasUta|SivabIja|rasendraka|sUtarAj|haraja|ISaja|rasaloha|sUtakendra|amfta	word-senses
97342	then	subsequently or soon afterward (often used as sentence connectors); 'then he left'; 'go left first, then right'; 'first came lightning, then thunder'; 'we watched the late movie and then went to bed'; 'and so home and to bed'			none	13	3986	tatas|tu|aTa|ca|tadA|tatra|atra|tad|atas|taTA|At|aDa|adya	word-senses
43009	Ramachandra	a hero in Hindu mythology; an incarnation of Vishnu	09394	person	direct	11	3975	rAma|rAGava|kAkutsTa|raGunandana|dASaraTi|BaratAgraja|rAmacandra|EkzvAka|raGUttama|dASaraTa|maDuhantf	word-senses
42992	Shiva	the Destroyer; one of the three major divinities in the later Hindu pantheon	09391	person	direct	780	3873	Siva|mahAdeva|maheSvara|SaMkara|pinAkin|hara|rudra|parameSvara|Sarva|giriSa|devadeva|umApati|SamBu|Bava|trilocana|BErava|Bagavant|kapardin|tryambaka|sTARu|nIlakaRWa|ISAna|nIlalohita|ISa	word-senses
96893	now	(prefatory or transitional) 'Now the next problem is...'			none	18	3729	tu|aTa|atra|tatra|atas|ca|idAnIm|samprati|tatas|u|aDunA|punar|aTo|nu|iha|taTA|aDa|sAMpratam	word-senses
46329	king	a male sovereign; ruler of a kingdom	10078	person	direct	117	3292	rAjan|nfpa|rAja|pArTiva|mahIpati|pati|nfpati|indra|aDipa|ISvara|narADipa|narendra|aDipati|deva|mahIpAla|BUpati|BUmipa|nATa|janeSvara|nareSvara|pfTivIpati|mahIkzit|naradeva|narapati	word-senses
79411	all(a)	quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class; 'we sat up all night'; 'ate all the food'; 'all men are mortal'; 'all parties are welcome'			none	12	3054	sarva|viSva|sakala|samasta|aKila|aSeza|niHSeza|niKila|kftsna|samagra|kevala|SaSvat	word-senses
