rank	lemma_slp1	deva	iast	gloss	core_rank	coverage_pct	cumulative_pct	lesson	card_href
1	kf	कृ	kṛ	1. kṛ Ved. I) cl. 2. P. 2. sg. karṣi du. kṛthas pl. kṛtha ; Ā. 2. sg. kṛṣe ; impf. 2. and 3. sg. ak…	1	0.991412	0.9914	1	../../w/kf.html
2	vac	वच्	vac	vac cl. 2. P. ( Dhātup. xxiv, 55 ) vakti (occurs only in sg. vacmi , vakṣi , vakti , and Impv. vakt…	2	0.929154	1.9206	1	../../w/vac.html
3	mahat	महत्	mahat	mahat mfn. ( orig. pr. p. of √ 1. mah ; strong form, mahānt f. mahatī ; in ep. often mahat for mahā…	4	0.748802	2.6694	1	../../w/mahat.html
4	as	अस्	as	1. as cl. 2. P. asti (2. sg. asi , 1. sg. asmi ; pl. smasi or smas , stha , santi ; (rarely Ā. , e.…	5	0.73065	3.4	1	../../w/as.html
5	rAjan	राजन्	rājan	1. rājan m. ( ifc. mostly m( -rāja ) , esp. in Tat-puruṣas; f( -rājan , ˚jā or ˚jñī ). ; cf. Pāṇ. i…	6	0.512523	3.9125	1	../../w/r_41jan.html
6	gam	गम्	gam	1. gam Ved. cl. 1. P. gamati ( Naigh. ; Subj. gamam , gamat [ gamātas , gamātha , AV. ], gamāma , g…	7	0.478229	4.3908	1	../../w/gam.html
7	Adi	आदि	ādi	1. ādi m. beginning, commencement	10	0.426142	4.8169	1	../../w/_41di.html
8	arTa	अर्थ	artha	artha m. n. [in RV. i - ix only n. ; in RV. x , six times n. and thrice m. ; in later Sanskṛt only…	11	0.376426	5.1933	1	../../w/ar_54a.html
9	Darma	धर्म	dharma	2. dharma Nom. P. ˚mati , to become, law, Vop.	12	0.346062	5.5394	1	../../w/_44arma.html
10	Atman	आत्मन्	ātman	ātman m. (variously derived fr. an , to breathe; at , to move; vā , to blow; cf. tman ) the breath,…	13	0.334451	5.8739	1	../../w/_41tman.html
11	putra	पुत्र	putra	putra m. ( etym. doubtful, perhaps fr. √ 2. puṣ ; traditionally said to be a comp. put-tra , ‘prese…	14	0.305317	6.1792	1	../../w/putra.html
12	loka	लोक	loka	loka m. (connected with roka ; in the oldest texts loka is generally preceded by u , which accord.…	16	0.294756	6.4739	1	../../w/loka.html
13	agni	अग्नि	agni	agni m. (√ ag , Uṇ. ) fire, sacrificial fire (of three kinds, Gārhapatya, Āhavanīya, and Dakṣiṇa)	17	0.290706	6.7646	1	../../w/agni.html
14	tva	त्व	tva	1. tva mfn. ( tvad ). one, several, RV.	18	0.287975	7.0526	1	../../w/tva.html
15	Sru	श्रु	śru	1. śru cl. 5. P. ( Dhātup. xxii, 44 ) śṛṇoti ( Ved. and ep. also Ā. śṛṇute , and in RV. 3. sg. śṛṇv…	19	0.282695	7.3353	1	../../w/_53ru.html
16	rasa	रस	rasa	rasa m. ( ifc. f( ā ). ) the sap or juice of plants, juice of fruit, any liquid or fluid, the best…	20	0.280474	7.6158	1	../../w/rasa.html
17	karman	कर्मन्	karman	karman n. ( ā m. , L. ), (√ kṛ , Uṇ. iv, 144 ), act, action, performance, business, RV. ; AV. ; ŚBr…	21	0.258782	7.8746	1	../../w/karman.html
18	indra	इन्द्र	indra	indra m. (for etym. as given by native authorities See Nir. x, 8 ; Sāy. on RV. i, 3, 4 ; Uṇ. ii, 28…	22	0.253591	8.1281	1	../../w/indra.html
19	brU	ब्रू	brū	brū cl. 2. P. Ā. ( Dhātup. xxiv, 35 ) bravīti , brūte (only pr. stem; the other forms are supplied…	24	0.238469	8.3666	1	../../w/br_55.html
20	sTA	स्था	sthā	1. sthā cl. 1. P. Ā. ( Dhātup. xxii, 30 ) tiṣṭhati , ˚te ( pf. tasthau , tasthe , RV. &c. &c.; aor.…	25	0.235649	8.6023	1	../../w/s_54_41.html
21	jan	जन्	jan	jan cl. 1. [ RV. ; AV. ] and cl. 10. janati , ˚te ( Subj. janat , RV. ; ˚nāt , AV. vi, 81, 3 ; Ā. ˚…	26	0.221337	8.8236	1	../../w/jan.html
22	rUpa	रूप	rūpa	rūpa n. (perhaps connected with varpa , varpas ; ifc. f.( ā ) , rarely ( ī )) any outward appearanc…	29	0.219267	9.0429	1	../../w/r_55pa.html
23	bala	बल	bala	bala n. (or m. g. ardharcā di) power, strength, might, vigour, force, validity, RV. &c. &c. ( balāt…	30	0.217257	9.2601	1	../../w/bala.html
24	tri	त्रि	tri	tri m. trayas f. nom. acc. tisras n. trīṇi [ trī , RV. ; ŚBr. xi ] 3 RV. &c. ( tribhis & tisṛbhis ,…	31	0.202525	9.4627	1	../../w/tri.html
25	raTa	रथ	ratha	1. ratha m. (√ 4. ṛ ) ‘goer’, a chariot, car, esp. a two-wheeled war-chariot (lighter and swifter t…	32	0.193134	9.6558	1	../../w/ra_54a.html
26	pitf	पितृ	pitṛ	pitṛ m. ( irreg. acc. pl. pitaras , MBh. ; gen. pl. pitṛṇām , BhP. ) a father, RV. &c. &c. (in the…	34	0.182362	9.8381	1	../../w/pitf.html
27	ah	अह्	ah	1. ah ( defect. verb, only perf. 3. sg. āha and 3. pl. āhuḥ , RV. ; AV. &c., 2. sg. āttha , ŚBr. xi…	35	0.179662	10.0178	1	../../w/ah.html
28	Pala	फल	phala	phala n. ( ifc. f( ā or ī ). ) fruit ( esp. of trees), RV. &c. &c.	36	0.179332	10.1971	1	../../w/_50ala.html
29	guRa	गुण	guṇa	guṇa m. (√ grah , Uṇ. ) a single thread or strand of a cord or twine ( e.g. tri-g˚ , q.v. ), string…	37	0.173421	10.3706	1	../../w/gu_52a.html
30	manas	मनस्	manas	manas n. mind (in its widest sense as applied to all the mental powers), intellect, intelligence, u…	38	0.16586	10.5364	1	../../w/manas.html
