period	period_key	lemma_slp1	lemma_iast	a6_count	tsv_count	delta	ratio	ratio_log2
до -800	1 -800	nAka	nāka	130	69	61	1.884	0.914
до -800	1 -800	vahni	vahni	127	74	53	1.716	0.779
до -800	1 -800	Satakratu	śatakratu	133	69	64	1.928	0.947
до -800	1 -800	viza	viṣa	119	84	35	1.417	0.503
до -800	1 -800	veDas	vedhas	129	81	48	1.593	0.671
до -800	1 -800	pftanA	pṛtanā	138	72	66	1.917	0.939
до -800	1 -800	kzar	kṣar	125	80	45	1.562	0.644
до -800	1 -800	cakz	cakṣ	126	73	53	1.726	0.787
до -800	1 -800	DAv	dhāv	123	81	42	1.519	0.603
до -800	1 -800	Iray	īray	122	70	52	1.743	0.801
до -800	1 -800	prAS	prāś	125	84	41	1.488	0.573
до -800	1 -800	avara	avara	130	52	78	2.500	1.322
до -800	1 -800	AyuDa	āyudha	128	71	57	1.803	0.850
до -800	1 -800	yAvat	yāvat	113	96	17	1.177	0.235
до -800	1 -800	tftIyasavana	tṛtīyasavana	127	114	13	1.114	0.156
до -800	1 -800	trizwuB	triṣṭubh	118	134	-16	0.881	-0.183
до -800	1 -800	miTuna	mithuna	122	104	18	1.173	0.230
до -800	1 -800	brahmacArin	brahmacārin	111	43	68	2.581	1.368
до -800	1 -800	brahmaRaspati	brahmaṇaspati	118	69	49	1.710	0.774
до -800	1 -800	aDI	adhī	109	28	81	3.893	1.961
до -800	1 -800	hiMs	hiṁs	123	68	55	1.809	0.855
до -800	1 -800	kaRva	kaṇva	123	71	52	1.732	0.793
до -800	1 -800	parjanya	parjanya	127	56	71	2.268	1.181
до -800	1 -800	yAman	yāman	129	74	55	1.743	0.802
до -800	1 -800	varza	varṣa	126	43	83	2.930	1.551
до -800	1 -800	Danvan	dhanvan	125	75	50	1.667	0.737
до -800	1 -800	naS	naś	124	127	-3	0.976	-0.034
до -800	1 -800	puz	puṣ	121	72	49	1.681	0.749
до -800	1 -800	stf	stṛ	111	75	36	1.480	0.566
до -800	1 -800	samfD	samṛdh	114	93	21	1.226	0.294
до -800	1 -800	parAYc	parāñc	128	100	28	1.280	0.356
до -800	1 -800	apas	apas	134	98	36	1.367	0.451
до -800	1 -800	annAdya	annādya	125	135	-10	0.926	-0.111
до -800	1 -800	udgITa	udgītha	127	9	118	14.111	3.819
до -800	1 -800	vid	vid	124	1574	-1450	0.079	-3.666
до -800	1 -800	brahmavarcasa	brahmavarcasa	124	71	53	1.746	0.804
до -800	1 -800	Buj	bhuj	108	66	42	1.636	0.710
до -800	1 -800	SA	śā	123	70	53	1.757	0.813
до -800	1 -800	Suc	śuc	122	98	24	1.245	0.316
до -800	1 -800	Sam	śam	94	284	-190	0.331	-1.595
до -800	1 -800	kumAra	kumāra	121	32	89	3.781	1.919
до -800	1 -800	DIra	dhīra	122	72	50	1.694	0.761
до -800	1 -800	tura	tura	120	67	53	1.791	0.841
до -800	1 -800	tvac	tvac	122	67	55	1.821	0.865
до -800	1 -800	sTira	sthira	124	47	77	2.638	1.400
до -800	1 -800	maya	maya	133	42	91	3.167	1.663
до -800	1 -800	Sarad	śarad	130	53	77	2.453	1.294
до -800	1 -800	kziti	kṣiti	128	77	51	1.662	0.733
до -800	1 -800	yu	yu	122	94	28	1.298	0.376
до -800	1 -800	prI	prī	115	70	45	1.643	0.716
до -800	1 -800	AviS	āviś	105	50	55	2.100	1.070
до -800	1 -800	Ahf	āhṛ	117	57	60	2.053	1.037
до -800	1 -800	upasTA	upasthā	99	40	59	2.475	1.307
до -800	1 -800	Bara	bhara	127	76	51	1.671	0.741
до -800	1 -800	gaRa	gaṇa	121	80	41	1.512	0.597
до -800	1 -800	rAD	rādh	112	81	31	1.383	0.468
до -800	1 -800	keSa	keśa	123	27	96	4.556	2.188
до -800	1 -800	agnihotra	agnihotra	117	69	48	1.696	0.762
до -800	1 -800	BUyas	bhūyas	120	88	32	1.364	0.447
до -800	1 -800	nivid	nivid	119	94	25	1.266	0.340
до -800	1 -800	marutvat	marutvat	117	72	45	1.625	0.700
до -800	1 -800	DAtf	dhātṛ	105	57	48	1.842	0.881
до -800	1 -800	vAra	vāra	122	133	-11	0.917	-0.125
до -800	1 -800	Aji	āji	123	84	39	1.464	0.550
до -800	1 -800	izu	iṣu	120	77	43	1.558	0.640
до -800	1 -800	yAtuDAna	yātudhāna	119	67	52	1.776	0.829
до -800	1 -800	pASa	pāśa	121	57	64	2.123	1.086
до -800	1 -800	SacI	śacī	107	65	42	1.646	0.719
до -800	1 -800	gAtu	gātu	127	71	56	1.789	0.839
до -800	1 -800	jU	jū	125	84	41	1.488	0.573
до -800	1 -800	vyaD	vyadh	122	64	58	1.906	0.931
до -800	1 -800	vaD	vadh	111	64	47	1.734	0.794
до -800	1 -800	Garma	gharma	122	70	52	1.743	0.801
до -800	1 -800	yakzma	yakṣma	126	65	61	1.938	0.955
до -800	1 -800	rocana	rocana	122	69	53	1.768	0.822
до -800	1 -800	dyumat	dyumat	120	65	55	1.846	0.885
до -800	1 -800	suzwuti	suṣṭuti	113	64	49	1.766	0.820
до -800	1 -800	sru	sru	101	68	33	1.485	0.571
до -800	1 -800	atri	atri	112	67	45	1.672	0.741
до -800	1 -800	aDvan	adhvan	120	63	57	1.905	0.930
до -800	1 -800	anIka	anīka	123	64	59	1.922	0.943
до -800	1 -800	arAti	arāti	108	83	25	1.301	0.380
до -800	1 -800	indriya	indriya	112	124	-12	0.903	-0.147
до -800	1 -800	tigma	tigma	112	65	47	1.723	0.785
до -800	1 -800	senA	senā	108	61	47	1.770	0.824
до -800	1 -800	havizmat	haviṣmat	118	65	53	1.815	0.860
до -800	1 -800	sAnu	sānu	117	65	52	1.800	0.848
до -800	1 -800	vfjana	vṛjana	124	63	61	1.968	0.977
до -800	1 -800	krand	krand	114	61	53	1.869	0.902
до -800	1 -800	aMSu	aṁśu	115	61	54	1.885	0.915
до -800	1 -800	BrAtf	bhrātṛ	115	54	61	2.130	1.091
до -800	1 -800	ftvij	ṛtvij	113	59	54	1.915	0.938
до -800	1 -800	DUma	dhūma	115	33	82	3.485	1.801
до -800	1 -800	vArya	vārya	106	74	32	1.432	0.518
до -800	1 -800	revat	revat	109	70	39	1.557	0.639
до -800	1 -800	janman	janman	114	75	39	1.520	0.604
до -800	1 -800	diva	diva	111	116	-5	0.957	-0.064
до -800	1 -800	banDu	bandhu	113	65	48	1.738	0.798
до -800	1 -800	praT	prath	113	60	53	1.883	0.913
до -800	1 -800	ram	ram	112	51	61	2.196	1.135
до -800	1 -800	tarpay	tarpay	82	20	62	4.100	2.036
до -800	1 -800	apI	apī	87	41	46	2.122	1.085
до -800	1 -800	nO	nau	117	60	57	1.950	0.963
до -800	1 -800	pad	pad	118	104	14	1.135	0.182
до -800	1 -800	acyuta	acyuta	92	58	34	1.586	0.666
до -800	1 -800	saDasTa	sadhastha	114	63	51	1.810	0.856
до -800	1 -800	azwan	aṣṭan	105	71	34	1.479	0.564
до -800	1 -800	ukTya	ukthya	93	77	16	1.208	0.272
до -800	1 -800	yajatra	yajatra	108	62	46	1.742	0.801
до -800	1 -800	vasizWa	vasiṣṭha	102	77	25	1.325	0.406
до -800	1 -800	pAra	pāra	113	61	52	1.852	0.889
до -800	1 -800	pracetas	pracetas	110	66	44	1.667	0.737
до -800	1 -800	karRa	karṇa	110	50	60	2.200	1.138
до -800	1 -800	tveza	tveṣa	109	59	50	1.847	0.886
до -800	1 -800	vraja	vraja	110	58	52	1.897	0.923
до -800	1 -800	mfga	mṛga	109	66	43	1.652	0.724
до -800	1 -800	kﾱp	kﾱp	101	0	101	inf	inf
до -800	1 -800	jinv	jinv	107	89	18	1.202	0.266
до -800	1 -800	jf	jṛ	105	80	25	1.312	0.392
до -800	1 -800	jAgf	jāgṛ	104	60	44	1.733	0.794
до -800	1 -800	devay	devay	111	61	50	1.820	0.864
до -800	1 -800	sampad	sampad	102	43	59	2.372	1.246
до -800	1 -800	kfzwi	kṛṣṭi	107	62	45	1.726	0.787
до -800	1 -800	arDa	ardha	107	94	13	1.138	0.187
до -800	1 -800	mAruta	māruta	112	72	40	1.556	0.637
до -800	1 -800	sOBaga	saubhaga	97	59	38	1.644	0.717
до -800	1 -800	samrAj	samrāj	105	48	57	2.188	1.129
до -800	1 -800	heti	heti	111	71	40	1.563	0.645
до -800	1 -800	SAs	śās	109	66	43	1.652	0.724
до -800	1 -800	trA	trā	101	59	42	1.712	0.776
до -800	1 -800	pratipad	pratipad	96	107	-11	0.897	-0.157
до -800	1 -800	prAtaHsavana	prātaḥsavana	114	90	24	1.267	0.341
до -800	1 -800	harivat	harivat	114	66	48	1.727	0.788
до -800	1 -800	pA	pā	115	992	-877	0.116	-3.109
до -800	1 -800	koSa	kośa	111	53	58	2.094	1.066
до -800	1 -800	maDyama	madhyama	111	59	52	1.881	0.912
до -800	1 -800	UDas	ūdhas	106	58	48	1.828	0.870
до -800	1 -800	enas	enas	107	67	40	1.597	0.675
до -800	1 -800	sADu	sādhu	107	38	69	2.816	1.494
до -800	1 -800	pradiS	pradiś	110	60	50	1.833	0.874
до -800	1 -800	dAsa	dāsa	108	71	37	1.521	0.605
до -800	1 -800	as	as	101	2847	-2746	0.035	-4.817
до -800	1 -800	pac	pac	110	71	39	1.549	0.632
до -800	1 -800	apahan	apahan	95	95	0	1.000	0.000
до -800	1 -800	SrI	śrī	100	230	-130	0.435	-1.202
до -800	1 -800	Asad	āsad	90	61	29	1.475	0.561
до -800	1 -800	prajan	prajan	96	87	9	1.103	0.142
до -800	1 -800	saMhitA	saṁhitā	80	0	80	inf	inf
до -800	1 -800	antara	antara	107	34	73	3.147	1.654
до -800	1 -800	kAru	kāru	101	57	44	1.772	0.825
до -800	1 -800	mahas	mahas	107	61	46	1.754	0.811
до -800	1 -800	navan	navan	91	82	9	1.110	0.150
до -800	1 -800	arcis	arcis	110	42	68	2.619	1.389
до -800	1 -800	rAzwra	rāṣṭra	107	89	18	1.202	0.266
до -800	1 -800	vAma	vāma	96	79	17	1.215	0.281
до -800	1 -800	mAnuza	mānuṣa	103	142	-39	0.725	-0.463
до -800	1 -800	jIva	jīva	103	70	33	1.471	0.557
до -800	1 -800	dEva	daiva	102	42	60	2.429	1.280
до -800	1 -800	pAvaka	pāvaka	103	92	11	1.120	0.163
до -800	1 -800	darSata	darśata	104	54	50	1.926	0.946
до -800	1 -800	brAhmaRa	brāhmaṇa	78	221	-143	0.353	-1.503
до -800	1 -800	BA	bhā	103	51	52	2.020	1.014
до -800	1 -800	yuD	yudh	105	99	6	1.061	0.085
до -800	1 -800	utkram	utkram	92	26	66	3.538	1.823
до -800	1 -800	adabDa	adabdha	102	54	48	1.889	0.918
до -800	1 -800	kalaSa	kalaśa	108	63	45	1.714	0.778
до -800	1 -800	kAvya	kāvya	97	69	28	1.406	0.491
до -800	1 -800	aBizwi	abhiṣṭi	99	58	41	1.707	0.771
до -800	1 -800	maDyaMdina	madhyaṁdina	102	69	33	1.478	0.564
до -800	1 -800	mahadvat	mahadvat	65	17	48	3.824	1.935
до -800	1 -800	indrAvaruRa	indrāvaruṇa	92	56	36	1.643	0.716
до -800	1 -800	vareRya	vareṇya	102	55	47	1.855	0.891
до -800	1 -800	bfhant	bṛhant	96	137	-41	0.701	-0.513
до -800	1 -800	prajYA	prajñā	77	54	23	1.426	0.512
до -800	1 -800	dru	dru	100	77	23	1.299	0.377
до -800	1 -800	naS	naś	86	127	-41	0.677	-0.562
до -800	1 -800	pfc	pṛc	109	59	50	1.847	0.886
до -800	1 -800	aBivad	abhivad	85	56	29	1.518	0.602
до -800	1 -800	catuzpada	catuṣpada	99	53	46	1.868	0.901
до -800	1 -800	sadas	sadas	104	64	40	1.625	0.700
до -800	1 -800	nitya	nitya	92	37	55	2.486	1.314
до -800	1 -800	yuvan	yuvan	100	109	-9	0.917	-0.124
до -800	1 -800	vIruD	vīrudh	100	59	41	1.695	0.761
до -800	1 -800	poza	poṣa	109	56	53	1.946	0.961
до -800	1 -800	prajAvat	prajāvat	99	51	48	1.941	0.957
до -800	1 -800	prayas	prayas	98	55	43	1.782	0.833
до -800	1 -800	nam	nam	100	63	37	1.587	0.667
до -800	1 -800	nizad	niṣad	100	61	39	1.639	0.713
до -800	1 -800	tuvi	tuvi	105	59	46	1.780	0.832
до -800	1 -800	paRi	paṇi	102	53	49	1.925	0.945
до -800	1 -800	martya	martya	104	216	-112	0.481	-1.054
до -800	1 -800	DfzRu	dhṛṣṇu	100	54	46	1.852	0.889
до -800	1 -800	yuga	yuga	98	51	47	1.922	0.942
до -800	1 -800	mAMsa	māṁsa	92	35	57	2.629	1.394
до -800	1 -800	daDi	dadhi	97	23	74	4.217	2.076
до -800	1 -800	kzetra	kṣetra	97	60	37	1.617	0.693
до -800	1 -800	dasra	dasra	101	57	44	1.772	0.825
до -800	1 -800	vAjay	vājay	101	56	45	1.804	0.851
до -800	1 -800	aGa	agha	85	81	4	1.049	0.070
до -800	1 -800	maDu	madhu	103	399	-296	0.258	-1.954
до -800	1 -800	Sloka	śloka	82	34	48	2.412	1.270
до -800	1 -800	nava	nava	91	49	42	1.857	0.893
до -800	1 -800	yuvan	yuvan	95	109	-14	0.872	-0.198
до -800	1 -800	yajata	yajata	100	54	46	1.852	0.889
до -800	1 -800	dvezas	dveṣas	98	53	45	1.849	0.887
до -800	1 -800	homa	homa	88	13	75	6.769	2.759
до -800	1 -800	SIrzan	śīrṣan	96	58	38	1.655	0.727
до -800	1 -800	grAma	grāma	90	35	55	2.571	1.363
до -800	1 -800	AgA	āgā	96	48	48	2.000	1.000
до -800	1 -800	mand	mand	96	53	43	1.811	0.857
до -800	1 -800	aktu	aktu	98	52	46	1.885	0.914
до -800	1 -800	parvan	parvan	95	35	60	2.714	1.441
до -800	1 -800	zazWa	ṣaṣṭha	100	106	-6	0.943	-0.084
до -800	1 -800	vAra	vāra	102	133	-31	0.767	-0.383
до -800	1 -800	citta	citta	92	42	50	2.190	1.131
до -800	1 -800	hUti	hūti	77	53	24	1.453	0.539
до -800	1 -800	Adi	ādi	92	8	84	11.500	3.524
до -800	1 -800	vaSA	vaśā	86	78	8	1.103	0.141
до -800	1 -800	vAjasAti	vājasāti	92	54	38	1.704	0.769
до -800	1 -800	mahiza	mahiṣa	100	54	46	1.852	0.889
до -800	1 -800	tAvat	tāvat	97	62	35	1.565	0.646
до -800	1 -800	dama	dama	95	62	33	1.532	0.616
до -800	1 -800	savya	savya	78	27	51	2.889	1.531
до -800	1 -800	mUla	mūla	94	26	68	3.615	1.854
до -800	1 -800	vap	vap	97	39	58	2.487	1.315
до -800	1 -800	avaruD	avarudh	88	124	-36	0.710	-0.495
до -800	1 -800	Aruh	āruh	91	47	44	1.936	0.953
до -800	1 -800	pratizWApay	pratiṣṭhāpay	71	65	6	1.092	0.127
до -800	1 -800	jagant	jagant	95	56	39	1.696	0.763
до -800	1 -800	samBf	sambhṛ	90	64	26	1.406	0.492
до -800	1 -800	jA	jā	101	74	27	1.365	0.449
до -800	1 -800	paYcama	pañcama	90	68	22	1.324	0.404
до -800	1 -800	nfmRa	nṛmṇa	98	52	46	1.885	0.914
до -800	1 -800	samad	samad	93	52	41	1.788	0.839
до -800	1 -800	fzva	ṛṣva	94	53	41	1.774	0.827
до -800	1 -800	tfRa	tṛṇa	92	23	69	4.000	2.000
до -800	1 -800	sUra	sūra	94	59	35	1.593	0.672
до -800	1 -800	sahasrin	sahasrin	89	50	39	1.780	0.832
до -800	1 -800	sAvitrI	sāvitrī	86	35	51	2.457	1.297
до -800	1 -800	SiSu	śiśu	92	62	30	1.484	0.569
до -800	1 -800	coday	coday	86	52	34	1.654	0.726
до -800	1 -800	vand	vand	95	51	44	1.863	0.897
до -800	1 -800	ABf	ābhṛ	89	54	35	1.648	0.721
до -800	1 -800	prajYA	prajñā	83	54	29	1.537	0.620
до -800	1 -800	praRI	praṇī	92	56	36	1.643	0.716
до -800	1 -800	mah	mah	92	423	-331	0.217	-2.201
до -800	1 -800	Bojana	bhojana	83	37	46	2.243	1.166
до -800	1 -800	nakta	nakta	86	50	36	1.720	0.782
до -800	1 -800	ASis	āśis	96	50	46	1.920	0.941
до -800	1 -800	mahitva	mahitva	94	50	44	1.880	0.911
до -800	1 -800	hotrA	hotrā	85	53	32	1.604	0.681
до -800	1 -800	yat	yat	99	1773	-1674	0.056	-4.163
до -800	1 -800	gamay	gamay	83	49	34	1.694	0.760
до -800	1 -800	Dfz	dhṛṣ	91	54	37	1.685	0.753
до -800	1 -800	saMskf	saṁskṛ	77	31	46	2.484	1.313
до -800	1 -800	sapary	sapary	90	47	43	1.915	0.937
до -800	1 -800	Bfgu	bhṛgu	84	54	30	1.556	0.637
до -800	1 -800	arizwa	ariṣṭa	85	51	34	1.667	0.737
до -800	1 -800	maha	maha	89	54	35	1.648	0.721
до -800	1 -800	carman	carman	93	28	65	3.321	1.732
до -800	1 -800	mADyaMdina	mādhyaṁdina	91	79	12	1.152	0.204
до -800	1 -800	dfQa	dṛḍha	92	52	40	1.769	0.823
до -800	1 -800	dviz	dviṣ	77	291	-214	0.265	-1.918
до -800	1 -800	tavas	tavas	95	51	44	1.863	0.897
до -800	1 -800	brahmacarya	brahmacarya	77	24	53	3.208	1.682
до -800	1 -800	vartay	vartay	91	50	41	1.820	0.864
до -800	1 -800	Sram	śram	71	45	26	1.578	0.658
до -800	1 -800	AnI	ānī	82	11	71	7.455	2.898
до -800	1 -800	pare	pare	89	59	30	1.508	0.593
до -800	1 -800	Dur	dhur	93	53	40	1.755	0.811
до -800	1 -800	raTI	rathī	90	58	32	1.552	0.634
до -800	1 -800	aTarvan	atharvan	79	51	28	1.549	0.631
до -800	1 -800	parRa	parṇa	92	39	53	2.359	1.238
до -800	1 -800	fzaBa	ṛṣabha	93	47	46	1.979	0.985
до -800	1 -800	meDa	medha	92	64	28	1.438	0.524
до -800	1 -800	trita	trita	83	48	35	1.729	0.790
до -800	1 -800	jIra	jīra	96	49	47	1.959	0.970
до -800	1 -800	tanaya	tanaya	96	70	26	1.371	0.456
до -800	1 -800	svizwakft	sviṣṭakṛt	80	14	66	5.714	2.515
до -800	1 -800	ganDa	gandha	83	20	63	4.150	2.053
до -800	1 -800	virAj	virāj	83	134	-51	0.619	-0.691
до -800	1 -800	puRya	puṇya	88	29	59	3.034	1.601
до -800	1 -800	dAna	dāna	89	56	33	1.589	0.668
до -800	1 -800	dAnu	dānu	69	57	12	1.211	0.276
до -800	1 -800	KyA	khyā	90	47	43	1.915	0.937
до -800	1 -800	izay	iṣay	94	49	45	1.918	0.940
до -800	1 -800	anubrU	anubrū	80	42	38	1.905	0.930
до -800	1 -800	navyas	navyas	89	48	41	1.854	0.891
до -800	1 -800	adrivat	adrivat	87	49	38	1.776	0.828
до -800	1 -800	anfta	anṛta	89	56	33	1.589	0.668
до -800	1 -800	raTaMtara	rathaṁtara	83	131	-48	0.634	-0.658
до -800	1 -800	ruSat	ruśat	89	47	42	1.894	0.921
до -800	1 -800	meDA	medhā	82	43	39	1.907	0.931
до -800	1 -800	yavizWa	yaviṣṭha	89	47	42	1.894	0.921
до -800	1 -800	vidyA	vidyā	91	11	80	8.273	3.048
