lemma_slp1	layer	sense_id	sense_gloss	count_estimated	method	confidence	provenance
tad	mw	tad#14	tad yad tad whosoever, whichsoever, any, every (also with vA , Mn. xii, 68 [ yad vA tad vA , ‘this o	185938	mfs	0.9878	estimated
ca	mw	ca#2	2. ca ind. and, both, also, moreover, as well as (= τε , Lat. que , placed like these particles as a	158622	mfs	0.9792	estimated
iti	mw	iti#4	‘and so forth’ ( iti ce ti ca , ‘thus and thus’, ‘in this and that manner’), MBh.	75769	mfs	0.9985	estimated
eva	mw	eva#2	indeed, truly, really (often at the beginning of a verse in conjunction with other particles, as id 	62754	mfs	0.983	estimated
mad	mw	mad#1	1. mad base of the first pers. pron. in the sg. number ( esp. in comp. )	62445	mfs	0.9721	estimated
yad	mw	yad#1	ya/d ( nom. and acc. sg. n. and base in comp. of 3. ya ), who, which, what, whichever, whatever, tha	61116	mfs	1.0	estimated
na	mw	na#1	1. na the dental nasal (found at the beginning of words and before or after dental consonants as wel	60119	mfs	1.0	estimated
idam	mw	idam#1	1. ida/m aya/m , iya/m , ida/m ( fr. id , Uṇ. iv, 156 ; g. sarvA di , Pāṇ. i, 1, 27 ; Vop. ; a kind 	49721	mfs	0.9	estimated
etad	mw	etad#4	but sometimes the neuter sing. remains ( e.g. etad guruzu vfttiH , this is the custom among Guru s, 	41140	mfs	1.0	estimated
BU	mw	BU#3	to become, be (with nom. , or adv. or indecl. words ending in I or U cf. kfzRI-√ BU &c.), arise, com	39827	mfs	0.7974	estimated
kf	mw	kf#49	to cause to manufacture or form or cultivate, Lāṭy. ; Yājñ. ii, 158 ; MBh. &c.;	37250	mfs	0.7504	estimated
api	mw	api#4	(As a separable adv. ) and, also, moreover, besides, assuredly, surely	35622	mfs	0.8532	estimated
sarva	mw	sarva#9	sarva [ cf. Gk. ὅλος for ὁλϝος Lat. salvus .]	34362	mfs	0.7179	estimated
as	mw	as#11	to be ( i.e. used as copula, but not only with adj. , but also with adv. [ e.g. tUzRIm AsIt , MBh. i	33945	mfs	0.7264	estimated
tu	mw	tu#8	2. tu/ ind. (never found at the beginning of a sentence or verse; metrically also tU/ , RV. ; cf. Pā	33540	mfs	0.9981	estimated
vac	mw	vac#3	to speak, say, tell, utter, announce, declare, mention, proclaim, recite, describe (with acc. with o	31776	mfs	0.7685	estimated
mahat	mw	mahat#1	maha/t mfn. ( orig. pr. p. of √ 1. mah ; strong form, mahAnt f. mahatI/ ; in ep. often mahat for mah	26142	mfs	0.9007	estimated
hi	mw	hi#14	2. hi/ ind. (used as a particle [ cf. ha and Ga ] and usually denoting) for, because, on account of 	23770	mfs	0.6613	estimated
vA	mw	vA#6	either-or not, optionally, KātyŚr. ; Mn. &c. (in gram. vA is used in a rule to denote its being opti	23303	mfs	0.6968	estimated
vE	mw	vE#4	2. vE/ ind. a particle of emphasis and affirmation, generally placed after a word and laying stress 	22942	mfs	1.0	estimated
taTA	mw	taTA#8	ta/˚TA hi ( g. svar-Adi ) for so, for thus (it has been said), for instance, Ragh. ; Śak. &c.	22921	mfs	0.9328	estimated
tatas	mw	tatas#20	ta/˚to 'param afterwards, at another time, AitBr. vii, 17, 4	22437	mfs	0.439	estimated
aTa	mw	aTa#2	now; then; moreover; rather; certainly; but; else; what? how else? &c.	21831	mfs	0.9987	estimated
deva	mw	deva#4	( pl. the gods as the heavenly or shining ones; vi/Sve devA/s , all the gods, RV. ii, 3, 4 &c., or a	21631	mfs	0.7628	estimated
iva	mw	iva#4	nearly, almost, about ( e.g. muhUrtam iva , almost an hour)	20004	mfs	0.5714	estimated
rAjan	mw	rAjan#1	1. rAjan m. ( ifc. mostly m( -rAja ) , esp. in Tat-puruṣa s; f( -rAjan , ˚jA or ˚jYI ). ; cf. Pāṇ. i	17854	mfs	0.994	estimated
agni	mw	agni#9	(also) = next [ agni-kzetra the place for the fire-altar], ĀpŚr.	17465	mfs	0.9963	estimated
gam	mw	gam#3	to go, move, go away, set out, come, RV. &c.;	16911	mfs	0.5121	estimated
evam	mw	evam#5	sameness of manner (thus)	15656	mfs	0.9992	estimated
a	mw	a#1	1. a the first letter of the alphabet	14674	mfs	0.9942	estimated
dfS	mw	dfS#23	df/S f. sight, view ( dat. dfSe/ as inf. cf. √ 1. dfS )	14259	mfs	0.8787	estimated
tatra	mw	tatra#2	in that place, there (in comp. Pāṇ. ii, 1, 46 ), RV. &c.	14186	mfs	0.946	estimated
sa	mw	sa#13	6. sa/ the actual base for the nom. case of the 3rd pers. pron. ta/d , q.v. (occurring only in the n	13926	mfs	0.5	estimated
ka	mw	ka#1	1. ka the first consonant of the alphabet, and the first guttural letter (corresponding in sound to 	13754	mfs	0.5319	estimated
yaTA	mw	yaTA#1	ya/TA ind. (in Veda also unaccented; fr. 3. ya , correlative of ta/TA ) in which manner or way, acco	13662	mfs	0.9315	estimated
Adi	mw	Adi#3	ifc. beginning with, et caetera et cætera , and so on ( e.g. indrA dayaH surAH , the gods beginning 	13296	mfs	0.8571	estimated
Atman	mw	Atman#3	the individual soul, self, abstract individual [ e.g. Atma/n ( Ved. loc. ) Datte , or karoti , ‘he p	12889	mfs	0.527	estimated
vid	mw	vid#7	to wish to know, inquire about ( acc. ), ŚBr. ; MBh. :	12887	mfs	0.7817	estimated
loka	mw	loka#4	the wide space or world (either ‘the universe’ or ‘any division of it’, esp. ‘the sky or heaven’; 3 	12833	mfs	0.6581	estimated
su	mw	su#14	5. su/ ind. ( opp. to dus and corresponding in sense to Gk. εὖ ; perhaps connected with 1. va/su , a	12719	mfs	0.9992	estimated
arTa	mw	arTa#13	sense, meaning, notion ( cf. arTa-SabdO and arTAt s.v. below and vedatattvA rTa-vid )	12536	mfs	0.5589	estimated
eka	mw	eka#12	e/ka n. unity, a unit ( ifc. ), Hcat.	11929	mfs	0.8307	estimated
