card	lemma_slp1	group_id	status	shape	method	score	witnesses	flags	failure_class	pwg_sense_ids	pwg_gloss	mw_sense_ids	mw_gloss	apte_sense_ids	apte_gloss	md_sense_ids	md_gloss	skd_sense_ids	skd_gloss	vcp_sense_ids	vcp_gloss	note	stratum	stratum_eligible	population_share	synthetic
C001	drAvaka	drAvaka#1	aligned	0-1-1-0-0-0	gloss	1.000						mw:97807:1	a thief	ap90:15808:9	4 A thief							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss	1320	0.192420	no
C002	ci	ci#6	aligned	0-1-1-0-0-0	gloss	0.500						mw:73362:3	to fix the gaze upon, be intent upon	ap90:13280:10	3 To be intent upon							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|gloss	1273	0.185569	no
C003	vikawa	vikawa#3	aligned	0-1-1-0-0-0	gloss	1.000						mw:193799:1	large-toothed	ap90:25606:10	9 Large-toothed							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss	1320	0.192420	no
C004	SacI	SacI#2	aligned	1-1-1-0-0-0	gloss+ls	0.500	mbh r			pwg:97392:6	Gattin	mw:211711:1	N. of the wife of Indra (derived fr. , q.v. ), ; &amp;c	ap90:27561.1:1	f. N. of the wife of Indra							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|gloss+ls	350	0.051020	no
C005	loha	loha#7	aligned	1-1-0-0-0-0	ls	0.500	vs			pwg:86923:3	röthliches Metall, Kupfer; Eisen; Metall; Metalle; dunkles und rothes Metall, Eisen und Kupfer; Gold; Eisen; ein aus Eisen gemachter Gegenstand; in kupfernen und eisernen Behältern; eiserner Haken	mw:183783:1	m. n. red metal, copper, &amp;c. &amp;c									shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|ls	1600	0.233236	no
C006	malimluca	malimluca#1	aligned	1-1-0-0-0-0	ls	1.000	naigh rajat			pwg:58094:2	(der sich versteckt, im Dunkeln sein Wesen [Page5-0601] treibt) Dieb, Räuber	mw:158841:1	m. a thief, robber, ( )									shared literary witness, weighted 1/df within the lemma	hi >=0.70|ls	538	0.078426	no
C007	kAhala	kAhala#3	aligned	0-1-1-0-0-0	gloss	1.000						mw:50144:1	dry, withered	ap90:10891:2	1 Dry, withered							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss	1320	0.192420	no
C008	nI	nI#5	aligned	1-1-0-0-0-0	ls	0.500	nais			pwg:40379:146	hervorbringen, bewerkstelligen, ausführen, vollbringen, vollführen; anwenden; gethan, vollbracht; zubereitet	mw:111189:18	to wish to spend or pass (time)									shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|ls	1600	0.233236	no
C009	piRqaka	piRqaka#1	aligned	1-1-0-0-0-0	ls	0.833	hariv susr			pwg:45140:2	Klumpen, Kloss; rundliche Hervorragung, Knöpfchen; die Ballen auf der Stirn eines brünstigen Elephanten	mw:123882:1	m. n. a lump, ball, knob									shared literary witness, weighted 1/df within the lemma	hi >=0.70|ls	538	0.078426	no
C010	kal	kal#8	aligned	0-1-1-0-0-0	gloss	0.429						mw:45581:9	to observe, perceive, take notice of	ap90:10456:7	4 To know, understand, observe, take notice of, think of							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|gloss	1273	0.185569	no
C011	vfzan	vfzan#4	aligned	1-1-0-0-0-0	ls	0.333	laty			pwg:95009:10	f. Schol. zu	mw:205065:1	n. N. of a Sāman									shared literary witness, weighted 1/df within the lemma	lo <0.40|ls	722	0.105248	no
C012	kAla	kAla#15	aligned	0-1-1-0-0-0	gloss	0.750						mw:49365:1	measure of time, prosody	ap90:10822:18	14 A measure of time (in music or prosody)							shared literary witness, weighted 1/df within the lemma	hi >=0.70|gloss	1320	0.192420	no
