card	group_id	lemma_slp1	method	score	stratum	population_share	verdict	near_miss	note
C001	drAvaka#1	drAvaka	gloss	1.000	hi >=0.70|gloss	0.192420	same	no	
C002	ci#6	ci	gloss	0.500	mid 0.40-0.69|gloss	0.185569	same	no	
C003	vikawa#3	vikawa	gloss	1.000	hi >=0.70|gloss	0.192420	same	no	
C004	SacI#2	SacI	gloss+ls	0.500	mid 0.40-0.69|gloss+ls	0.051020	same	no	PWG gloss truncated to 'Gattin'; MW/Apte both Indra's wife
C005	loha#7	loha	ls	0.500	mid 0.40-0.69|ls	0.233236	same	no	
C006	malimluca#1	malimluca	ls	1.000	hi >=0.70|ls	0.078426	same	no	
C007	kAhala#3	kAhala	gloss	1.000	hi >=0.70|gloss	0.192420	same	no	
C008	nI#5	nI	ls	0.500	mid 0.40-0.69|ls	0.233236	different	no	PWG 'hervorbringen/vollbringen' (accomplish) vs MW desiderative 'to wish to spend time'
C009	piRqaka#1	piRqaka	ls	0.833	hi >=0.70|ls	0.078426	same	no	
C010	kal#8	kal	gloss	0.429	mid 0.40-0.69|gloss	0.185569	same	no	
C011	vfzan#4	vfzan	ls	0.333	lo <0.40|ls	0.105248	unsure	no	PWG gloss is a contentless scholium stub ('f. Schol. zu'); gender f. vs MW n. — nothing to compare
C012	kAla#15	kAla	gloss	0.750	hi >=0.70|gloss	0.192420	same	no	
C013	saMtAnaka#2	saMtAnaka	ls	0.333	lo <0.40|ls	0.105248	different	no	PWG: a mother in Skanda's retinue vs MW: a tree of Indra's heaven
C014	pura#3	pura	gloss	1.000	hi >=0.70|gloss	0.192420	different	yes	both sides are compositional stubs ('in comp. for' / 'Comp'); an alignment of two non-senses
C015	hastin#3	hastin	gloss	0.667	mid 0.40-0.69|gloss	0.185569	different	yes	MW: the elephant itself vs Apte: the elephant's trunk (metonymy)
C016	aRu#5	aRu	gloss	0.333	lo <0.40|gloss	0.100292	different	yes	MW m. 'an atom' vs Apte a. 'of the size of an atom' — substantive vs attributive
C017	ahi#3	ahi	gloss	1.000	hi >=0.70|gloss	0.192420	same	no	
