rank	lemma_slp1	lemma_iast	model	kind	bucket	core_rank	n_attested_cells	corpus_count	pct	cumulative_pct	lesson
1	arTa	artha	m_a	nominal	a-stems	11	17	1528	0.206	0.21	1
2	arTa	artha	n_a	nominal	a-stems	11	8	2003	0.27	0.48	1
3	Darma	dharma	m_a	nominal	a-stems	12	18	907	0.1223	0.6	1
4	Darma	dharma	n_a	nominal	a-stems	12	4	191	0.0257	0.62	1
5	putra	putra	m_a	nominal	a-stems	14	22	2452	0.3306	0.95	1
6	putra	putra	n_a	nominal	a-stems	14	4	482	0.065	1.02	1
7	loka	loka	m_a	nominal	a-stems	16	20	3759	0.5068	1.53	1
8	rasa	rasa	m_a	nominal	a-stems	20	15	597	0.0805	1.61	1
9	indra	indra	m_a	nominal	a-stems	22	16	5421	0.7308	2.34	1
10	rUpa	rūpa	m_a	nominal	a-stems	29	14	1760	0.2373	2.57	1
11	rUpa	rūpa	n_a	nominal	a-stems	29	19	3023	0.4075	2.98	1
12	bala	bala	m_a	nominal	a-stems	30	12	575	0.0775	3.06	1
13	bala	bala	n_a	nominal	a-stems	30	13	709	0.0956	3.16	1
14	raTa	ratha	m_a	nominal	a-stems	32	14	881	0.1188	3.27	1
15	Pala	phala	m_a	nominal	a-stems	36	6	339	0.0457	3.32	1
16	Pala	phala	n_a	nominal	a-stems	36	16	789	0.1064	3.43	1
17	guRa	guṇa	m_a	nominal	a-stems	37	14	355	0.0479	3.47	1
18	tA	tā	f_A	nominal	a-stems	40	12	1444	0.1947	3.67	1
19	puruza	puruṣa	m_a	nominal	a-stems	41	20	1394	0.1879	3.86	1
20	puruza	puruṣa	n_a	nominal	a-stems	41	3	332	0.0448	3.9	1
21	kAma	kāma	m_a	nominal	a-stems	42	17	2591	0.3493	4.25	1
22	kAma	kāma	n_a	nominal	a-stems	42	2	222	0.0299	4.28	1
23	nara	nara	m_a	nominal	a-stems	45	13	142	0.0191	4.3	1
24	nara	nara	n_a	nominal	a-stems	45	1	5	0.0007	4.3	1
25	doza	doṣa	m_a	nominal	a-stems	50	15	187	0.0252	4.33	1
26	doza	doṣa	n_a	nominal	a-stems	50	4	63	0.0085	4.33	1
27	jYA	jñā	f_A	nominal	a-stems	52	2	5	0.0007	4.34	1
28	yoga	yoga	m_a	nominal	a-stems	53	15	392	0.0528	4.39	1
29	BUta	bhūta	m_a	nominal	a-stems	59	13	305	0.0411	4.43	1
30	BUta	bhūta	n_a	nominal	a-stems	59	13	918	0.1238	4.55	1
31	parama	parama	m_a	nominal	a-stems	62	10	239	0.0322	4.58	1
32	parama	parama	n_a	nominal	a-stems	62	8	278	0.0375	4.62	1
33	uttama	uttama	m_a	nominal	a-stems	64	20	692	0.0933	4.72	1
34	uttama	uttama	n_a	nominal	a-stems	64	13	986	0.1329	4.85	1
35	Sara	śara	m_a	nominal	a-stems	65	9	95	0.0128	4.86	1
36	Sara	śara	n_a	nominal	a-stems	65	1	18	0.0024	4.86	1
37	anta	anta	m_a	nominal	a-stems	67	18	1302	0.1755	5.04	1
38	anta	anta	n_a	nominal	a-stems	67	11	1814	0.2445	5.28	1
39	ja	ja	m_a	nominal	a-stems	68	18	385	0.0519	5.34	1
40	ja	ja	n_a	nominal	a-stems	68	9	295	0.0398	5.38	1
41	yajYa	yajña	m_a	nominal	a-stems	75	17	3724	0.502	5.88	1
42	vana	vana	m_a	nominal	a-stems	78	6	267	0.036	5.91	1
43	vana	vana	n_a	nominal	a-stems	78	14	544	0.0733	5.99	1
44	pARqava	pāṇḍava	m_a	nominal	a-stems	79	10	43	0.0058	5.99	1
45	vAta	vāta	m_a	nominal	a-stems	80	13	363	0.0489	6.04	1
46	vAta	vāta	n_a	nominal	a-stems	80	1	24	0.0032	6.04	1
47	rAma	rāma	m_a	nominal	a-stems	81	10	97	0.0131	6.06	1
48	rAma	rāma	n_a	nominal	a-stems	81	2	28	0.0038	6.06	1
49	jana	jana	m_a	nominal	a-stems	83	18	924	0.1246	6.19	1
50	jana	jana	n_a	nominal	a-stems	83	4	200	0.027	6.21	1
51	varRa	varṇa	m_a	nominal	a-stems	90	18	390	0.0526	6.27	1
52	varRa	varṇa	n_a	nominal	a-stems	90	6	261	0.0352	6.3	1
53	prARa	prāṇa	m_a	nominal	a-stems	91	16	1751	0.2361	6.54	1
54	nfpa	nṛpa	m_a	nominal	a-stems	93	15	328	0.0442	6.58	1
55	suta	suta	m_a	nominal	a-stems	94	17	530	0.0715	6.65	1
56	pAda	pāda	m_a	nominal	a-stems	95	19	1113	0.15	6.8	1
57	mUla	mūla	m_a	nominal	a-stems	102	13	381	0.0514	6.85	1
58	mUla	mūla	n_a	nominal	a-stems	102	13	766	0.1033	6.96	1
59	jYAna	jñāna	n_a	nominal	a-stems	105	11	276	0.0372	6.99	1
60	pitta	pitta	n_a	nominal	a-stems	108	3	17	0.0023	7.0	1
61	duHKa	duḥkha	m_a	nominal	a-stems	111	5	112	0.0151	7.01	1
62	duHKa	duḥkha	n_a	nominal	a-stems	111	16	272	0.0367	7.05	1
63	karRa	karṇa	m_a	nominal	a-stems	114	17	219	0.0295	7.08	1
64	karRa	karṇa	n_a	nominal	a-stems	114	1	23	0.0031	7.08	1
65	sTa	stha	m_a	nominal	a-stems	117	16	355	0.0479	7.13	1
66	sTa	stha	n_a	nominal	a-stems	117	10	255	0.0344	7.16	1
67	gaRa	gaṇa	m_a	nominal	a-stems	118	16	479	0.0646	7.23	1
68	Baya	bhaya	m_a	nominal	a-stems	119	4	49	0.0066	7.23	1
69	Baya	bhaya	n_a	nominal	a-stems	119	11	461	0.0621	7.3	1
70	kula	kula	m_a	nominal	a-stems	121	2	18	0.0024	7.3	1
71	kula	kula	n_a	nominal	a-stems	121	12	489	0.0659	7.37	1
72	jala	jala	m_a	nominal	a-stems	123	5	54	0.0073	7.37	1
73	jala	jala	n_a	nominal	a-stems	123	8	154	0.0208	7.39	1
74	pada	pada	m_a	nominal	a-stems	126	16	694	0.0936	7.49	1
75	pada	pada	n_a	nominal	a-stems	126	16	1583	0.2134	7.7	1
76	anna	anna	m_a	nominal	a-stems	129	5	944	0.1273	7.83	1
77	anna	anna	n_a	nominal	a-stems	129	12	1945	0.2622	8.09	1
78	BAga	bhāga	m_a	nominal	a-stems	130	13	489	0.0659	8.16	1
79	BAga	bhāga	n_a	nominal	a-stems	130	5	362	0.0488	8.2	1
80	Sabda	śabda	m_a	nominal	a-stems	131	15	478	0.0644	8.27	1
81	Sabda	śabda	n_a	nominal	a-stems	131	2	140	0.0189	8.29	1
82	rAja	rāja	m_a	nominal	a-stems	132	14	412	0.0555	8.34	1
83	mantra	mantra	m_a	nominal	a-stems	133	17	404	0.0545	8.4	1
84	mantra	mantra	n_a	nominal	a-stems	133	2	55	0.0074	8.41	1
85	soma	soma	m_a	nominal	a-stems	134	19	2565	0.3458	8.75	1
86	soma	soma	n_a	nominal	a-stems	134	3	1238	0.1669	8.92	1
87	BAva	bhāva	m_a	nominal	a-stems	135	16	255	0.0344	8.95	1
88	gfha	gṛha	m_a	nominal	a-stems	137	15	1086	0.1464	9.1	1
89	gfha	gṛha	n_a	nominal	a-stems	137	13	1101	0.1484	9.25	1
90	vacana	vacana	m_a	nominal	a-stems	138	8	286	0.0386	9.29	1
91	vacana	vacana	n_a	nominal	a-stems	138	11	448	0.0604	9.35	1
92	dvija	dvija	m_a	nominal	a-stems	139	15	225	0.0303	9.38	1
93	dvija	dvija	n_a	nominal	a-stems	139	2	8	0.0011	9.38	1
94	vAkya	vākya	n_a	nominal	a-stems	142	11	246	0.0332	9.41	1
95	vIrya	vīrya	n_a	nominal	a-stems	143	15	1533	0.2067	9.62	1
96	SarIra	śarīra	m_a	nominal	a-stems	147	7	226	0.0305	9.65	1
97	SarIra	śarīra	n_a	nominal	a-stems	147	15	587	0.0791	9.73	1
98	SrezWa	śreṣṭha	m_a	nominal	a-stems	149	12	194	0.0262	9.75	1
99	SrezWa	śreṣṭha	n_a	nominal	a-stems	149	6	126	0.017	9.77	1
100	mAtra	mātra	m_a	nominal	a-stems	150	12	402	0.0542	9.82	1
101	mAtra	mātra	n_a	nominal	a-stems	150	12	619	0.0834	9.91	1
102	kArya	kārya	m_a	nominal	a-stems	151	9	89	0.012	9.92	1
103	kArya	kārya	n_a	nominal	a-stems	151	13	198	0.0267	9.95	1
104	yuDizWira	yudhiṣṭhira	m_a	nominal	a-stems	152	8	56	0.0075	9.95	1
105	deha	deha	m_a	nominal	a-stems	159	12	105	0.0142	9.97	1
106	deha	deha	n_a	nominal	a-stems	159	6	99	0.0133	9.98	1
107	ISvara	īśvara	m_a	nominal	a-stems	162	15	348	0.0469	10.03	1
108	ISvara	īśvara	n_a	nominal	a-stems	162	3	88	0.0119	10.04	2
109	sUrya	sūrya	m_a	nominal	a-stems	163	15	1131	0.1525	10.19	2
110	sUrya	sūrya	n_a	nominal	a-stems	163	4	713	0.0961	10.29	2
111	ganDa	gandha	m_a	nominal	a-stems	165	10	193	0.026	10.31	2
112	ganDa	gandha	n_a	nominal	a-stems	165	2	78	0.0105	10.33	2
113	deSa	deśa	m_a	nominal	a-stems	166	15	446	0.0601	10.39	2
114	viza	viṣa	m_a	nominal	a-stems	167	5	130	0.0175	10.4	2
115	viza	viṣa	n_a	nominal	a-stems	167	10	266	0.0359	10.44	2
116	lakzaRa	lakṣaṇa	m_a	nominal	a-stems	169	10	221	0.0298	10.47	2
117	lakzaRa	lakṣaṇa	n_a	nominal	a-stems	169	12	328	0.0442	10.51	2
118	kaPa	kapha	m_a	nominal	a-stems	170	4	4	0.0005	10.51	2
119	yudDa	yuddha	m_a	nominal	a-stems	172	3	45	0.0061	10.52	2
120	yudDa	yuddha	n_a	nominal	a-stems	172	11	199	0.0268	10.55	2
121	veda	veda	m_a	nominal	a-stems	173	18	450	0.0607	10.61	2
122	aSva	aśva	m_a	nominal	a-stems	174	20	1017	0.1371	10.74	2
123	rudra	rudra	m_a	nominal	a-stems	177	18	731	0.0985	10.84	2
124	raRa	raṇa	m_a	nominal	a-stems	178	6	150	0.0202	10.86	2
125	tIrTa	tīrtha	m_a	nominal	a-stems	180	4	30	0.004	10.87	2
126	tIrTa	tīrtha	n_a	nominal	a-stems	180	13	173	0.0233	10.89	2
127	kAraRa	kāraṇa	n_a	nominal	a-stems	184	9	224	0.0302	10.92	2
128	pArTa	pārtha	m_a	nominal	a-stems	188	11	80	0.0108	10.93	2
129	pArTa	pārtha	n_a	nominal	a-stems	188	2	10	0.0013	10.93	2
130	viDA	vidhā	f_A	nominal	a-stems	191	6	52	0.007	10.94	2
131	dina	dina	m_a	nominal	a-stems	193	3	17	0.0023	10.94	2
132	dina	dina	n_a	nominal	a-stems	193	10	142	0.0191	10.96	2
133	Gfta	ghṛta	m_a	nominal	a-stems	194	2	10	0.0013	10.96	2
134	Gfta	ghṛta	n_a	nominal	a-stems	194	11	858	0.1157	11.08	2
