pack	lemma_slp1	surface	gloss_ru	gloss_en	locus
hitopadesa-0	a	a	о	[gramm.] the sound a; eh bien!; (ibc., negating particle); [gramm.] the root han; [gramm.…	11
hitopadesa-0	abhigamana	abhigamanam	сближении	Hingehen; Verkehr mit; Ankunft	14
hitopadesa-0	abhijña	abhijñān	искусен	knowing; skilful; clever; understanding; conversant with (gen. or ifc.)	44
hitopadesa-0	abhyantara	abhyantare	внутреннее	inner part; interior; inside; middle; interval; space of time	44
hitopadesa-0	abhāvin	abhāvi	достигают	what is not to be or will not be; not destined to be	29
hitopadesa-0	adhika	adhiko	выше	additional; subsequent; later; surpassing (in number or quantity or quality); superior; m…	25
hitopadesa-0	adhī	adhītam	изучив	to turn the mind towards; to observe; to understand; to study; to learn by heart; to read…	24
hitopadesa-0	adravya	adravye	a nothing; a worthless thing; [medic.] not a dravya = e.g. the mental disposition of the…	a nothing; a worthless thing; [medic.] not a dravya = e.g. the mental disposition of the…	42
hitopadesa-0	agada	agadaḥ	здоровым	freedom from disease; a medicine; drug; antidote; Costus Speciosus	29
hitopadesa-0	agratas	agrataḥ	перед	in front; before; in the beginning; first; (with gen.) before; in presence of	35
hitopadesa-0	ah	āha	сказал	to say; to call; to consider; to declare; to acknowledge; to state; to adjugde anything	30
hitopadesa-0	ahi	ahi	змея	a snake; the serpent of the sky; the demon Vṛtra; cloud; water; the sun; a name of Rāhu;…	28
hitopadesa-0	ahāryatva	ahāryatvād	the state of not being liable to be taken away	the state of not being liable to be taken away	4
hitopadesa-0	ajara	ajara	нестареющий	not subject to old age; undecaying; ever young	3
hitopadesa-0	ajāgalastana	ajāgalastanasya	nipple or fleshy protuberance on the neck of goats; an emblem of any useless or worthless…	nipple or fleshy protuberance on the neck of goats; an emblem of any useless or worthless…	26
hitopadesa-0	ajāta	ajāta	неродившихся	unborn; not yet born; not yet developed	13
hitopadesa-0	akṣama	akṣamāṇām	невыполнима	unable to endure; impatient; incompetent	30
hitopadesa-0	akṣaya	akṣaya	нетленные	exempt from decay; undecaying; [alchemy] undiminished, i.e. merury undergoes no eliminati…	4
hitopadesa-0	amara	amara	бессмертные	a deity; (in arithm.) the number 33; name of a Marut; the plant Euphorbia Tirucalli; the…	3
hitopadesa-0	ambā	ambā	мать	a mother; good woman (as a title of respect); name of a plant; name of Durgā (the wife of…	16
hitopadesa-0	anadhigata	anadhigata	не предполагающий достаточное	not obtained; not acquired; not studied	12
hitopadesa-0	ananuṣṭhāna	ananuṣṭhānena	невыполнение	non-observance; neglect; impropriety	12
hitopadesa-0	anargha	anargha	priceless; invaluable	priceless; invaluable	4
hitopadesa-0	anartha	anarthāya	не-артха	non-value; a worthless or useless object; disappointing occurrence; reverse; evil; nonsen…	11
hitopadesa-0	andha	andha	слепой	blind; dark	10
hitopadesa-0	aneka	aneka	многие	not one; many; much; separated	10
hitopadesa-0	antara	antare	между	the interior; a hole; opening; the interior part of a thing; the contents; soul; heart; s…	42
hitopadesa-0	antima	antimaḥ	последней	final; ultimate; last	13
hitopadesa-0	anudyoga	anudyogena	absence of exertion or effort; inactivity	absence of exertion or effort; inactivity	32
hitopadesa-0	anuttama	anuttamam	несравненный	unsurpassed; incomparably the best or chief; excellent; excessive; not the best; (in Gr.)…	4
hitopadesa-0	anya	anyac	другой	other; another	16
hitopadesa-0	anyathā	anyathā	иначе	otherwise; in a different manner; inaccurately; untruly; falsely; erroneously; from anoth…	29
hitopadesa-0	apara	aparaṃ	другие	the other; another; future; next; western	18
hitopadesa-0	apatya	apatyam	потомство	offspring; child; descendant; a patronymical affix	43
hitopadesa-0	apaṇḍita	apaṇḍitaḥ	невежда	unlearned; illiterate	22
hitopadesa-0	apekṣ	apekṣate	зависимость	to look away; to look round; to have some design; to have regard to; to respect; to look…	35
hitopadesa-0	api	api	также	also; moreover; besides; assuredly; surely	10
hitopadesa-0	arh	arhati	должен	to deserve; to merit; to be worthy of; to be allowed to; to be able; to counterbalance	32
hitopadesa-0	artha	arthasya	ради	aim; purpose; cause; motive; reason; advantage; use; utility (generally named with kāma a…	10
hitopadesa-0	as	satām	есть	to be; to live; to exist; to be present; to take place; to happen; to abide; to dwell; to…	1
hitopadesa-0	atandrita	atandritaḥ	неустанно	unwearied	31
hitopadesa-0	atas	ato	поэтому	from this; than this; hence; henceforth; from that time; from this or that cause or reason	44
hitopadesa-0	atha	atha	и	an auspicious and inceptive particle (not easily expressed in English); now; then; moreov…	10
hitopadesa-0	atiduṣkara	atiduṣkaram	труднее	very difficult	19
hitopadesa-0	atra	'tra	здесь	in this matter; in this respect; in this place; here; there; then; at this time	33
hitopadesa-0	autkārṣya	autkārṣyam			30
hitopadesa-0	avaśyam	avaśyaṃ	непременно	necessarily; inevitably; certainly; at all events; by all means	28
hitopadesa-0	aśman	aśmā	камень	a stone; rock; a precious stone; any instrument made of stone (as a hammer etc.); thunder…	44
hitopadesa-0	bahu	bahubhiḥ	много	much; many; abundant; great in quantity	21
