text	date1	date2	n_loci	source_note
ACint	1500	2000	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AHS	550	650	120	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AKośa	500	700	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ASaṃ	550	650	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ASāh	-200	200	12	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AVPariś	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AVPr	-599	-399	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AVŚ	-1200	-1000	471	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AbhCint	1150	1230	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AbhidhKo	300	399	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AbhidhKoBh zu AbhidhKo	300	399	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Acintyastava	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AgRPar	1500	2000	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AgniPur	800	1100	25	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AitBr	-1000	-599	232	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AitUp	-599	-399	13	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AmaruŚ	500	750	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AmarŚās	1200	1450	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AmarŚās Komm. zu AmarŚās	1200	1450	10	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Amṛtabindūpaniṣat	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ArthaŚ	100	300	58	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
AvŚat	100	200	22	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Ayurvedarasāyana zu AHS	1250	1300	69	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
