dict_a	dict_b	shared	union	jaccard
AP	BHS	1962	104546	0.018767
AP	BUR	7247	100635	0.072013
AP	CAE	13048	114175	0.114281
AP	CCS	9982	107508	0.092849
AP	GRA	3733	96122	0.038836
AP	INM	2212	95966	0.023050
AP	MD	8269	100573	0.082219
AP	MW	38084	244514	0.155754
AP	PWG	23709	171092	0.138575
AP	PWK	26649	213412	0.124871
AP	SCH	4535	112643	0.040260
AP	SKD	18830	110620	0.170222
AP	VCP	15754	121576	0.129581
AP	VEI	890	91559	0.009721
AP	cap	11335	113843	0.099567
AP	mwd	32942	214761	0.153389
AP	otl	959	194985	0.004918
BHS	BUR	1567	35329	0.044354
BHS	CAE	2433	53804	0.045220
BHS	CCS	2163	44341	0.048781
BHS	GRA	599	28270	0.021189
BHS	INM	957	26235	0.036478
BHS	MD	1763	36093	0.048846
BHS	MW	6525	205087	0.031816
BHS	PWG	4779	119036	0.040148
BHS	PWK	6088	162987	0.037353
BHS	SCH	2212	43980	0.050296
BHS	SKD	599	57865	0.010352
BHS	VCP	2599	63745	0.040772
BHS	VEI	353	21110	0.016722
BHS	cap	2266	51926	0.043639
BHS	mwd	5508	171209	0.032171
BHS	otl	150	124808	0.001202
BUR	CAE	7510	50101	0.149897
BUR	CCS	6853	41025	0.167044
BUR	GRA	2639	27604	0.095602
BUR	INM	1705	26861	0.063475
BUR	MD	6447	32783	0.196657
BUR	MW	13908	199078	0.069862
BUR	PWG	12534	112655	0.111260
BUR	PWK	12566	157883	0.079591
BUR	SCH	2920	44646	0.065403
BUR	SKD	2097	57741	0.036317
BUR	VCP	10217	57501	0.177684
BUR	VEI	1150	21687	0.053027
BUR	cap	6708	48858	0.137296
BUR	mwd	13403	164688	0.081384
BUR	otl	501	125831	0.003982
CAE	CCS	27008	40211	0.671657
CAE	GRA	6780	42804	0.158396
CAE	INM	3300	44607	0.073979
CAE	MD	13366	45205	0.295675
CAE	MW	35053	197274	0.177687
CAE	PWG	29051	115479	0.251570
CAE	PWK	34144	155646	0.219370
CAE	SCH	4898	62009	0.078989
CAE	SKD	1697	77482	0.021902
CAE	VCP	14307	72752	0.196654
CAE	VEI	2138	40040	0.053397
CAE	cap	33193	41714	0.795728
CAE	mwd	32640	164792	0.198068
CAE	otl	452	145221	0.003112
CCS	GRA	5708	34143	0.167179
CCS	INM	2779	35395	0.078514
CCS	MD	11924	36914	0.323021
CCS	MW	25881	196713	0.131567
CCS	PWG	23856	110941	0.215033
CCS	PWK	27174	152883	0.177744
CCS	SCH	4047	53127	0.076176
CCS	SKD	1522	67924	0.022407
CCS	VCP	11940	65386	0.182608
CCS	VEI	1919	30526	0.062864
CCS	cap	24801	40373	0.614297
CCS	mwd	24519	163180	0.150257
CCS	otl	424	135516	0.003129
GRA	INM	918	19621	0.046787
GRA	MD	4107	27096	0.151572
GRA	MW	9752	195207	0.049957
GRA	PWG	8961	108201	0.082818
GRA	PWK	9645	152777	0.063131
GRA	SCH	1277	38262	0.033375
GRA	SKD	713	51098	0.013954
GRA	VCP	3987	55704	0.071575
GRA	VEI	1505	13305	0.113115
GRA	cap	5852	41687	0.140379
GRA	mwd	9363	160701	0.058263
GRA	otl	254	118051	0.002152
INM	MD	2045	27481	0.074415
INM	MW	6772	196510	0.034461
INM	PWG	5561	109924	0.050589
INM	PWK	5900	154845	0.038103
INM	SCH	1035	36827	0.028104
INM	SKD	622	49512	0.012563
INM	VCP	3755	54259	0.069205
INM	VEI	658	12475	0.052745
INM	cap	3011	42851	0.070267
INM	mwd	5932	162455	0.036515
INM	otl	98	116530	0.000841
MD	MW	18631	195315	0.095389
MD	PWG	15187	110962	0.136867
MD	PWK	17833	153576	0.116118
MD	SCH	3866	44660	0.086565
MD	SKD	1608	59190	0.027167
MD	VCP	9452	59226	0.159592
MD	VEI	1581	22216	0.071165
MD	cap	12059	44467	0.271190
MD	mwd	17680	161371	0.109561
MD	otl	415	126877	0.003271
MW	PWG	94753	205152	0.461867
MW	PWK	128972	216193	0.596560
MW	SCH	14499	207783	0.069780
MW	SKD	8743	225811	0.038718
MW	VCP	39011	203423	0.191773
MW	VEI	3166	194387	0.016287
MW	cap	30670	199612	0.153648
MW	mwd	155026	197781	0.783827
MW	otl	913	300135	0.003042
PWG	PWK	99437	157931	0.629623
PWG	SCH	7778	126707	0.061386
PWG	SKD	5497	141260	0.038914
PWG	VCP	34622	120015	0.288481
PWG	VEI	2949	106807	0.027611
PWG	cap	25429	117056	0.217238
PWG	mwd	87194	177816	0.490361
PWG	otl	712	212539	0.003350
PWK	SCH	18285	161460	0.113248
PWK	SKD	5635	186382	0.030234
PWK	VCP	35251	164646	0.214102
PWK	VEI	3017	151999	0.019849
PWK	cap	29654	158091	0.187576
PWK	mwd	113790	196480	0.579143
PWK	otl	764	257747	0.002964
SCH	SKD	967	68167	0.014186
SCH	VCP	5366	71648	0.074894
SCH	VEI	557	31576	0.017640
SCH	cap	4305	60557	0.071090
SCH	mwd	11752	175635	0.066911
SCH	otl	217	135411	0.001603
SKD	VCP	6892	82394	0.083647
SKD	VEI	341	44064	0.007739
SKD	cap	1470	75664	0.019428
SKD	mwd	5782	193877	0.029823
SKD	otl	260	147640	0.001761
VCP	VEI	1817	50468	0.036003
VCP	cap	13093	71921	0.182047
VCP	mwd	36067	171472	0.210338
VCP	otl	546	155234	0.003517
VEI	cap	2000	38133	0.052448
VEI	mwd	2987	159671	0.018707
VEI	otl	80	110819	0.000722
cap	mwd	28680	166707	0.172038
cap	otl	411	143217	0.002870
mwd	otl	799	265354	0.003011
