L	vol	col
1	1	1
2	1	1
3	1	1
4	1	3
5	1	3
6	1	3
7	1	3
8	1	4
9	1	4
10	1	4
11	1	4
12	1	4
13	1	4
14	1	4
15	1	4
16	1	4
17	1	4
18	1	4
19	1	4
20	1	4
21	1	5
22	1	5
23	1	5
24	1	5
25	1	5
26	1	5
27	1	5
28	1	5
29	1	5
30	1	5
31	1	5
32	1	5
33	1	5
34	1	5
35	1	5
36	1	5
37	1	5
38	1	5
39	1	6
40	1	6
41	1	6
42	1	6
43	1	6
44	1	6
45	1	6
46	1	6
47	1	6
48	1	6
49	1	6
50	1	6
51	1	6
52	1	6
53	1	7
54	1	7
55	1	7
56	1	7
57	1	7
58	1	7
59	1	7
60	1	7
61	1	7
62	1	7
63	1	7
64	1	7
65	1	7
66	1	7
67	1	7
68	1	7
69	1	7
70	1	8
71	1	8
72	1	8
73	1	8
74	1	8
75	1	8
76	1	8
77	1	8
78	1	8
79	1	8
80	1	8
81	1	8
82	1	8
83	1	8
84	1	8
85	1	8
86	1	8
87	1	8
88	1	8
89	1	8
90	1	8
91	1	8
92	1	8
93	1	8
94	1	8
95	1	9
96	1	9
97	1	9
98	1	9
99	1	9
100	1	9
101	1	9
102	1	9
103	1	9
104	1	9
105	1	9
106	1	9
107	1	9
108	1	10
109	1	10
110	1	10
111	1	10
112	1	10
113	1	10
114	1	10
115	1	10
116	1	10
117	1	10
118	1	10
119	1	10
120	1	10
121	1	10
122	1	10
123	1	10
124	1	10
125	1	10
126	1	10
127	1	10
128	1	11
129	1	11
130	1	11
131	1	11
132	1	11
133	1	11
134	1	11
135	1	11
136	1	11
137	1	11
138	1	11
139	1	11
140	1	11
141	1	11
142	1	11
143	1	12
144	1	12
145	1	12
146	1	12
147	1	12
148	1	12
149	1	12
150	1	12
151	1	12
152	1	12
153	1	12
154	1	12
155	1	12
156	1	13
157	1	13
158	1	13
159	1	13
160	1	13
161	1	13
162	1	13
163	1	13
164	1	13
165	1	13
166	1	13
167	1	13
168	1	14
169	1	15
170	1	15
171	1	15
172	1	15
173	1	15
174	1	15
175	1	15
176	1	15
177	1	15
178	1	15
179	1	15
180	1	15
181	1	15
182	1	15
183	1	15
184	1	16
185	1	16
186	1	16
187	1	16
188	1	16
189	1	16
190	1	16
191	1	16
192	1	16
193	1	16
194	1	16
195	1	16
196	1	16
197	1	16
198	1	17
199	1	17
200	1	17
201	1	17
202	1	17
203	1	17
204	1	18
205	1	18
206	1	18
207	1	18
208	1	18
209	1	18
210	1	18
211	1	18
212	1	18
213	1	18
214	1	18
215	1	18
216	1	18
217	1	18
218	1	18
219	1	18
220	1	18
221	1	18
222	1	18
223	1	19
224	1	19
225	1	19
226	1	19
227	1	19
228	1	19
229	1	19
230	1	19
231	1	19
232	1	19
233	1	19
234	1	19
235	1	19
236	1	19
237	1	19
238	1	19
239	1	20
240	1	20
241	1	20
242	1	20
243	1	20
244	1	20
245	1	20
246	1	20
247	1	20
248	1	20
249	1	21
250	1	21
251	1	21
252	1	21
253	1	21
254	1	21
255	1	21
256	1	21
257	1	21
258	1	21
259	1	21
260	1	21
261	1	21
262	1	21
263	1	21
264	1	21
265	1	21
266	1	21
267	1	21
268	1	21
269	1	21
270	1	21
271	1	22
272	1	22
273	1	22
274	1	22
275	1	22
276	1	22
277	1	22
278	1	22
279	1	22
280	1	22
281	1	22
282	1	22
283	1	22
284	1	22
285	1	22
286	1	22
287	1	22
288	1	22
289	1	23
290	1	23
291	1	23
292	1	23
293	1	23
294	1	23
295	1	23
296	1	23
297	1	23
298	1	23
299	1	23
300	1	23
301	1	23
302	1	23
303	1	23
304	1	24
305	1	24
306	1	24
307	1	24
308	1	24
309	1	24
310	1	24
311	1	24
312	1	24
313	1	24
314	1	24
315	1	24
316	1	24
317	1	24
318	1	25
319	1	25
320	1	25
321	1	25
322	1	26
323	1	26
324	1	26
325	1	26
326	1	26
327	1	26
328	1	26
329	1	26
330	1	26
331	1	26
332	1	26
333	1	26
334	1	27
335	1	27
336	1	27
337	1	27
338	1	27
339	1	27
340	1	27
341	1	27
342	1	27
343	1	27
