rank	rule	category	count	pct	cumulative_pct	family_size	priority	lesson
1	a a → ā	vowel coalescence	35533	6.219	6.22	11	43899.7	1
2	m p → ṃ p	anusvāra / nasal	21875	3.828	10.05	37	33810.8	1
3	m s → ṃ s	anusvāra / nasal	18981	3.322	13.37	37	29337.8	2
4	m t → ṃ t	anusvāra / nasal	18549	3.246	16.61	37	28670.0	2
5	m v → ṃ v	anusvāra / nasal	17515	3.065	19.68	37	27071.8	2
6	m c → ṃ c	anusvāra / nasal	15334	2.684	22.36	37	23700.8	2
7	m k → ṃ k	anusvāra / nasal	12801	2.24	24.6	37	19785.7	3
8	m m → ṃ m	anusvāra / nasal	12302	2.153	26.76	37	19014.4	3
9	m n → ṃ n	anusvāra / nasal	10855	1.9	28.66	37	16777.9	3
10	ḥ t → s t	visarga	18378	3.216	31.87	2	16054.9	3
11	a ā → ā	vowel coalescence	12488	2.186	34.06	11	15428.5	4
12	m d → ṃ d	anusvāra / nasal	9659	1.69	35.75	37	14929.3	4
13	ḥ c → ś c	visarga	15629	2.735	38.48	2	13653.4	4
14	m ś → ṃ ś	anusvāra / nasal	7590	1.328	39.81	37	11731.4	4
15	m y → ṃ y	anusvāra / nasal	7054	1.235	41.05	37	10902.9	4
16	aḥ v → o v	visarga	7564	1.324	42.37	136	9859.7	5
17	m bh → ṃ bh	anusvāra / nasal	6074	1.063	43.43	37	9388.2	5
18	m r → ṃ r	anusvāra / nasal	6044	1.058	44.49	37	9341.8	5
19	aḥ m → o m	visarga	7152	1.252	45.74	136	9322.6	5
20	a u → o	vowel coalescence	7777	1.361	47.1	8	9306.2	5
21	ā a → ā	vowel coalescence	7786	1.363	48.47	4	8699.1	5
22	aḥ a → o '	visarga	6657	1.165	49.63	136	8677.4	5
23	a e → ai	vowel coalescence	8694	1.522	51.15	1	8638.1	5
24	i a → y a	vowel coalescence	6679	1.169	52.32	10	8173.2	6
25	aḥ n → o n	visarga	6182	1.082	53.4	136	8058.2	6
26	m g → ṃ g	anusvāra / nasal	4868	0.852	54.26	37	7524.2	6
27	m h → ṃ h	anusvāra / nasal	4345	0.76	55.02	37	6715.8	6
28	ḥ a → r a	visarga	5516	0.965	55.98	30	6268.0	6
29	a i → e	vowel coalescence	5375	0.941	56.92	6	6249.5	6
30	m b → ṃ b	anusvāra / nasal	3953	0.692	57.61	37	6109.9	6
31	m j → ṃ j	anusvāra / nasal	3897	0.682	58.3	37	6023.4	6
32	aḥ a → o a	visarga	4551	0.796	59.09	136	5932.2	6
33	ḥ u → Ø u	visarga	5068	0.887	59.98	38	5889.8	6
34	aḥ r → o r	visarga	4066	0.712	60.69	136	5300.0	6
35	aḥ d → o d	visarga	4064	0.711	61.4	136	5297.4	7
36	aḥ bh → o bh	visarga	3905	0.683	62.09	136	5090.2	7
37	aḥ y → o y	visarga	3819	0.668	62.75	136	4978.1	7
38	t a → d a	consonant / other	5347	0.936	63.69	27	4811.8	7
39	ḥ v → Ø v	visarga	4011	0.702	64.39	38	4661.4	7
40	ḥ v → r v	visarga	4044	0.708	65.1	30	4595.3	7
41	m dh → ṃ dh	anusvāra / nasal	2865	0.501	65.6	37	4428.3	7
42	ḥ i → Ø i	visarga	3531	0.618	66.22	38	4103.6	7
43	aḥ h → o h	visarga	2767	0.484	66.7	136	3606.8	7
44	e a → e '	vowel coalescence	2523	0.442	67.14	49	3603.2	7
45	t v → d v	consonant / other	3852	0.674	67.82	27	3466.4	7
46	ḥ m → Ø m	visarga	2980	0.522	68.34	38	3463.2	7
47	ḥ m → r m	visarga	2899	0.507	68.85	30	3294.2	7
48	ā e → ai	vowel coalescence	3063	0.536	69.38	1	3043.3	7
49	ḥ n → Ø n	visarga	2538	0.444	69.83	38	2949.5	7
