rule	category	global_count	global_pct	n_texts	top_texts	examples
a a → ā	vowel coalescence	45296	6.4	41	Mahābhārata (full, incl. Bhagavadgītā)(23014), Rāmāyaṇa(5581), Suśrutasaṃhitā(3311)	ajarāmaravat prājño vidyāmarthaṃ ca cintayet ajara+amara→ajarāmaravat · pralayāgnisamaḥ kope taḍitkoṭisamaprabhaḥ pralaya+agni→pralayāgnisamaḥ · sa ca adhītavidyaḥ pitṛpracchannavṛttyā deśāntaraṃ gatvā bhāgīrathītīre tapaḥ kṛtavān deśa+antaram→deśāntaraṃ · kṣipto hastāvalagnaḥ prasabham abhihato 'py ādadāno 'ṃśukāntaṃ gṛhṇan keśeṣvapāstaścaraṇanipatito nekṣitaḥ sambhrameṇa hasta+avalagnaḥ→hastāvalagnaḥ
m p → ṃ p	anusvāra / nasal	26690	3.77	41	Mahābhārata (full, incl. Bhagavadgītā)(15052), Rāmāyaṇa(3360), Suśrutasaṃhitā(1821)	udyoginaṃ puruṣasiṃham upaiti lakṣmīr daivena deyam iti kāpuruṣā vadanti udyoginaṃ+puruṣa · sādhūnāṃ pālanaṃ samyag duṣṭānāṃ nigrahas tathā sādhūnāṃ+pālanaṃ · taṃ haridattaṃ kuputraduḥkhena pīḍitaṃ dṛṣṭvā tasya sakhā trivikramanāmā dvijaḥ svagṛhato nītinipuṇaṃ śukaṃ sārikāṃ ca gṛhītvā tadgṛhe gatvā prāha sakhe haridatta enaṃ śukaṃ sapatnīkaṃ putravattvaṃ paripālaya sapatnīkaṃ+putra · parityaktaṃ sarvaṃ hasitapaṭhitaṃ pañjaraśukais tavāvasthā ceyaṃ visṛja kaṭhine mānamadhunā paṭhitam→hasitapaṭhitaṃ +pañjara
m s → ṃ s	anusvāra / nasal	23476	3.32	39	Mahābhārata (full, incl. Bhagavadgītā)(12210), Rāmāyaṇa(3168), Suśrutasaṃhitā(1694)	śruto hitopadeśo 'yaṃ pāṭavaṃ saṃskṛtoktiṣu pāṭavaṃ+saṃskṛta · sādhūnāṃ pālanaṃ samyag duṣṭānāṃ nigrahas tathā pālanaṃ+samyag · taṃ haridattaṃ kuputraduḥkhena pīḍitaṃ dṛṣṭvā tasya sakhā trivikramanāmā dvijaḥ svagṛhato nītinipuṇaṃ śukaṃ sārikāṃ ca gṛhītvā tadgṛhe gatvā prāha sakhe haridatta enaṃ śukaṃ sapatnīkaṃ putravattvaṃ paripālaya śukaṃ+sārikāṃ · parityaktaṃ sarvaṃ hasitapaṭhitaṃ pañjaraśukais tavāvasthā ceyaṃ visṛja kaṭhine mānamadhunā parityaktaṃ+sarvaṃ
m v → ṃ v	anusvāra / nasal	22649	3.2	40	Mahābhārata (full, incl. Bhagavadgītā)(11370), Rāmāyaṇa(3080), Suśrutasaṃhitā(2221)	vidyā dadāti vinayaṃ vinayād yāti pātratām vinayaṃ+vinayād · praṇamya śirasā devaṃ gaṇanāthaṃ vināyakam gaṇanāthaṃ+vināyakam · tatra raktāktahastaṃ yamapratibhaṃ māṃsavikrayaṃ vidadhānaṃ taṃ dṛṣṭvā dṛśāmantaḥsthitaḥ vikrayam→māṃsavikrayaṃ +vidadhānaṃ · tanvyā yat suratāntatāntanayanaṃ vaktraṃ rativyatyaye tattvāṃ pātu cirāya kiṃ hariharabrahmādibhirdaivataiḥ nayanam→suratāntatāntanayanaṃ +vaktraṃ
m t → ṃ t	anusvāra / nasal	22119	3.12	39	Mahābhārata (full, incl. Bhagavadgītā)(12167), Rāmāyaṇa(3056), Kathāsaritsāgara(1664)	pātratvāt dhanam āpnoti dhanād dharmaṃ tataḥ sukham dharmaṃ+tataḥ · rājñāsanaṃ dattaṃ tāmbūlaṃ ca dattaṃ+tāmbūlaṃ · kumārgacāriṇaṃ taṃ kuputraṃ dṛṣṭvā tatpitā haridattaḥ sapatnīkaḥ atīva duḥkhitaḥ saṃjātaḥ cāriṇam→kumārgacāriṇaṃ +taṃ · ālolām alakāvalīṃ vilulitāṃ bibhraccalatkuṇḍalaṃ kiṃcin mṛṣṭaviśeṣakaṃ tanutaraiḥ khedāmbhasāṃ śīkaraiḥ viśeṣakam→mṛṣṭaviśeṣakaṃ +tanutaraiḥ
ḥ t → s t	visarga	21292	3.01	38	Mahābhārata (full, incl. Bhagavadgītā)(12503), Rāmāyaṇa(3094), Kathāsaritsāgara(1118)	kathāchalena bālānāṃ nītis tad iha kathyate nītis+tad · sādhūnāṃ pālanaṃ samyag duṣṭānāṃ nigrahas tathā nigrahas+tathā · madanavinodastu atīvaviṣayāsaktaḥ kuputraḥ pituḥ śikṣāṃ na śṛṇoti madanavinodaḥ+tu→madanavinodastu · datto'syāḥ praṇayastvayaiva bhavatā ceyaṃ ciraṃ lālitā daivād adya kila tvameva kṛtavān asyā navaṃ vipriyam praṇayaḥ+tvayā→praṇayastvayaiva
m c → ṃ c	anusvāra / nasal	20096	2.84	40	Mahābhārata (full, incl. Bhagavadgītā)(10920), Rāmāyaṇa(2164), Suśrutasaṃhitā(1810)	ajarāmaravat prājño vidyāmarthaṃ ca cintayet artham→vidyāmarthaṃ +ca · lokānāṃ ca vinodāya kariṣyāmi kathām imām lokānāṃ+ca · taṃ haridattaṃ kuputraduḥkhena pīḍitaṃ dṛṣṭvā tasya sakhā trivikramanāmā dvijaḥ svagṛhato nītinipuṇaṃ śukaṃ sārikāṃ ca gṛhītvā tadgṛhe gatvā prāha sakhe haridatta enaṃ śukaṃ sapatnīkaṃ putravattvaṃ paripālaya sārikāṃ+ca · datto'syāḥ praṇayastvayaiva bhavatā ceyaṃ ciraṃ lālitā daivād adya kila tvameva kṛtavān asyā navaṃ vipriyam iyam→ceyaṃ +ciraṃ
ḥ c → ś c	visarga	18883	2.67	38	Mahābhārata (full, incl. Bhagavadgītā)(11553), Rāmāyaṇa(2589), Suśrutasaṃhitā(1030)	ekaś candramās tamo hanti na ca tārāgaṇair api ekaś+candramās · ṣaṭkarṇo bhidyate mantraś caturkarṇaḥ sthiro bhavet mantraś+catur · madanavinodena śayanamandire svarṇapañjarasthaḥ sthāpitaḥ paripoṣitaśca paripoṣitaḥ+ca→paripoṣitaśca · tasyāḥ sāndravilepanastanataṭapraśleṣamudrāṅkitaṃ kiṃ vakṣaścaraṇānativyatikaravyājena gopāyate vakṣaḥ+caraṇānati→vakṣaścaraṇānativyatikaravyājena
m k → ṃ k	anusvāra / nasal	15961	2.25	39	Mahābhārata (full, incl. Bhagavadgītā)(8321), Rāmāyaṇa(1868), Suśrutasaṃhitā(1314)	dhanurvaṃśaviśuddho 'pi nirguṇaḥ kiṃ kariṣyati kiṃ+kariṣyati · anayā rītyā rājño haste phalaṃ dattvā pratyahaṃ darśanaṃ karoti darśanaṃ+karoti · vacmi cetovinodārthamuddhāraṃ kīrasammateḥ uddhāram→cetovinodārthamuddhāraṃ +kīra · ālolām alakāvalīṃ vilulitāṃ bibhraccalatkuṇḍalaṃ kiṃcin mṛṣṭaviśeṣakaṃ tanutaraiḥ khedāmbhasāṃ śīkaraiḥ kuṇḍalam→bibhraccalatkuṇḍalaṃ +kiṃcin
a ā → ā	vowel coalescence	15955	2.25	41	Mahābhārata (full, incl. Bhagavadgītā)(7424), Rāmāyaṇa(2182), Suśrutasaṃhitā(1182)	ity ākarṇyātmanaḥ putrāṇām anadhigataśāstrāṇāṃ nityam unmārgagāmināṃ śāstrānanuṣṭhānenodvignamanāḥ sa rājā cintayāmāsa ākarṇya+ātmanaḥ→ākarṇyātmanaḥ · tadā rājā sāścaryo babhūva rājñoktam bho digambara mahad ratnaṃ tvayā kena kāraṇenānītam kāraṇena+ānītam→kāraṇenānītam · sa ca tapasvī krodhākulitanetraḥ yāvadūrdhvaṃ paśyati tāvattatkrodhāgninā bhasmībhūtāṃ balākāṃ bhūmau patitāṃ dṛṣṭvā balākāṃ dagdhvā nārāyaṇadvijagṛhe bhikṣārthaṃ yayau krodha+ākulita→krodhākulitanetraḥ · alasavalitaiḥ premārdrārdrair muhurmukulīkṛtaiḥ kṣaṇam abhimukhair lajjālolair nimeṣaparāṅmukhaiḥ prema+ārdra→premārdrārdrair
