rule	category	count	pct	examples
a a → ā	vowel coalescence	193	10.04	śakyasamucchedatve 'pi ca śāstraviṣayasya jñānasyānupāyatvād vā sukarasyopāyāntarasya sadbhāvād vā jñānasya+an→jñānasyānupāyatvād · tatra na tāvad duḥkhaṃ nāsti nāpyajihāsitam ity uktaṃ duḥkhatrayābhighātād iti na+asti→nāsti · tatra na tāvad duḥkhaṃ nāsti nāpyajihāsitam ity uktaṃ duḥkhatrayābhighātād iti na+api→nāpyajihāsitam · upasarjanasyāpi buddhyā saṃnikṛṣṭasya tadā parāmarśaḥ upasarjanasya+api→upasarjanasyāpi
m p → ṃ p	anusvāra / nasal	74	3.85	tad etat pratyātmani vedanīyaṃ duḥkhaṃ rajaḥpariṇāmabhedo na śakyaṃ pratyākhyātum śakyaṃ+pratyākhyātum · arke cenmadhu vindeta kim arthaṃ parvataṃ vrajet arthaṃ+parvataṃ · asyāṃ pratijñāyāṃ hetum āha sa hyaviśuddhikṣayātiśayayuktaḥ asyāṃ+pratijñāyāṃ · atha pramādataḥ prāyaścittam api nācaritaṃ pradhānakarmavipākasamaye ca pacyate tathāpi yāvad asāv anarthaṃ sūte tāvat sapratyavamarṣaḥ ācaritam→nācaritaṃ +pradhāna
a ā → ā	vowel coalescence	71	3.69	tatrādhyātmikaṃ dvividhaṃ śārīraṃ mānasaṃ ca tatra+ādhyātmikam→tatrādhyātmikaṃ · tatrādhibhautikaṃ mānuṣapaśumṛgapakṣisarīsṛpasthāvaranimittam tatra+ādhibhautikam→tatrādhibhautikaṃ · yathāvidhi rasāyanakāminīnītiśāstrābhyāsamantrādyupayoge 'pi tasya tasyādhyātmikāder duḥkhasyānivṛtter darśanāt anaikāntikatvaṃ nivṛttasyāpi punarutpattidarśanād anātyantikatvam iti sukaro 'pyaikāntikātyantikaduḥkhanivṛtter na dṛṣṭa upāya iti nāpārthā jijñāsetyarthaḥ tasya+ādhyātmika→tasyādhyātmikāder · aikāntikātyantikaduḥkhapratīkārānupāyatvasyobhayatrāpi tulyatvāt aikāntika+ātyantika→aikāntikātyantikaduḥkhapratīkārānupāyatvasyobhayatrāpi
m v → ṃ v	anusvāra / nasal	61	3.17	jihāsitaṃ vāśakyasamucchedam jihāsitaṃ+vā · śārīraṃ vātapittaśleṣmaṇāṃ vaiṣamyanimittam śārīraṃ+vāta · śārīraṃ vātapittaśleṣmaṇāṃ vaiṣamyanimittam śleṣmaṇām→vātapittaśleṣmaṇāṃ +vaiṣamya · arke cenmadhu vindeta kim arthaṃ parvataṃ vrajet parvataṃ+vrajet
i a → y a	vowel coalescence	55	2.86	yadyapi na saṃnirudhyate duḥkhaṃ tathāpi tadabhibhavaḥ śakyaṃ kartum ityupariṣṭānnivedayiṣyate yadi+api→yadyapi · yadyapi duḥkham amaṅgalaṃ tathāpi tadapaghāto maṅgalam eveti yuktaṃ tatkīrtanam iti yadi+api→yadyapi · yadyapyānuśravika iti sāmānyābhidhānaṃ tathāpi karmakalāpābhiprāyaṃ draṣṭavyaṃ vivekajñānasyāpy ānuśravikatvāt yadi+api→yadyapyānuśravika · asyāṃ pratijñāyāṃ hetum āha sa hyaviśuddhikṣayātiśayayuktaḥ hi+aviśuddhi→hyaviśuddhikṣayātiśayayuktaḥ
m t → ṃ t	anusvāra / nasal	54	2.81	duḥkhānāṃ trayaṃ duḥkhatrayam duḥkhānāṃ+trayaṃ · yadyapi na saṃnirudhyate duḥkhaṃ tathāpi tadabhibhavaḥ śakyaṃ kartum ityupariṣṭānnivedayiṣyate duḥkhaṃ+tathā · tathā copapannaṃ tadapaghātake hetāviti upapannam→copapannaṃ +tad · yadyapi duḥkham amaṅgalaṃ tathāpi tadapaghāto maṅgalam eveti yuktaṃ tatkīrtanam iti yuktaṃ+tad
ḥ i → Ø i	visarga	49	2.55	apaghātakaś ca hetuḥ śāstravyutpādyo nānya ityāśayaḥ anyaḥ→nānya +iti · tathādhidaivikasya duḥkhasya maṇimantrādyupayogaḥ sukaraḥ pratīkāropāya iti upāyaḥ→pratīkāropāya +iti · yathāvidhi rasāyanakāminīnītiśāstrābhyāsamantrādyupayoge 'pi tasya tasyādhyātmikāder duḥkhasyānivṛtter darśanāt anaikāntikatvaṃ nivṛttasyāpi punarutpattidarśanād anātyantikatvam iti sukaro 'pyaikāntikātyantikaduḥkhanivṛtter na dṛṣṭa upāya iti nāpārthā jijñāsetyarthaḥ upāya+iti · tatra bhava ānuśravikas tatra prāpto jñāta iti yāvat jñāta+iti
t a → d a	consonant / other	47	2.45	tad anena duḥkhatrayeṇāntaḥkaraṇavartinā cetanāśakteḥ pratikūlatayābhisambandho 'bhighātaḥ tad+anena · yathāvidhi rasāyanakāminīnītiśāstrābhyāsamantrādyupayoge 'pi tasya tasyādhyātmikāder duḥkhasyānivṛtter darśanāt anaikāntikatvaṃ nivṛttasyāpi punarutpattidarśanād anātyantikatvam iti sukaro 'pyaikāntikātyantikaduḥkhanivṛtter na dṛṣṭa upāya iti nāpārthā jijñāsetyarthaḥ darśanāt→punarutpattidarśanād +an · gurupāṭhād anuśrūyata ityanuśravo vedaḥ pāṭhāt→gurupāṭhād +anuśrūyata · atha pramādataḥ prāyaścittam api nācaritaṃ pradhānakarmavipākasamaye ca pacyate tathāpi yāvad asāv anarthaṃ sūte tāvat sapratyavamarṣaḥ yāvad+asāv
m s → ṃ s	anusvāra / nasal	45	2.34	astu duḥkhatrayaṃ jihāsatu ca taccetano bhavatu ca tacchakyahānaṃ sahatāṃ ca śāstragamya upāyastad ucchettum hānam→tacchakyahānaṃ +sahatāṃ · atha pramādataḥ prāyaścittam api nācaritaṃ pradhānakarmavipākasamaye ca pacyate tathāpi yāvad asāv anarthaṃ sūte tāvat sapratyavamarṣaḥ anarthaṃ+sūte · yad āhur ābhūtasaṃplavaṃ sthānam amṛtatvaṃ hi bhāṣyate ābhūtasaṃplavaṃ+sthānam · tad evaṃ prekṣāvadapekṣitārthatvena śāstrārambhaṃ samādhāya śāstram ārabhamāṇaḥ śrotur buddhisamavadhānāya tadarthaṃ saṃkṣepataḥ pratijānīte ārambham→śāstrārambhaṃ +samādhāya
m k → ṃ k	anusvāra / nasal	42	2.19	mānasaṃ kāmakrodhalobhamohabhayerṣyāviṣayaviśeṣadarśananibandhanam mānasaṃ+kāma · yadyapi na saṃnirudhyate duḥkhaṃ tathāpi tadabhibhavaḥ śakyaṃ kartum ityupariṣṭānnivedayiṣyate śakyaṃ+kartum · tathāpare ṛṣayo manīṣiṇaḥ paraṃ karmabhyo 'mṛtatvam ānaśuḥ paraṃ+karmabhyo · śrutismṛtītihāsapurāṇebhyo vyaktādīn vivekena śrutvā śāstrayuktyā ca vyavasthāpya dīrghakālādaranairantaryasatkārasevitād bhāvanāmayāt tattvābhyāsān nāsmi na me nāham ityapariśeṣam aviparyayād viśuddhaṃ kevalam utpadyate jñānam iti viśuddhaṃ+kevalam
