rule	category	count	pct	examples
a a → ā	vowel coalescence	34	5.88	taparakaraṇaṃ tv iha sarvārtham sarva+artham→sarvārtham · punar guṇavṛddhigrahaṇaṃ svasaṃjñayā vidhāne niyamārtham niyama+artham→niyamārtham · halaḥ iti kim titaucchatram saṃyogāntasya lopaḥ iti lopaḥ syāt saṃyoga+antasya→saṃyogāntasya · saṃyogapradeśāḥ saṃyogāntasya lopaḥ ity evamādayaḥ saṃyoga+antasya→saṃyogāntasya
i a → y a	vowel coalescence	31	5.36	laghūpadhaguṇasya apyatra pratiṣedhaḥ api+atra→apyatra · acinavam asunavam ity ādau lakārasya saty api ṅittve yāsuṭo ṅidvacanaṃ jñāpakam ṅiti yat kāryaṃ tallakāre ṅiti na bhavati iti saty+api · saṃdhyakṣarāṇāṃ hrasvā na santi tāny api dvādaśaprabhedāni tāny+api · kiṃ ca syāt tarptā tarptum ity atra jharojhari savarṇe iti pakārasya takāre lopaḥ syāt ity+atra
i e → y e	vowel coalescence	29	5.02	vṛddhipradeśāḥ sici vṛddhiḥ parasmaipadeṣu ityevamādayaḥ iti+evamādayaḥ→ityevamādayaḥ · guṇapradeśāḥ mider guṇaḥ ityevamādayaḥ iti+evamādayaḥ→ityevamādayaḥ · ikaḥ ity eva abhāji rāgaḥ ity+eva · ikaḥ ityeva iti+eva→ityeva
m p → ṃ p	anusvāra / nasal	21	3.63	ahaṃ pace ahaṃ+pace · prayatanaṃ prayatnaḥ spṛṣṭatādir varṇaguṇaḥ prayatanaṃ+prayatnaḥ · tulya āsye prayatno yasya varṇasya yena varṇena saha sa samānajātīyaṃ prati savarṇasañjño bhavati jātīyam→samānajātīyaṃ +prati · īt ūt et ityevamantaṃ dvivacanaṃ śabdarūpaṃ pragṛhyasañjñaṃ bhavati rūpam→śabdarūpaṃ +pragṛhya
m s → ṃ s	anusvāra / nasal	16	2.77	vṛddhiśabdaḥ saṃjñātvena vidhīyate pratyekam ādaicāṃ varṇānāṃ sāmānyena tadbhāvitānām atadbhāvitānāṃ ca varṇānāṃ+sāmānyena · guṇaśabdaḥ saṃjñātvena vidhīyate pratyekam adeṅāṃ varṇānāṃ sāmānyena tadbhāvitānām atadbhāvitānāṃ ca varṇānāṃ+sāmānyena · paribhāṣā iyaṃ sthāniniyamārthā iyaṃ+sthāni · punar guṇavṛddhigrahaṇaṃ svasaṃjñayā vidhāne niyamārtham grahaṇam→guṇavṛddhigrahaṇaṃ +sva
a ā → ā	vowel coalescence	16	2.77	vakṣyati sārvadhātukārdhadhātukayoḥ aṅgasya guṇa iti sārvadhātuka+ārdhadhātukayoḥ→sārvadhātukārdhadhātukayoḥ · jusi sārvadhātukādiguṇeṣu ikāṅgaṃ viśeṣyate sārvadhātuka+ādi→sārvadhātukādiguṇeṣu · yathā kartavyam ity atra pratyayādyudāttatvaṃ bhavati evam aupagavam ity atra api yathā syāt pratyaya+ādi→pratyayādyudāttatvaṃ · sarvaśabdaḥ ādir yeṣāṃ tānīmāni sarvādīni sarvanāmasaṃjñāni bhavanti sarva+ādīni→sarvādīni
m bh → ṃ bh	anusvāra / nasal	16	2.77	kiṃ kṛtaṃ bhavati dvitīyayā ṣaṣṭhī prādurbhāvyate kṛtaṃ+bhavati · āsyagrahaṇaṃ kim kacaṭatapānāṃ bhinnasthānānāṃ tulyaprayatnānāṃ mā bhūt pānām→kacaṭatapānāṃ +bhinna · prayatnagrahaṇaṃ kim icuyaśānāṃ tulyasthānānāṃ bhinnajātīyānāṃ mā bhūt sthānānām→tulyasthānānāṃ +bhinna · īt ūt et ityevamantaṃ dvivacanaṃ śabdarūpaṃ pragṛhyasañjñaṃ bhavati sañjñam→pragṛhyasañjñaṃ +bhavati
aḥ bh → o bh	visarga	15	2.6	mukhasahitā nāsikā mukhanāsikā tayā ya uccāryate varṇaḥ so 'nunāsikasañjño bhavati sañjñaḥ→'nunāsikasañjño +bhavati · tulya āsye prayatno yasya varṇasya yena varṇena saha sa samānajātīyaṃ prati savarṇasañjño bhavati sañjñaḥ→savarṇasañjño +bhavati · ubhayoḥ ṛvarṇasya ṝvarṇasya cāntaratamaḥ savarṇo dīrgho nāsti iti ṛkāra eva dīrgho bhavati dīrgho+bhavati · ekaśca asāvacca ekāc nipāto ya ekāc āṅvarjitaḥ sa pragṛhyasañjño bhavati sañjñaḥ→pragṛhyasañjño +bhavati
m k → ṃ k	anusvāra / nasal	14	2.42	kiṃ kṛtaṃ bhavati dvitīyayā ṣaṣṭhī prādurbhāvyate kiṃ+kṛtaṃ · dhātugrahaṇaṃ kim lūñ lavitā grahaṇam→dhātugrahaṇaṃ +kim · bahuvrīhisamāśrayaṇaṃ kim knopayati preddham āśrayaṇam→bahuvrīhisamāśrayaṇaṃ +kim · mukhagrahaṇaṃ kim anusvārasyaiva hi syāt grahaṇam→mukhagrahaṇaṃ +kim
aḥ a → o a	visarga	13	2.25	lolūyādibhyo yaṅantebhyaḥ pacādyaci vihite yaṅo 'ci ca iti yaṅo luki kṛte tam eva acam āśritya ye guṇavṛddhī prāpte tayoḥ pratiṣedhaḥ ṅaḥ→yaṅo +a · mukhasahitā nāsikā mukhanāsikā tayā ya uccāryate varṇaḥ so 'nunāsikasañjño bhavati so+anunāsika · uñaḥ itāvanārṣe ūṃ ity ayam ādeśo bhavati dīrgho 'nunāsikaśca śākalyasya matena pragṛhyasaṃjñakaśca dīrgho+anunāsikaḥ · tvaśabdo 'nyavācī svarabhedād dviḥ paṭhitaḥ śabdaḥ→tvaśabdo +anya
