headword	similarity
bukampa	0.4486
bogadeha	0.3577
bimadevi	0.3571
brahmahatya	0.349
brahmara	0.347
arogyasala	0.339
bawaka	0.3299
azwapadika	0.3214
avipawa	0.3125
asvamivikraya	0.3061
brahmatmabu	0.3006
bratfdvitiya	0.2992
brahmavftti	0.2973
baryya	0.2947
bfngara	0.2933
balukasveda	0.2917
badranidi	0.2818
alikamatsya	0.2791
bayjanaka	0.2703
brahmapeta	0.2653
avaneya	0.2609
berava	0.2582
adamargava	0.2581
apapa	0.2564
ajatya	0.25
bfngi	0.25
brasa	0.25
bimarati	0.2472
bizmazwami	0.2456
bodavasara	0.2444
anyada	0.2424
akzepaka	0.24
alipatrika	0.2381
angarakamari	0.2381
artavyayajya	0.2368
ayogava	0.2361
arasika	0.2353
bakoza	0.2353
amarqa	0.2308
akzayatftiya	0.2295
arddodaya	0.2286
ambuvasi	0.2273
angati	0.225
amlanini	0.2222
amlapala	0.2222
amlapatri	0.2222
badravat	0.2222
bogabumi	0.2222
ba	0.2203
anilagnaka	0.2188
anamsumatpala	0.2174
anavadanata	0.2174
asampratam	0.2174
astisfnkala	0.2174
cakraparivyada	0.2174
avahani	0.2162
bagavata	0.2154
alingya	0.2143
andika	0.2143
angari	0.2143
apasarpa	0.2143
camasa	0.2125
aka	0.2105
antima	0.2105
arundatijani	0.2105
bakzawaka	0.2105
ambukisa	0.2083
antardda	0.2083
avahalika	0.2083
aza	0.2083
bakta	0.2074
adarera	0.2069
ahamyu	0.2069
azwadasanga	0.2061
bagirata	0.2037
apacara	0.2027
aruqa	0.2022
ca	0.2011
aberi	0.2
adarira	0.2
advanina	0.2
akiycana	0.2
alimoda	0.2
amlapatra	0.2
amlikavawaka	0.2
angarika	0.2
antarapatya	0.2
bujangalata	0.2
burjakarwaka	0.2
calanaka	0.2
asrayasa	0.1961
ambuvaci	0.1951
brahmagiri	0.1951
anupama	0.1944
butasuddi	0.194
agratahsara	0.1935
balakilya	0.1928
amamasi	0.1923
avarohika	0.1923
abjahasta	0.1905
arddaparavata	0.1905
arkapadapa	0.1905
aruralocana	0.1905
avasekima	0.1905
barqaka	0.1905
bransa	0.1905
calaka	0.1905
ara	0.1875
ayjanavati	0.1875
bodani	0.1868
abisapta	0.1852
ahnaya	0.1852
apakara	0.1852
apyayita	0.1852
asramatfka	0.1852
atidipya	0.1852
balavat	0.1842
abijata	0.1829
ahlada	0.1818
amlowaka	0.1818
antarbuta	0.1818
apitu	0.1818
arizwaduzwadi	0.1818
asimeda	0.1818
atirasa	0.1818
atmiya	0.1818
badraraka	0.1818
brahmasalya	0.1818
buridugda	0.1818
akutobaya	0.1786
amlavati	0.1786
apasada	0.1786
avityaja	0.1786
ahopuruzika	0.1765
arurevati	0.1765
ativikawa	0.1765
atyala	0.1765
bavadaru	0.1765
bujadala	0.1765
bahupratijya	0.1758
bfgu	0.1741
ajakava	0.1739
alivahini	0.1739
amamsa	0.1739
artika	0.1739
azaqa	0.1739
buqa	0.1739
aditala	0.1724
agru	0.1724
anantasirza	0.1724
basmahvaya	0.1724
bfja	0.1724
brahmarakzasa	0.1724
alamba	0.1719
baqa	0.1714
bfkuwi	0.1714
atyuha	0.1698
abdikapa	0.1667
abisampata	0.1667
abrapisaca	0.1667
adojihvika	0.1667
agadankara	0.1667
alpapatra	0.1667
amba	0.1667
angarapuzpa	0.1667
anurakti	0.1667
apaviza	0.1667
arqakowarapuzpi	0.1667
arravamandira	0.1667
asfgdara	0.1667
avagurwika	0.1667
avaharyya	0.1667
avasatya	0.1667
avyarqa	0.1667
badragandika	0.1667
barqiralatika	0.1667
barqitaki	0.1667
bujangakya	0.1667
burimaya	0.1667
cakralatamra	0.1667
apraptavyavahara	0.1644
azwavarga	0.1633
bukasyapa	0.1628
apakriya	0.1622
avalagna	0.1622
abira	0.1613
barha	0.1613
cakranki	0.1613
adigadadara	0.1609
anikini	0.1605
bagola	0.1603
aja	0.16
ajawa	0.16
amagandi	0.16
anuka	0.16
arddahara	0.16
atimangalya	0.16
ayukcada	0.16
busta	0.16
buwa	0.16
