slp1	hom	sense_id	first_era	era_rank	bucket_via	class	n_cites	n_dateable	bridge_status	bridge_mw_sense	count_all	sense_rank	lemma_share	n_texts	top_genre	top_genre_share	provenance	confidence
Aditya		1a	vedic	1	dcs	DATEABLE	11	11	joined	mw:23910:1	3	3	0.0118	2	veda	1.0	attested	
Aditya		1b	vedic	1	dcs	DATEABLE	10	10	bridge_unaligned									
Aditya		2a	vedic	1	dcs+hand:class	DATEABLE	23	20	bridge_unaligned									
Aditya		2b	vedic	1	dcs	DATEABLE	67	62	bridge_unaligned									
Aditya		2c	vedic	1	dcs	DATEABLE	11	10	bridge_unaligned									
Aditya		2d	vedic	1	dcs	DATEABLE	62	52	bridge_unaligned									
Aditya		2e	classical	3	dharmamitra	DATEABLE	9	8	bridge_unaligned									
Aditya		2g	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Aditya		2f	late-medieval	5	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Aditya		1c				UNRESOLVED	1	0	bridge_unaligned									
Aditya		3				UNDATEABLE	1	0	bridge_unaligned									
Agama		1	vedic	1	dcs+hand:class	DATEABLE	8	8	bridge_no_freq	mw:22572:1								
Agama		2a	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	25	20	bridge_unaligned									
Agama		2b	epic-sutra	2	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Agama		2c	epic-sutra	2	dcs	DATEABLE	4	2	bridge_unaligned									
Agama		2d	epic-sutra	2	dcs+dharmamitra	DATEABLE	10	8	bridge_unaligned									
Agama		2e	epic-sutra	2	dcs	DATEABLE	7	6	bridge_unaligned									
Agama		2f	epic-sutra	2	hand:class	DATEABLE-MARGINAL	5	1	bridge_unaligned									
Agama		2g	epic-sutra	2	dcs+dharmamitra	DATEABLE	13	10	bridge_unaligned									
Agama		2h	epic-sutra	2	dcs+dharmamitra	DATEABLE	40	19	bridge_unaligned									
Agama		2i	epic-sutra	2	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Agama		60k	epic-sutra	2	hand:class	DATEABLE	8	8	bridge_unaligned									
Agama		3	late-medieval	5	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
Agama		2k				UNDATEABLE	1	0	bridge_unaligned									
Agama		60l				UNRESOLVED	1	0	bridge_unaligned									
Agneya		1a	vedic	1	dcs	DATEABLE	24	18	joined	mw:22704:1	35	1	0.9211	10	ayurveda	0.6857	attested	
Agneya		2a	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Agneya		2c	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Agneya		3b	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Agneya		4b	epic-sutra	2	hand:class	DATEABLE	2	2	bridge_unaligned									
Agneya		1c	classical	3	dharmamitra	DATEABLE	7	7	bridge_unaligned									
Agneya		3c	classical	3	dharmamitra	DATEABLE	12	10	bridge_unaligned									
Agneya		4e	classical	3	dharmamitra	DATEABLE	5	5	bridge_unaligned									
Agneya		2b	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Agneya		3a	early-medieval	4	hand:class	DATEABLE	3	2	bridge_unaligned									
Agneya		4a	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Agneya		4c	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Agneya		4d	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Agneya		1b				UNDATEABLE	1	0	bridge_unaligned									
Agneya		4f				UNDATEABLE	1	0	bridge_unaligned									
Arya		2f	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Arya		3b	epic-sutra	2	dharmamitra	DATEABLE	4	4	bridge_unaligned									
Arya		1a	classical	3	dharmamitra	DATEABLE	3	3	joined	mw:26533:1	22	2	0.2268	4	epic	0.7727	attested	
Arya		3c	classical	3	hand:class	DATEABLE	10	5	bridge_unaligned									
Arya		1c	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Arya		1g	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Arya		2c	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Arya		2d	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Arya		2b	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Arya		1f				UNRESOLVED	1	0	bridge_unaligned									
Arya		2e				UNDATEABLE	1	0	bridge_unaligned									
Arya		3d				UNDATEABLE	2	0	bridge_unaligned									
As	2	10	vedic	1	dcs	DATEABLE	9	8	bridge_no_freq	mw:27850:1								
As	2	11	vedic	1	dcs	DATEABLE	31	28	bridge_unaligned									
As	2	12	vedic	1	dcs	DATEABLE	8	8	bridge_unaligned									
As	2	13	vedic	1	dcs	DATEABLE	17	8	bridge_unaligned									
As	2	3	vedic	1	dcs	DATEABLE	79	68	bridge_unaligned									
As	2	4a	vedic	1	dcs	DATEABLE	30	27	bridge_unaligned									
As	2	5	vedic	1	dcs	DATEABLE	32	26	bridge_unaligned									
As	2	6	vedic	1	dcs	DATEABLE	11	6	bridge_unaligned									
As	2	7	vedic	1	dcs	DATEABLE	42	35	bridge_unaligned									
As	2	9	vedic	1	dcs	DATEABLE	11	8	bridge_unaligned									
As	2	1a	epic-sutra	2	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
As	2	1c	epic-sutra	2	dcs	DATEABLE	2	2	bridge_unaligned									
As	2	2a	epic-sutra	2	dharmamitra	DATEABLE	2	2	bridge_unaligned									
As	2	2b	epic-sutra	2	dcs+hand:class	DATEABLE	10	10	bridge_unaligned									
As	2	4b	epic-sutra	2	dcs	DATEABLE	9	5	bridge_unaligned									
As	2	4c	epic-sutra	2	dcs+dharmamitra	DATEABLE	11	9	bridge_unaligned									
As	2	8	epic-sutra	2	dcs+dharmamitra	DATEABLE	3	3	bridge_unaligned									
As	2	4d	classical	3	dharmamitra	DATEABLE	2	2	bridge_unaligned									
As	2	4e	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
As	2	4f	early-medieval	4	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
As	2	14	late-medieval	5	dharmamitra	DATEABLE-MARGINAL	3	1	bridge_unaligned									
As	2	1b				UNDATEABLE	1	0	bridge_unaligned									
Asana	1	3b	vedic	1	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Asana	1	84d	vedic	1	dcs	DATEABLE	38	33	bridge_unaligned									
Asana	1	1a	epic-sutra	2	dcs+hand:class	DATEABLE	28	15	joined	mw:27854:1	27	2	0.2872	11	ayurveda	0.4444	attested	
Asana	1	2	epic-sutra	2	hand:class	DATEABLE	4	4	bridge_unaligned									
Asana	1	84b	epic-sutra	2	dcs	DATEABLE	11	10	bridge_unaligned									
Asana	1	84c	epic-sutra	2	dcs	DATEABLE	2	2	bridge_unaligned									
Asana	1	1e	classical	3	dharmamitra	DATEABLE	2	2	bridge_unaligned									
Asana	1	84e	classical	3	dharmamitra	DATEABLE	4	3	bridge_unaligned									
Asana	1	1d	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Asana	1	3c	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Asana	1	3a				UNDATEABLE	1	0	bridge_unaligned									
Asura		1a	vedic	1	dcs	DATEABLE	7	6	joined	mw:28046:1	1	3	0.0588	1	epic	1.0	attested	
Asura		1b	vedic	1	dcs	DATEABLE	32	27	bridge_unaligned									
Asura		2a	vedic	1	dcs	DATEABLE	7	5	bridge_unaligned									
Asura		2b	epic-sutra	2	dcs	DATEABLE	2	2	bridge_unaligned									
Asura		2d	epic-sutra	2	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Asura		3b	classical	3	dharmamitra	DATEABLE	2	2	bridge_unaligned									
Asura		2c	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	3	1	bridge_unaligned									
Asura		3c	early-medieval	4	dcs	DATEABLE	3	2	bridge_unaligned									
Asura		4a	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Asura		3a	late-medieval	5	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
Asura		4b	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Atman		2	vedic	1	dcs	DATEABLE	31	30	bridge_unaligned									
Atman		3	vedic	1	dcs	DATEABLE	114	104	bridge_unaligned									
Atman		4	vedic	1	dcs	DATEABLE	16	15	bridge_unaligned									
Atman		5	vedic	1	dcs	DATEABLE	12	9	bridge_unaligned									
Atman		8	vedic	1	dcs	DATEABLE	15	12	bridge_unaligned									
Atman		15	epic-sutra	2	dharmamitra	DATEABLE	10	7	bridge_unaligned									
Atman		6	epic-sutra	2	dcs	DATEABLE	7	5	bridge_unaligned									
Atman		7	epic-sutra	2	hand:class	DATEABLE	6	5	bridge_unaligned									
Atman		10	classical	3	dharmamitra	DATEABLE	3	2	joined	mw:23455:1	53	4	0.1023	8	veda	0.434	attested	
Atman		9	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
Atman		13	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
Atman		14	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
Atman		16				UNRESOLVED	1	0	bridge_unaligned									
AvApa		1	epic-sutra	2	dharmamitra	DATEABLE	2	2	joined	mw:26979:1	16	1	0.8	6	rasasastra	1.0	attested	
AvApa		2d	epic-sutra	2	hand:class	DATEABLE	12	12	bridge_unaligned									
AvApa		2h	epic-sutra	2	dcs+dharmamitra	DATEABLE	4	3	bridge_unaligned									
AvApa		2i	classical	3	dharmamitra	DATEABLE	4	3	bridge_unaligned									
AvApa		2l	classical	3	dharmamitra	DATEABLE	5	3	bridge_unaligned									
AvApa		2a	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
AvApa		2e	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
AvApa		2f	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
AvApa		2g	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
AvApa		2k	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
AvApa		2m	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
AvApa		2b				UNDATEABLE	2	0	bridge_unaligned									
AvApa		2c				UNDATEABLE	5	0	bridge_unaligned									
BArata		1a	vedic	1	dcs	DATEABLE	9	9	bridge_no_freq	mw:149947:1								
BArata		1b	vedic	1	dcs	DATEABLE	26	20	bridge_unaligned									
BArata		3a	vedic	1	dcs+hand:class	DATEABLE	36	29	bridge_unaligned									
BArata		1c	epic-sutra	2	dharmamitra	DATEABLE	6	6	bridge_unaligned									
BArata		1d	epic-sutra	2	dharmamitra+hand:class	DATEABLE	8	5	bridge_unaligned									
BArata		1e	epic-sutra	2	dharmamitra+hand:class	DATEABLE	25	15	bridge_unaligned									
BArata		1g	epic-sutra	2	dharmamitra	DATEABLE	25	19	bridge_unaligned									
BArata		3c	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
BArata		1i	classical	3	dharmamitra	DATEABLE	13	5	bridge_unaligned									
BArata		3b	classical	3	dharmamitra	DATEABLE	6	3	bridge_unaligned									
BArata		1h	early-medieval	4	dcs	DATEABLE	2	2	bridge_unaligned									
BArata		2	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BArata		1f				UNDATEABLE	1	0	bridge_unaligned									
BArata		4				UNRESOLVED	3	0	bridge_unaligned									
BArata		5				UNDATEABLE	2	0	bridge_unaligned									
BAva		10	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	20	11	joined	mw:150178:1	3	7	0.0183	2	epic	0.6667	attested	
BAva		11	epic-sutra	2	dcs+dharmamitra	DATEABLE	29	17	bridge_unaligned									
BAva		12	epic-sutra	2	dharmamitra	DATEABLE	6	3	bridge_unaligned									
BAva		17	epic-sutra	2	hand:class	DATEABLE	14	6	bridge_unaligned									
BAva		3	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	25	9	bridge_unaligned									
BAva		4	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BAva		5	epic-sutra	2	dharmamitra+hand:class	DATEABLE	15	10	bridge_unaligned									
BAva		6	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	64	46	bridge_unaligned									
BAva		7	epic-sutra	2	dcs	DATEABLE-MARGINAL	2	1	bridge_unaligned									
BAva		9	epic-sutra	2	dcs+dharmamitra	DATEABLE	24	19	bridge_unaligned									
