slp1	hom	sense_id	n_cites	n_dateable	first_era	bucket_via	marginal	class	conflict_notes
Aditya		1a	11	11	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
Aditya		1b	10	10	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/) | late-Vedic Upaniṣad; DCS date table BĀU -699..-499 (the pin both probes used for Chānd./Bṛh. Āraṇyaka strata)
Aditya		1c	1	0			0	UNRESOLVED	
Aditya		2a	23	20	vedic	dcs+hand:class	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/) | H4016 hand-checked seed call (hand:class)
Aditya		2b	67	62	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/) | late-Vedic Upaniṣad; DCS date table BĀU -699..-499 (the pin both probes used for Chānd./Bṛh. Āraṇyaka strata)
Aditya		2c	11	10	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
Aditya		2d	62	52	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/) | late-Vedic Upaniṣad; DCS date table BĀU -699..-499 (the pin both probes used for Chānd./Bṛh. Āraṇyaka strata)
Aditya		2e	9	8	classical	dharmamitra	0	DATEABLE	H4016 hand-checked seed call via the Dharmamitra chronology
Aditya		2f	1	1	late-medieval	hand:class	1	DATEABLE-MARGINAL	same discount class as anthologies (H4019 addendum) | Rādhākānta Deva's kośa, 19th-c. compile; MG ruling 03-09-2026 (H4019 addendum §1): PWG citations give only a recent terminus — dated late-medieval CEILING with low attestation value | terminus-ceiling work: attestation value low
Aditya		2g	2	1	early-medieval	dharmamitra	1	DATEABLE-MARGINAL	H4016 hand-checked seed call via the Dharmamitra chronology
Aditya		3	1	0			0	UNDATEABLE	
Agama		1	8	8	vedic	dcs+hand:class	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/) | H4016 hand-checked seed call (hand:class)
Agama		2a	25	20	epic-sutra	dcs+dharmamitra+hand:class	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/) | DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite | DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call | net-new; cited via a modern chrestomathy | Nala episode of the Mahābhārata; PWG cites Böhtlingk's Chrestomathie — text date, not edition date (same pattern as the seed's HARIVAṂŚA im 4ten Bande des MBH call) | H4016 hand-checked seed call via the Dharmamitra chronology
Agama		2b	1	1	epic-sutra	hand:class	1	DATEABLE-MARGINAL	seed left no-rule (unresolved locus 'das') | Yāska's Nirukta (vedāṅga) with the Nighaṇṭus; standard dating 5th-3rd c. BCE — post-Vedic, pre-classical bucket
Agama		2c	4	2	epic-sutra	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
Agama		2d	10	8	epic-sutra	dcs+dharmamitra	0	DATEABLE	DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite | DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call | H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
Agama		2e	7	6	epic-sutra	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
Agama		2f	5	1	epic-sutra	hand:class	1	DATEABLE-MARGINAL	H4016 hand-checked seed call (hand:class)
Agama		2g	13	10	epic-sutra	dcs+dharmamitra	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/) | DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite | DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call
Agama		2h	40	19	epic-sutra	dcs+dharmamitra	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/) | DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite | DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call
Agama		2i	1	1	epic-sutra	hand:class	1	DATEABLE-MARGINAL	prātiśākhya genre (vedāṅga)
Agama		2k	1	0			0	UNDATEABLE	
Agama		3	3	1	late-medieval	hand:class	1	DATEABLE-MARGINAL	same discount class as anthologies (H4019 addendum) | Rādhākānta Deva's kośa, 19th-c. compile; MG ruling 03-09-2026 (H4019 addendum §1): PWG citations give only a recent terminus — dated late-medieval CEILING with low attestation value | terminus-ceiling work: attestation value low
Agama		60k	8	8	epic-sutra	hand:class	0	DATEABLE	seed left no-rule | prātiśākhya genre (vedāṅga), late-Vedic/sūtra transition; standard dating within the sūtra period | prātiśākhya genre (vedāṅga); same anchor as Ṛgveda-Prātiśākhya | prātiśākhya genre (vedāṅga)
Agama		60l	1	0			0	UNRESOLVED	
Agneya		1a	24	18	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
Agneya		1b	1	0			0	UNDATEABLE	
Agneya		1c	7	7	classical	dharmamitra	0	DATEABLE	H4016 hand-checked seed call via the Dharmamitra chronology
Agneya		2a	2	1	epic-sutra	dharmamitra	1	DATEABLE-MARGINAL	DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite | DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call
Agneya		2b	1	1	early-medieval	hand:class	1	DATEABLE-MARGINAL	H4016 hand-checked seed call (hand:class)
Agneya		2c	1	1	epic-sutra	dharmamitra	1	DATEABLE-MARGINAL	DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite | DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call
Agneya		3a	3	2	early-medieval	hand:class	0	DATEABLE	H4016 hand-checked seed call (hand:class)
Agneya		3b	1	1	epic-sutra	dharmamitra	1	DATEABLE-MARGINAL	H4016 hand-checked seed call via the Dharmamitra chronology
Agneya		3c	12	10	classical	dharmamitra	0	DATEABLE	H4016 hand-checked seed call via the Dharmamitra chronology
Agneya		4a	1	1	early-medieval	hand:class	1	DATEABLE-MARGINAL	H4016 hand-checked seed call (hand:class)
Agneya		4b	2	2	epic-sutra	hand:class	0	DATEABLE	H4016 hand-checked seed call (hand:class)
Agneya		4c	2	1	late-medieval	hand:class	1	DATEABLE-MARGINAL	same discount class as anthologies (H4019 addendum) | Rādhākānta Deva's kośa, 19th-c. compile; MG ruling 03-09-2026 (H4019 addendum §1): PWG citations give only a recent terminus — dated late-medieval CEILING with low attestation value | terminus-ceiling work: attestation value low
Agneya		4d	2	1	late-medieval	hand:class	1	DATEABLE-MARGINAL	same discount class as anthologies (H4019 addendum) | Rādhākānta Deva's kośa, 19th-c. compile; MG ruling 03-09-2026 (H4019 addendum §1): PWG citations give only a recent terminus — dated late-medieval CEILING with low attestation value | terminus-ceiling work: attestation value low
Agneya		4e	5	5	classical	dharmamitra	0	DATEABLE	H4016 hand-checked seed call via the Dharmamitra chronology
Agneya		4f	1	0			0	UNDATEABLE	
Arya		1a	3	3	classical	dharmamitra	0	DATEABLE	H4016 hand-checked seed call via the Dharmamitra chronology
Arya		1c	1	1	early-medieval	hand:class	1	DATEABLE-MARGINAL	H4016 hand-checked seed call (hand:class)
Arya		1f	1	0			0	UNRESOLVED	
Arya		1g	1	1	early-medieval	hand:class	1	DATEABLE-MARGINAL	H4016 hand-checked seed call (hand:class)
Arya		2b	2	1	late-medieval	hand:class	1	DATEABLE-MARGINAL	same discount class as anthologies (H4019 addendum) | Rādhākānta Deva's kośa, 19th-c. compile; MG ruling 03-09-2026 (H4019 addendum §1): PWG citations give only a recent terminus — dated late-medieval CEILING with low attestation value | terminus-ceiling work: attestation value low
Arya		2c	1	1	early-medieval	hand:class	1	DATEABLE-MARGINAL	H4016 hand-checked seed call (hand:class)
Arya		2d	1	1	early-medieval	hand:class	1	DATEABLE-MARGINAL	H4016 hand-checked seed call (hand:class)
Arya		2e	1	0			0	UNDATEABLE	
Arya		2f	1	1	epic-sutra	dharmamitra	1	DATEABLE-MARGINAL	H4016 hand-checked seed call via the Dharmamitra chronology
Arya		3b	4	4	epic-sutra	dharmamitra	0	DATEABLE	H4016 hand-checked seed call via the Dharmamitra chronology
Arya		3c	10	5	classical	hand:class	0	DATEABLE	Īśvarakṛṣṇa's Sāṃkhyakārikā; standard dating c. 4th-6th c. CE — bucket classical
Arya		3d	2	0			0	UNDATEABLE	
As	2	10	9	8	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
As	2	11	31	28	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
As	2	12	8	8	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
As	2	13	17	8	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/) | late-Vedic Upaniṣad; DCS date table BĀU -699..-499 (the pin both probes used for Chānd./Bṛh. Āraṇyaka strata)
As	2	14	3	1	late-medieval	dharmamitra	1	DATEABLE-MARGINAL	H4016 hand-checked seed call via the Dharmamitra chronology
As	2	1a	1	1	epic-sutra	hand:class	1	DATEABLE-MARGINAL	H4016 hand-checked seed call (hand:class)
As	2	1b	1	0			0	UNDATEABLE	
As	2	1c	2	2	epic-sutra	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
As	2	2a	2	2	epic-sutra	dharmamitra	0	DATEABLE	DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite | DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call
As	2	2b	10	10	epic-sutra	dcs+hand:class	0	DATEABLE	H4016 hand-checked seed call (hand:class) | H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
As	2	3	79	68	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/) | late-Vedic Upaniṣad; DCS date table BĀU -699..-499 (the pin both probes used for Chānd./Bṛh. Āraṇyaka strata)
As	2	4a	30	27	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
As	2	4b	9	5	epic-sutra	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
As	2	4c	11	9	epic-sutra	dcs+dharmamitra	0	DATEABLE	DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite | DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call | H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/) | H4016 hand-checked seed call via the Dharmamitra chronology
As	2	4d	2	2	classical	dharmamitra	0	DATEABLE	H4016 hand-checked seed call via the Dharmamitra chronology
As	2	4e	2	1	early-medieval	dharmamitra	1	DATEABLE-MARGINAL	H4016 hand-checked seed call via the Dharmamitra chronology
As	2	4f	1	1	early-medieval	dcs	1	DATEABLE-MARGINAL	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
As	2	5	32	26	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
As	2	6	11	6	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
As	2	7	42	35	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
As	2	8	3	3	epic-sutra	dcs+dharmamitra	0	DATEABLE	DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite | DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call | H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
As	2	9	11	8	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
Asana	1	1a	28	15	epic-sutra	dcs+hand:class	0	DATEABLE	seed left no-rule | śrautasūtra genre; standard dating c. 4th-3rd c. BCE (same genre anchor as the seed's ŚĀṄKH. ŚR. call) | H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/) | net-new; cited via a modern chrestomathy | Nala episode of the Mahābhārata; PWG cites Böhtlingk's Chrestomathie — text date, not edition date (same pattern as the seed's HARIVAṂŚA im 4ten Bande des MBH call)
Asana	1	1d	1	1	early-medieval	dharmamitra	1	DATEABLE-MARGINAL	H4016 hand-checked seed call via the Dharmamitra chronology
Asana	1	1e	2	2	classical	dharmamitra	0	DATEABLE	H4016 hand-checked seed call via the Dharmamitra chronology
Asana	1	2	4	4	epic-sutra	hand:class	0	DATEABLE	H4016 hand-checked seed call (hand:class)
Asana	1	3a	1	0			0	UNDATEABLE	
Asana	1	3b	1	1	vedic	dcs	1	DATEABLE-MARGINAL	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
Asana	1	3c	2	1	early-medieval	hand:class	1	DATEABLE-MARGINAL	H4016 hand-checked seed call (hand:class)
Asana	1	84b	11	10	epic-sutra	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
Asana	1	84c	2	2	epic-sutra	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
Asana	1	84d	38	33	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
Asana	1	84e	4	3	classical	dharmamitra	0	DATEABLE	H4016 hand-checked seed call via the Dharmamitra chronology
Asura		1a	7	6	vedic	dcs	0	DATEABLE	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)
