kind	work_key	display	match_locus_folds	match_abbrevs	dm_title_folds	era	date_range	via	reason	flags	notes
canon_dm	ramayana	Rāmāyaṇa	ramayana		ramayana	epic-sutra	-500..299	dharmamitra	DM family mode 8/8 per-kāṇḍa chunks Epic & Sutra; corroborates the seed's DCS call (Rām -500..299)		
canon_dm	mahabharata	Mahābhārata	mahabharata		mahabharata	epic-sutra	-500..500	dharmamitra	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite
canon_dm	markandeyapurana	Mārkaṇḍeya-Purāṇa	markandeyapurana		markandeya purana	classical	3rd..6th c. CE	dharmamitra	DM anchor: core c. 3rd-6th c. CE, Devīmāhātmya layer c. 5th-6th c.; corroborates the seed		
canon_dm	amarakosa	Amarakoṣa	amarakosa		namalinganusasana	classical	4th..6th c. CE	dharmamitra	DM anchors under alias title Nāmaliṅgānuśāsana [Amarakoṣa]: Classical c. 4th-6th c. CE; corroborates the seed		H4016 conflict note kept: DM classical vs DCS AKośa 500..700
canon_dm	atharvaveda	Atharvaveda-Saṃhitā	atharvaveda		atharvaveda	vedic	-1200..-900	dharmamitra	DM family mode 2/2 chunks Vedic; corroborates the seed's DCS call (AVŚ -1200..-1000)		
canon_dm	sisupalavadha	Śiśupālavadha	sisupalavadha		sisupalavadha	early-medieval	late 7th..early 8th c. CE	dharmamitra	DM anchor: c. late 7th-early 8th c. CE		net-new (no seed call)
canon_dm	kumarasambhava	Kumārasaṃbhava	kumarasambhava		kumarasambhava	classical	4th..5th c. CE	dharmamitra	DM anchor: c. 4th-5th c. CE (Gupta); corroborates the seed's DCS call (350..450)		
canon_dm	hitopadesa	Hitopadeśa	hitopadesa		hitopadesa	early-medieval	9th..10th c. CE	dharmamitra	DM anchor: core c. 9th-10th c. CE; corroborates the seed		
canon_dm	bhattikavya	Bhaṭṭikāvya	bhattikavya		ravanavadha	classical	c. 600 CE	dharmamitra	DM anchor under alias title Rāvaṇavadha [Bhaṭṭikāvya]: c. 6th-7th c. CE; corroborates the seed		
canon_dm	meghaduta	Meghadūta	meghaduta		meghaduta	classical	4th..5th c. CE	dharmamitra	DM family mode 3/3 chunks Classical; corroborates the seed's DCS call (350..450)		
canon_dm	sahityadarpana	Sāhityadarpaṇa	sahityadarpana		sahityadarpana	late-medieval	14th c. CE	dharmamitra	DM family mode 12/12 chunks Late Medieval (before c. 1384); corroborates the seed		
canon_dm	rgveda	Ṛgveda	rgveda		rgveda	vedic	-1500..-1200	dharmamitra	DM family mode 20/20 maṇḍala chunks Vedic; corroborates the seed's DCS call		
canon_dm	raghuvamsa	Raghuvaṃśa	raghuvamsa		raghuvamsa	classical	4th..5th c. CE	dharmamitra	DM family mode 3/3 chunks Classical; corroborates the seed		
canon_dm	satapathabrahmana	Śatapatha-Brāhmaṇa	satapathabrahmana		satapatha brahmana	vedic	-800..-600	dharmamitra	DM family mode 12/12 chunks Vedic (late Vedic prose); corroborates the seed's DCS call		
canon_dm	kiratarjuniya	Kirātārjunīya	kiratarjuniya		kiratarjuniya	classical	c. 550..600 CE	dharmamitra	DM anchor: Bhāravi fl. c. 550-600 CE; corroborates the seed's DCS call (500..650)		
canon_dm	dasakumaracarita	Daśakumāracarita	dasakumaracarita		dasakumaracarita	classical	late 7th..early 8th c. CE	dharmamitra	DM anchor; corroborates the seed		
canon_dm	gitagovinda	Gītagovinda	gitagovinda		gitagovinda	early-medieval	c. 1170..1200	dharmamitra	DM anchor: late 12th c. CE; corroborates the seed's DCS call (1150..1250)		
