id	type	provenance	prompt	answer	choices	evidence	source_dataset
SM-0001	identify	gold	Which compound class is “dharma-kṣetra” (dharma-kṣetre)?	TP	DV | KD | BV | TP	Bhagavadgītā 1.01 (“dharma-kṣetre”), gold-tagged	gita-morphology-gold
SM-0002	identify	gold	Which compound class is “kuru-kṣetra” (kuru-kṣetre)?	TP	DV | BV | KD | TP	Bhagavadgītā 1.01 (“kuru-kṣetre”), gold-tagged	gita-morphology-gold
SM-0003	identify	gold	Which compound class is “pāṇḍava-anīka” (pāṇḍavānīkam)?	TP	KD | DV | TP | BV	Bhagavadgītā 1.02 (“pāṇḍavānīkam”), gold-tagged	gita-morphology-gold
SM-0004	identify	gold	Which compound class is “pāṇḍu-putra” (pāṇḍu-putrāṇām)?	TP	DV | BV | TP | KD	Bhagavadgītā 1.03 (“pāṇḍu-putrāṇām”), gold-tagged	gita-morphology-gold
SM-0005	identify	gold	Which compound class is “drupada-putra” (drupada-putreṇa)?	TP	KD | DV | BV | TP	Bhagavadgītā 1.03 (“drupada-putreṇa”), gold-tagged	gita-morphology-gold
SM-0006	identify	gold	Which compound class is “mahā-iṣu-āsa” (maheṣv-āsāḥ)?	BV	DV | KD | TP | BV	Bhagavadgītā 1.04 (“maheṣv-āsāḥ”), gold-tagged	gita-morphology-gold
SM-0007	identify	gold	Which compound class is “bhīma-arjuna-sama” (bhīmārjuna-samāḥ)?	TP	DV | TP | BV | KD	Bhagavadgītā 1.04 (“bhīmārjuna-samāḥ”), gold-tagged	gita-morphology-gold
SM-0008	identify	gold	Which compound class is “mahā-ratha” (mahā-rathaḥ)?	BV	KD | BV | DV | TP	Bhagavadgītā 1.04 (“mahā-rathaḥ”), gold-tagged	gita-morphology-gold
SM-0009	identify	gold	Which compound class is “kāśi-rāja” (kāśi-rājaḥ)?	TP	TP | DV | KD | BV	Bhagavadgītā 1.05 (“kāśi-rājaḥ”), gold-tagged	gita-morphology-gold
SM-0010	identify	gold	Which compound class is “nara-puṅgava” (nara-puṁgavaḥ)?	TP	BV | DV | KD | TP	Bhagavadgītā 1.05 (“nara-puṁgavaḥ”), gold-tagged	gita-morphology-gold
SM-0011	identify	gold	Which compound class is “mahā-ratha” (mahā-rathāḥ)?	BV	BV | TP | KD | DV	Bhagavadgītā 1.06 (“mahā-rathāḥ”), gold-tagged	gita-morphology-gold
SM-0012	identify	gold	Which compound class is “dvi-ja-uttama” (dvijottama)?	TP	DV | BV | KD | TP	Bhagavadgītā 1.07 (“dvijottama”), gold-tagged	gita-morphology-gold
SM-0013	identify	gold	Which compound class is “mad-artha” (mad-arthe)?	TP	KD | DV | TP | BV	Bhagavadgītā 1.09 (“mad-arthe”), gold-tagged	gita-morphology-gold
SM-0014	identify	gold	Which compound class is “tyakta-jīvita” (tyakta-jīvitāḥ)?	BV	DV | TP | KD | BV	Bhagavadgītā 1.09 (“tyakta-jīvitāḥ”), gold-tagged	gita-morphology-gold
SM-0015	identify	gold	Which compound class is “nānā-śastra-praharaṇa” (nānā-śastra-praharaṇāḥ)?	BV	TP | DV | BV | KD	Bhagavadgītā 1.09 (“nānā-śastra-praharaṇāḥ”), gold-tagged	gita-morphology-gold
SM-0016	identify	gold	Which compound class is “yuddha-viśārada” (yuddha-viśāradāḥ)?	TP	BV | TP | DV | KD	Bhagavadgītā 1.09 (“yuddha-viśāradāḥ”), gold-tagged	gita-morphology-gold
SM-0017	identify	gold	Which compound class is “bhīṣma-abhi-rakṣita” (bhīṣmābhirakṣitam)?	TP	TP | BV | KD | DV	Bhagavadgītā 1.10 (“bhīṣmābhirakṣitam”), gold-tagged	gita-morphology-gold
SM-0018	identify	gold	Which compound class is “bhīma-abhi-rakṣita” (bhīmābhirakṣitam)?	TP	DV | TP | BV | KD	Bhagavadgītā 1.10 (“bhīmābhirakṣitam”), gold-tagged	gita-morphology-gold
SM-0019	identify	gold	Which compound class is “kuru-vṛddha” (kuru-vṛddhaḥ)?	TP	DV | KD | TP | BV	Bhagavadgītā 1.12 (“kuru-vṛddhaḥ”), gold-tagged	gita-morphology-gold
SM-0020	identify	gold	Which compound class is “siṁha-nāda” (siṁha-nādam)?	TP	BV | KD | TP | DV	Bhagavadgītā 1.12 (“siṁha-nādam”), gold-tagged	gita-morphology-gold
SM-0021	identify	gold	Which compound class is “deva-datta” (deva-dattam)?	TP	DV | KD | BV | TP	Bhagavadgītā 1.15 (“deva-dattam”), gold-tagged	gita-morphology-gold
SM-0022	identify	gold	Which compound class is “bhīma-karman” (bhīma-karmā)?	BV	KD | BV | TP | DV	Bhagavadgītā 1.15 (“bhīma-karmā”), gold-tagged	gita-morphology-gold
SM-0023	identify	gold	Which compound class is “vṛka-udara” (vṛkodaraḥ)?	BV	DV | BV | TP | KD	Bhagavadgītā 1.15 (“vṛkodaraḥ”), gold-tagged	gita-morphology-gold
SM-0024	identify	gold	Which compound class is “ananta-vijaya” (ananta-vijayam)?	BV	DV | KD | BV | TP	Bhagavadgītā 1.16 (“ananta-vijayam”), gold-tagged	gita-morphology-gold
SM-0025	identify	gold	Which compound class is “kuntī-putra” (kuntī-putraḥ)?	TP	KD | BV | TP | DV	Bhagavadgītā 1.16 (“kuntī-putraḥ”), gold-tagged	gita-morphology-gold
SM-0026	identify	gold	Which compound class is “su-ghoṣa-maṇi-puṣpaka” (sughoṣa-maṇi-puṣpakau)?	DV	DV | TP | KD | BV	Bhagavadgītā 1.16 (“sughoṣa-maṇi-puṣpakau”), gold-tagged	gita-morphology-gold
SM-0027	identify	gold	Which compound class is “parama-iṣu-āsa” (parameṣvāsaḥ)?	BV	BV | TP | DV | KD	Bhagavadgītā 1.17 (“parameṣvāsaḥ”), gold-tagged	gita-morphology-gold
SM-0028	identify	gold	Which compound class is “mahā-ratha” (mahā-rathaḥ)?	BV	BV | KD | DV | TP	Bhagavadgītā 1.17 (“mahā-rathaḥ”), gold-tagged	gita-morphology-gold
SM-0029	identify	gold	Which compound class is “pṛthivī-pati” (pṛthivīpate)?	TP	DV | TP | BV | KD	Bhagavadgītā 1.18 (“pṛthivīpate”), gold-tagged	gita-morphology-gold
SM-0030	identify	gold	Which compound class is “mahā-bāhu” (mahā-bāhuḥ)?	BV	TP | KD | BV | DV	Bhagavadgītā 1.18 (“mahā-bāhuḥ”), gold-tagged	gita-morphology-gold
SM-0031	identify	gold	Which compound class is “kapi-dhvaja” (kapi-dhvajaḥ)?	BV	TP | KD | DV | BV	Bhagavadgītā 1.20 (“kapi-dhvajaḥ”), gold-tagged	gita-morphology-gold
SM-0032	identify	gold	Which compound class is “śastra-saṁpāta” (śastra-saṁpāte)?	TP	KD | DV | BV | TP	Bhagavadgītā 1.20 (“śastra-saṁpāte”), gold-tagged	gita-morphology-gold
SM-0033	identify	gold	Which compound class is “mahī-pati” (mahī-pate)?	TP	DV | KD | BV | TP	Bhagavadgītā 1.21 (“mahī-pate”), gold-tagged	gita-morphology-gold
SM-0034	identify	gold	Which compound class is “raṇa-sam-ud-yama” (raṇa-samudyame)?	TP	KD | TP | DV | BV	Bhagavadgītā 1.22 (“raṇa-samudyame”), gold-tagged	gita-morphology-gold
SM-0035	identify	gold	Which compound class is “priya-cikīrṣu” (priya-cikīrṣavaḥ)?	TP	TP | BV | DV | KD	Bhagavadgītā 1.23 (“priya-cikīrṣavaḥ”), gold-tagged	gita-morphology-gold
SM-0036	identify	gold	Which compound class is “mahī-kṣit” (mahī-kṣitām)?	TP	BV | TP | KD | DV	Bhagavadgītā 1.25 (“mahī-kṣitām”), gold-tagged	gita-morphology-gold
SM-0037	identify	gold	Which compound class is “sva-jana” (sva-janān)?	TP	TP | KD | BV | DV	Bhagavadgītā 1.28 (“sva-janān”), gold-tagged	gita-morphology-gold
SM-0038	identify	gold	Which compound class is “roma-harṣa” (roma-harṣaḥ)?	TP	KD | TP | DV | BV	Bhagavadgītā 1.29 (“roma-harṣaḥ”), gold-tagged	gita-morphology-gold
SM-0039	identify	gold	Which compound class is “sva-janam” (sva-janam)?	TP	BV | TP | DV | KD	Bhagavadgītā 1.31 (“sva-janam”), gold-tagged	gita-morphology-gold
SM-0040	identify	gold	Which compound class is “govinda” (govinda)?	BV	BV | KD | TP | DV	Bhagavadgītā 1.32 (“govinda”), gold-tagged	gita-morphology-gold
SM-0041	identify	gold	Which compound class is “trai-lokya-rājya” (trai-lokya-rājyasya)?	TP	DV | TP | KD | BV	Bhagavadgītā 1.35 (“trai-lokya-rājyasya”), gold-tagged	gita-morphology-gold
SM-0042	identify	gold	Which compound class is “sa-bāndhava” (sa-bāndhavān)?	BV	KD | DV | TP | BV	Bhagavadgītā 1.37 (“sa-bāndhavān”), gold-tagged	gita-morphology-gold
SM-0043	identify	gold	Which compound class is “sva-jana” (sva-janam)?	TP	BV | TP | KD | DV	Bhagavadgītā 1.37 (“sva-janam”), gold-tagged	gita-morphology-gold
SM-0044	identify	gold	Which compound class is “lobha-upahata-cetas” (lobhopahata-cetasaḥ)?	BV	BV | TP | DV | KD	Bhagavadgītā 1.38 (“lobhopahata-cetasaḥ”), gold-tagged	gita-morphology-gold
SM-0045	identify	gold	Which compound class is “kula-kṣaya-kṛta” (kula-kṣaya-kṛtam)?	TP	DV | TP | BV | KD	Bhagavadgītā 1.38 (“kula-kṣaya-kṛtam”), gold-tagged	gita-morphology-gold
SM-0046	identify	gold	Which compound class is “mitra-droha” (mitra-drohe)?	TP	DV | TP | KD | BV	Bhagavadgītā 1.38 (“mitra-drohe”), gold-tagged	gita-morphology-gold
SM-0047	identify	gold	Which compound class is “kula-kṣaya-kṛta” (kula-kṣaya-kṛtam)?	TP	BV | TP | DV | KD	Bhagavadgītā 1.39 (“kula-kṣaya-kṛtam”), gold-tagged	gita-morphology-gold
SM-0048	identify	gold	Which compound class is “kula-kṣaya” (kula-kṣaye)?	TP	TP | BV | KD | DV	Bhagavadgītā 1.40 (“kula-kṣaye”), gold-tagged	gita-morphology-gold
SM-0049	identify	gold	Which compound class is “kula-dharma” (kula-dharmāḥ)?	TP	BV | DV | TP | KD	Bhagavadgītā 1.40 (“kula-dharmāḥ”), gold-tagged	gita-morphology-gold
