index_token	gender	stem_class	member_count	representative_k1	repr_devanagari
m·1+2	m	a-stem	12681	AKuga	आखुग
m·1	m	a-stem	11496	ABARaka	आभाणक
mfn·1	mfn	a-stem	8346	ABAzya	आभाष्य
mfn·1+2	mfn	a-stem	6736	ADijYa	आधिज्ञ
n·1+2	n	a-stem	6116	ADAracakra	आधारचक्र
n·1	n	a-stem	5916	ABAsana	आभासन
f·2+2	f	ā-stem	3811	ADAnakArikA	आधानकारिका
f·2	f	ā-stem	2531	ABA	आभा
mfn·1a	mfn	a-stem	2329	ABUka	आभूक
mfn·1b	mfn	a-stem	2069	ABayajAta	आभयजात
f·4+2	f	ī-stem	1698	AcAravedI	आचारवेदी
mfn·1a+2	mfn	a-stem	1500	ADIparRa	आधीपर्ण
m·1b	m	a-stem	1399	ABoga	आभोग
mfn·8i	mfn	consonant-stem	1380	ABAsin	आभासिन्
m·3+2	m	i-stem	1273	ADAnaviDi	आधानविधि
f·4	f	ī-stem	1152	ABerI	आभेरी
m·3	m	i-stem	1148	AMkfti	आंकृति
f·3	f	i-stem	967	ABAti	आभाति
m·1a	m	a-stem	958	ABaga	आभग
mfn·8t*	mfn	consonant-stem	928	ARqavant	आण्डवन्त्
f·3+2	f	i-stem	797	ABIrapalli	आभीरपल्लि
mfn·8i+2	mfn	consonant-stem	794	ASuBAvin	आशुभाविन्
n·1a	n	a-stem	683	ABirUpaka	आभिरूपक
mfn·1b+2	mfn	a-stem	677	AdinavadarSa	आदिनवदर्श
m·5+2	m	u-stem	657	AdityabanDu	आदित्यबन्धु
m·8i+2	m	consonant-stem	502	ASramavAsin	आश्रमवासिन्
m·5	m	u-stem	497	ADimanyu	आधिमन्यु
mfn·8√b+2	mfn	consonant-stem	493	AhutIvfD	आहुतीवृध्
m·1b+2	m	a-stem	468	ASApAla	आशापाल
mfn·8ta*	mfn	consonant-stem	437	ASIrvant	आशीर्वन्त्
f·1	f	a-stem	417	AKaka	आखक
m·8i	m	consonant-stem	405	ASekuwin	आशेकुटिन्
m·1+3	m	a-stem	402	BAskaranfsiMha	भास्करनृसिंह
mfn·8√+2	mfn	consonant-stem	400	AptavAc	आप्तवाच्
m·8√+2	m	consonant-stem	399	AKuBuj	आखुभुज्
mfn·5	mfn	u-stem	376	AGfRIvasu	आघृणीवसु
m·8n*+2	m	consonant-stem	365	ASAdAman	आशादामन्
n·1b	n	a-stem	359	ANgAra	आङ्गार
mfn·8ib	mfn	consonant-stem	354	ASArEzin	आशारैषिन्
m·8√	m	consonant-stem	328	ASvayuj	आश्वयुज्
mfn·3+2	mfn	i-stem	325	AtmamUrti	आत्ममूर्ति
mfn·8√	mfn	consonant-stem	308	ASAvid	आशाविद्
mfn·8sa+2	mfn	consonant-stem	299	ASuhezas	आशुहेषस्
f·3a	f	i-stem	290	ABUti	आभूति
n·8n*+2	n	consonant-stem	282	Adikarman	आदिकर्मन्
mfn·5b	mfn	u-stem	270	ABu	आभु
n·1b+2	n	a-stem	261	AKukarIza	आखुकरीष
f·8√	f	consonant-stem	260	ASramopanizad	आश्रमोपनिषद्
m·3a	m	i-stem	254	AgniveSi	आग्निवेशि
f·2+3	f	ā-stem	250	BAgyavattA	भाग्यवत्ता
n·1+3	n	a-stem	240	AdivArAhatIrTa	आदिवाराहतीर्थ
f·2b	f	ā-stem	233	ASA	आशा
m·1a+2	m	a-stem	210	AKanikabaka	आखनिकबक
n·8√	n	consonant-stem	201	AkulIkar	आकुलीकर्
f·2a	f	ā-stem	198	ASA	आशा
mfn·3a+2	mfn	i-stem	197	Adityavani	आदित्यवनि
n·1a+2	n	a-stem	196	AcCadviDAna	आच्छद्विधान
