id	type	index_token	gender	stem_class	question	answer	choices
ZD-0001	classify	m·1+2	m	a-stem	To which declension class does श्यावनाय (śyāvanāya, m.) belong?	m·1+2	m·6° | m·1+2 | m·8nb*+3 | m·8sa
ZD-0002	classify	m·1+2	m	a-stem	To which declension class does सुहर (suhara, m.) belong?	m·1+2	m·8nb*+3 | m·6° | m·1+2 | m·8sa
ZD-0003	classify	m·1+2	m	a-stem	To which declension class does उपरिचर (uparicara, m.) belong?	m·1+2	m·6° | m·8nb*+3 | m·1+2 | m·8sa
ZD-0004	classify	m·1+2	m	a-stem	To which declension class does स्निग्धतण्डुल (snigdhataṇḍula, m.) belong?	m·1+2	m·8sa | m·8nb*+3 | m·1+2 | m·6°
ZD-0005	classify	m·1+2	m	a-stem	To which declension class does गोमेदक (gomedaka, m.) belong?	m·1+2	m·6° | m·8nb*+3 | m·8sa | m·1+2
ZD-0006	classify	m·1+2	m	a-stem	To which declension class does सूर्यरथ (sūryaratha, m.) belong?	m·1+2	m·8nb*+3 | m·6° | m·1+2 | m·8sa
ZD-0007	classify	m·1+2	m	a-stem	To which declension class does सात्यवत (sātyavata, m.) belong?	m·1+2	m·8sa | m·6° | m·1+2 | m·8nb*+3
ZD-0008	classify	m·1+2	m	a-stem	To which declension class does ऋषभद्वीप (ṛṣabhadvīpa, m.) belong?	m·1+2	m·8nb*+3 | m·6° | m·8sa | m·1+2
ZD-0009	classify	m·1+2	m	a-stem	To which declension class does खण्डखाद्य (khaṇḍakhādya, m.) belong?	m·1+2	m·6° | m·8sa | m·8nb*+3 | m·1+2
ZD-0010	classify	m·1+2	m	a-stem	To which declension class does नेतृत्व (netṛtva, m.) belong?	m·1+2	m·6° | m·1+2 | m·8nb*+3 | m·8sa
ZD-0011	classify	m·1+2	m	a-stem	To which declension class does मानमनोहर (mānamanohara, m.) belong?	m·1+2	m·1+2 | m·8nb*+3 | m·8sa | m·6°
ZD-0012	classify	m·1+2	m	a-stem	To which declension class does सत्त्रयाग (sattrayāga, m.) belong?	m·1+2	m·8sa | m·8nb*+3 | m·6° | m·1+2
ZD-0013	classify	m·1+2	m	a-stem	To which declension class does पदार्थप्रकाश (padārthaprakāśa, m.) belong?	m·1+2	m·8nb*+3 | m·6° | m·8sa | m·1+2
ZD-0014	classify	m·1+2	m	a-stem	To which declension class does संसृष्टहोम (saṃsṛṣṭahoma, m.) belong?	m·1+2	m·8nb*+3 | m·8sa | m·6° | m·1+2
ZD-0015	classify	m·1+2	m	a-stem	To which declension class does अश्मरीघ्न (aśmarīghna, m.) belong?	m·1+2	m·8sa | m·1+2 | m·8nb*+3 | m·6°
ZD-0016	classify	m·1	m	a-stem	To which declension class does ऐकादशाक्ष (aikādaśākṣa, m.) belong?	m·1	m·8i+2 | m·2a | m·1 | m·8√b
ZD-0017	classify	m·1	m	a-stem	To which declension class does नृपात्मज (nṛpātmaja, m.) belong?	m·1	m·8i+2 | m·8√b | m·1 | m·2a
ZD-0018	classify	m·1	m	a-stem	To which declension class does प्रतिबोध (pratibodha, m.) belong?	m·1	m·8√b | m·2a | m·8i+2 | m·1
ZD-0019	classify	m·1	m	a-stem	To which declension class does समुत्कर्ष (samutkarṣa, m.) belong?	m·1	m·1 | m·2a | m·8√b | m·8i+2
ZD-0020	classify	m·1	m	a-stem	To which declension class does समुन्नाह (samunnāha, m.) belong?	m·1	m·1 | m·2a | m·8i+2 | m·8√b
ZD-0021	classify	m·1	m	a-stem	To which declension class does चन्द्रानन (candrānana, m.) belong?	m·1	m·1 | m·2a | m·8i+2 | m·8√b
ZD-0022	classify	m·1	m	a-stem	To which declension class does अशैक्ष (aśaikṣa, m.) belong?	m·1	m·1 | m·8√b | m·2a | m·8i+2
ZD-0023	classify	m·1	m	a-stem	To which declension class does भद्राक्ष (bhadrākṣa, m.) belong?	m·1	m·8√b | m·2a | m·1 | m·8i+2
ZD-0024	classify	m·1	m	a-stem	To which declension class does संमर्दन (saṃmardana, m.) belong?	m·1	m·2a | m·1 | m·8√b | m·8i+2
ZD-0025	classify	m·1	m	a-stem	To which declension class does निष्किरीय (niṣkirīya, m.) belong?	m·1	m·8i+2 | m·8√b | m·2a | m·1
ZD-0026	classify	m·1	m	a-stem	To which declension class does विघ्नेश (vighneśa, m.) belong?	m·1	m·1 | m·2a | m·8√b | m·8i+2
ZD-0027	classify	m·1	m	a-stem	To which declension class does तुम्बुक (tumbuka, m.) belong?	m·1	m·1 | m·2a | m·8i+2 | m·8√b
ZD-0028	classify	m·1	m	a-stem	To which declension class does निर्जय (nirjaya, m.) belong?	m·1	m·1 | m·8√b | m·2a | m·8i+2
