pack	sent_n	sent_sub	tok_idx	form_slp1	surface_ru	lemma_ru	root_ru	layer_hit
hitopadesa-0	1	1	0	sidDiH	успех	совершенства		surface+lemma
hitopadesa-0	1	1	1	sADye	предмете обоснования	садхьи		surface+lemma
hitopadesa-0	1	1	2	satAm	добродетельных	есть	есть	surface+lemma+root
hitopadesa-0	1	1	3	astu	да будет	есть	есть	surface+lemma+root
hitopadesa-0	1	1	4	prasAdAt	милостью	милость		surface+lemma
hitopadesa-0	1	1	5	tasya	его	он		surface+lemma
hitopadesa-0	1	1	6	DUrjaweH		Дхурджати		lemma
hitopadesa-0	1	2	0	jAhnavI	Джахнави	Джахнави		surface+lemma
hitopadesa-0	1	2	1	Pena	пеной	пену		surface+lemma
hitopadesa-0	1	2	2	leKA	линия	линия		surface+lemma
hitopadesa-0	1	2	3	iva	как	как		surface+lemma
hitopadesa-0	1	2	4	yad	что	что		surface+lemma
hitopadesa-0	1	2	5	mUrDani	голову	голову		surface+lemma
hitopadesa-0	1	2	6	SaSinaH	лунного	луна		surface+lemma
hitopadesa-0	1	2	7	kalA	часть	часть		surface+lemma
hitopadesa-0	10	1	0	aTa	и	и		surface+lemma
hitopadesa-0	10	1	1	kaTAmuKam				none
hitopadesa-0	10	2	0	asti	есть	есть	есть	surface+lemma+root
hitopadesa-0	10	2	1	BAgIraTI	Бхагиратхи	Бхагиратхи		surface+lemma
hitopadesa-0	10	2	2	tIre	берегу	берегу		surface+lemma
hitopadesa-0	10	2	3	pAwaliputra				none
hitopadesa-0	10	2	4	nAmaDeyam	имя	имя		surface+lemma
hitopadesa-0	10	2	5	nagaram	город	город		surface+lemma
hitopadesa-0	10	3	0	tatra	там	там		surface+lemma
hitopadesa-0	10	3	1	sarva	все	все		surface+lemma
hitopadesa-0	10	3	2	svAmi	господина	хозяин		surface+lemma
hitopadesa-0	10	3	3	guRa	гуны	гуны		surface+lemma
hitopadesa-0	10	3	4	upetaH	имѣлъ	отстранен от зла, связан с благими качествами		surface+lemma
hitopadesa-0	10	3	5	sudarSano		Сударшана		lemma
hitopadesa-0	10	3	6	nAma	имя	имя		surface+lemma
hitopadesa-0	10	3	7	narapatir	царь	царь		surface+lemma
hitopadesa-0	10	3	8	AsIt	был	есть	есть	surface+lemma+root
hitopadesa-0	10	4	0	sa	он	он		surface+lemma
hitopadesa-0	10	4	1	BUpatir		царь		lemma
hitopadesa-0	10	4	2	ekadA	однажды	однажды		surface+lemma
hitopadesa-0	10	4	3	kena	кем	что		surface+lemma
hitopadesa-0	10	4	4	api	также	также		surface+lemma
hitopadesa-0	10	4	5	pAWyamAnaM		чтения	чтения	lemma+root
hitopadesa-0	10	4	6	Sloka	стих	стих		surface+lemma
hitopadesa-0	10	4	7	dvayam	двойное	два		surface+lemma
hitopadesa-0	10	4	8	SuSrAva	услышал	услышав	услышав	surface+lemma+root
hitopadesa-0	10	5	0	aneka	многими	многие		surface+lemma
hitopadesa-0	10	5	1	saMSaya	сомнения	сомнения		surface+lemma
hitopadesa-0	10	5	2	ucCedi				none
hitopadesa-0	10	5	3	parokza	втайне	втайне		surface+lemma
hitopadesa-0	10	5	4	arTasya	расчета	ради		surface+lemma
hitopadesa-0	10	5	5	darSakam		вызвавший появление		lemma
hitopadesa-0	10	6	0	sarvasya	всего	все		surface+lemma
hitopadesa-0	10	6	1	locanaM	глаз	глазами		surface+lemma
hitopadesa-0	10	6	2	SAstraM	шастру	шастры		surface+lemma
hitopadesa-0	10	6	3	yasya	которого	что		surface+lemma
hitopadesa-0	10	6	4	na	не	не		surface+lemma
hitopadesa-0	10	6	5	asti	есть	есть	есть	surface+lemma+root
hitopadesa-0	10	6	6	anDa	слепой	слепой		surface+lemma
hitopadesa-0	10	6	7	eva	именно	именно		surface+lemma
hitopadesa-0	10	6	8	saH	он	он		surface+lemma
hitopadesa-0	11	1	0	yOvanaM				none
hitopadesa-0	11	1	1	Dana	богатство	богатство		surface+lemma
hitopadesa-0	11	1	2	sampattiH		процветание		lemma
hitopadesa-0	11	1	3	praBu	владыка	владыка		surface+lemma
hitopadesa-0	11	1	4	tvam	ты	ты		surface+lemma
hitopadesa-0	11	1	5	a	о	о		surface+lemma
hitopadesa-0	11	1	6	viveki		отличен		lemma
hitopadesa-0	11	1	7	tA	эти	эти		surface+lemma
hitopadesa-0	11	2	0	ekEkam				none
hitopadesa-0	11	2	1	apy	хотя	также		surface+lemma
hitopadesa-0	11	2	2	anarTAya	горе	не-артха		surface+lemma
hitopadesa-0	11	2	3	kim	что	что		surface+lemma
hitopadesa-0	11	2	4	u	же	и	и	surface+lemma+root
hitopadesa-0	11	2	5	yatra	где	где		surface+lemma
hitopadesa-0	11	2	6	catuzwayam	четыре	четыре		surface+lemma
hitopadesa-0	12	1	0	ity	так	так		surface+lemma
hitopadesa-0	12	1	1	AkarRya	Услышав	Услышав	Услышав	surface+lemma+root
hitopadesa-0	12	1	2	AtmanaH	себя	себя		surface+lemma
hitopadesa-0	12	1	3	putrARAm	сыновей	сын		surface+lemma
hitopadesa-0	12	1	4	anaDigata	не предполагающий достаточное	не предполагающий достаточное		surface+lemma
hitopadesa-0	12	1	5	SAstrARAm		шастры		lemma
hitopadesa-0	12	1	6	nityam	всегда	всегда		surface+lemma
hitopadesa-0	12	1	7	unmArga				none
hitopadesa-0	12	1	8	gAminAm		не приносящій жертвы		lemma
hitopadesa-0	12	1	9	SAstra	шастры	шастры		surface+lemma
hitopadesa-0	12	1	10	ananuzWAnena		невыполнение		lemma
hitopadesa-0	12	1	11	udvigna	взволнованный	страшится	страшится	surface+lemma+root
