verse	widx	gold_form	gold_lemma	gold_pos	gold_morph	dcs_forms	dcs_lemmas	dcs_upos	class	note
1.01	1	dhṛtarāṣṭraḥ	dhṛta-rāṣṭra	nominal	nom/sg/m	dhṛtarāṣṭraḥ	dhṛtarāṣṭra	NOUN	OK	
1.01	2	uvāca	√vac	verb	sg	uvāca	vac	VERB	OK	
1.01	3	dharma-kṣetre	dharma-kṣetra	nominal	loc/sg/n	dharma + kṣetre	dharma + kṣetra	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
1.01	4	kuru-kṣetre	kuru-kṣetra	nominal	loc/sg/n	kurukṣetre	kurukṣetra	NOUN	OK	
1.01	5	samavetāḥ	sam-aveta	participle	nom/pl/m	samavetāḥ	samave	VERB	OK	
1.01	6	yuyutsavaḥ	yuyutsu	nominal	nom/pl/m	yuyutsavaḥ	yuyutsu	ADJ	OK	
1.01	7	māmakāḥ	māmaka	nominal	nom/pl/m	māmakāḥ	māmaka	ADJ	OK	
1.01	8	pāṇḍavāḥ	pāṇḍava	nominal	nom/pl/m	pāṇḍavāḥ	pāṇḍava	NOUN	OK	
1.01	9	ca	ca	indeclinable		ca	ca	CONJ	OK	
1.01	10	eva	eva	indeclinable		eva	eva	PART	OK	
1.01	11	kim	kim	pronoun	acc/sg/n	kim	ka	PRON	LEMMA_DIFF	
1.01	12	akurvata	√kṛ	verb	pl	akurvata	kṛ	VERB	OK	
1.01	13	saṁjaya	sam-jaya	nominal	voc/sg/m	saṃjaya	saṃjaya	NOUN	OK	
1.02	1	saṁjayaḥ	sam-jaya	nominal	nom/sg/m	saṃjaya	saṃjaya	NOUN	OK	
1.02	2	uvāca	√vac	verb	sg	uvāca	vac	VERB	OK	
1.02	3	dṛṣṭvā	√dṛś			dṛṣṭvā	dṛś	VERB	OK	
1.02	4	tu	tu	indeclinable		tu	tu	PART	OK	
1.02	5	pāṇḍavānīkam	pāṇḍava-anīka	nominal	acc/sg/n	pāṇḍava + anīkam	pāṇḍava + anīka	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
1.02	6	vyūḍham	vyūḍha	participle	acc/sg/n	vyūḍhaṃ	vyūh	VERB	LEMMA_DIFF	
1.02	7	duryodhanaḥ	dur-yodhana	nominal	nom/sg/m	duryodhanaḥ	duryodhana	NOUN	OK	
1.02	8	tadā	tadā	indeclinable		tadā	tadā	ADV	OK	
