verse	widx	form	lemma	root	pos	case	number	gender	person	tense	voice	nonfinite	derivation	compound	raw_morph
1.01	1	dhṛtarāṣṭraḥ	dhṛta-rāṣṭra	√dhṛ	nominal	nom	sg	m							1n.1 m.
1.01	2	uvāca	√vac	√vac	verb		sg		3	perfect	parasmaipada				Perf. P 1v.1
1.01	3	dharma-kṣetre	dharma-kṣetra	√dhṛ	nominal	loc	sg	n						tatpurusa	7n.1 n.
1.01	4	kuru-kṣetre	kuru-kṣetra	√kṣi	nominal	loc	sg	n						tatpurusa	7n.1 n.
1.01	5	samavetāḥ	sam-aveta	√i	participle	nom	pl	m				past-participle			PP 1n.3 m.
1.01	6	yuyutsavaḥ	yuyutsu	√yudh	nominal	nom	pl	m					desiderative		des. 1n.3 m.
1.01	7	māmakāḥ	māmaka		nominal	nom	pl	m							1n.3 m.
1.01	8	pāṇḍavāḥ	pāṇḍava		nominal	nom	pl	m							1n.3 m.
1.01	9	ca	ca		indeclinable										av.
1.01	10	eva	eva		indeclinable										av.
1.01	11	kim	kim		pronoun	acc	sg	n							sn. 2n.1 n.
1.01	12	akurvata	√kṛ	√kṛ	verb		pl		3	imperfect	atmanepada				Imperf. Ā 1v.3
1.01	13	saṁjaya	sam-jaya	√ji	nominal	voc	sg	m							8n.1 m.
1.02	1	saṁjayaḥ	sam-jaya	√ji	nominal	nom	sg	m							1n.1 m.
1.02	2	uvāca	√vac	√vac	verb		sg		3	perfect	parasmaipada				Perf. P 1v.1
1.02	3	dṛṣṭvā	√dṛś	√dṛś								absolutive			absol.
1.02	4	tu	tu		indeclinable										av.
1.02	5	pāṇḍavānīkam	pāṇḍava-anīka		nominal	acc	sg	n						tatpurusa	2n.1 n.
1.02	6	vyūḍham	vyūḍha	√vah	participle	acc	sg	n				past-participle			PP 2n.1 n.
1.02	7	duryodhanaḥ	dur-yodhana	√yudh	nominal	nom	sg	m							1n.1 m.
1.02	8	tadā	tadā		indeclinable										av.
1.02	9	ācāryam	ācārya	√car	nominal	acc	sg	m							2n.1 m.
1.02	10	upasaṅgamya	upa-sam-√gam	√gam								absolutive			absol.
1.02	11	rājā	rājan	√raj	nominal	nom	sg	m							1n.1 m.
1.02	12	vacanam	vacana	√vac	nominal	acc	sg	n							2n.1 n.
1.02	13	abravīt	√brū	√brū	verb		sg		3	imperfect	parasmaipada				Imperf. P 1v.1
1.03	1	paśya	√dṛś	√dṛś	verb		sg		2	imperative	parasmaipada				Imperat. P 2v.1
1.03	2	etām	etat		pronoun	acc	sg	f							sn. 2n.1 f.
1.03	3	pāṇḍu-putrāṇām	pāṇḍu-putra	√puṣ	nominal	gen	pl	m						tatpurusa	6n.3 m.
1.03	4	ācārya	ācārya	√car	nominal	voc	sg	m							8n.1 m.
1.03	5	mahatīm	mahatī	√mah	nominal	acc	sg	f							2n.1 f.
1.03	6	camūm	camū		nominal	acc	sg	f							2n.1 f.
1.03	7	vyūḍhām	vyūḍhā	√vah	participle	acc	sg	f				past-participle			PP 2n.1 f.
1.03	8	drupada-putreṇa	drupada-putra	√dru	nominal	ins	sg	m						tatpurusa	3n.1 m.
1.03	9	tava	yuṣmat		pronoun	gen	sg								sn. 6n.1
1.03	10	śiṣyeṇa	śiṣya	√śās	participle	ins	sg	m				future-participle			PF 3n.1 m.
1.03	11	dhīmatā	dhīmant	√dhī	nominal	ins	sg	m							3n.1 m.
1.04	1	atra	atra		indeclinable										av.
1.04	2	śūrāḥ	śūra		nominal	nom	pl	m							1n.3 m.
