card	verdict	near_miss	failure_shape	note
C001	unsure	no	n/a	PWG line is a stripped masc.-noun sense (3. m. angeblich auch = ...) with the referent lost; SKD is the vowel-letter a-dirgha entry; cannot tell whether the PWG noun is the letter-name.
C002	different	no	dhatu-vs-noun	PWG wagtail (bird) vs SKD root cara gamane/adane/acare with gana and set marks (iti kavikalpadrumah, carati).
C003	same	no	n/a	PWG/MW fit for sacrifice, pure; Apte 2 relating to a sacrifice, sacrificial - same adjective lexeme, a shade narrower but the same sacrificial-fitness meaning.
C004	different	no	dhatu-vs-noun	PWG mercury vs SKD root para karmasamaptau (curadi, apaparat).
C005	different	no	dhatu-vs-noun	PWG stone / guild-head / noble vs SKD root kula bandhau samhatau (bhvadi, kolati).
C006	same	no	n/a	MW and Apte 2 both: to direct or fix the mind upon (dat./loc.).
C007	different	no	dhatu-vs-noun	PWG eye disease / eye secretion vs SKD root mantha gahe (kryadi, mathati dadhi).
C008	same	no	n/a	All three: of beautiful colour, brilliant, golden.
C009	different	no	n/a	PWG lists throw down / lay down / put on senses; Apte 3 is the disputed sense to shine - not among the PWG senses printed.
C010	different	no	dhatu-vs-noun	PWG bdellium (resin) vs SKD root vara ipse (curadi, varayati).
C011	same	no	n/a	SKD nominal entry marut: vayuh, then maruvakah iti bhavaprakasah with its gunas - a plant sense matching PWG eine best. Pflanze.
C012	different	no	dhatu-vs-noun	PWG Geist (?) vs SKD root anga pade laksmani (curadi, angayati).
C013	same	no	n/a	Both sides verbal: PWG hinundherbewegen (to move to and fro) and SKD root dhvaja gatau (dhvajati) - motion; not a noun-vs-root card.
C014	different	yes	n/a	PWG act of violence vs MW punishment/fine of three grades - the fine is named after the offence (metonymy), but not the same sense.
C015	different	yes	dhatu-vs-noun	PWG Maass (measure, noun) vs SKD root ma mane (divadi atm., mayate) - POS variant of the same idea, still root vs noun.
C016	same	no	n/a	PWG garbled but marked indecl. (saha 1); SKD saha vya sahitam = sakam sarddham samam - the indeclinable together with.
C017	different	no	dhatu-vs-noun	PWG cowrie shell Cypraea moneta vs SKD root cara samsityasamsityoh (curadi).
C018	different	yes	dhatu-vs-noun	PWG will, wish vs SKD root vasa sprhi (adadi, vasti dhanam lokah) - to wish vs wish, POS variant across root/noun.
C019	different	no	dhatu-vs-noun	PWG preverb ava herab/weg vs SKD root ava raksane gatau kantau ... (bhvadi); other side is a prefix, not a root.
C020	different	no	dhatu-vs-noun	PWG a hollow measure vs SKD root ghata himse samghate dyutau (curadi, ghatayati kavatam).
C021	different	no	dhatu-vs-noun	PWG palace vs SKD root yaksa mahi pujayam (curadi atm., yaksayate).
