anchor_type	anchor_id	anchor_key_slp1	lemma_slp1	gen_source	form_key
inflection	ABAga	ABAga	ABaj	vidyut	ābhāga
inflection	ABAgena	ABAgena	ABaj	vidyut	ābhāgena
inflection	ABAgya	ABAgya	ABaj	vidyut	ābhāgya
inflection	ABAsanA	ABAsanA	ABAsi	vidyut	ābhāsanā
inflection	ABAva	ABAva	ABAvi	vidyut	ābhāva
inflection	ABAzamARa	ABAzamARa	ABAz	vidyut	ābhāṣamāna
inflection	ABAzetAm	ABAzetAm	ABAz	vidyut	ābhāṣetām
inflection	ABAzyamARa	ABAzyamARa	ABAz	vidyut	ābhāṣyamāna
inflection	ABUma	ABUma	ABU	vidyut	ābhūma
inflection	ABUzeRya	ABUzeRya	ABUzeRya	vidyut	ābhūṣenya
inflection	ABaranti	ABaranti	ABf	vidyut	ābharanti
inflection	ABare	ABare	ABf	vidyut	ābhare
inflection	ABijana	ABijana	ABijana	vidyut	ābhijana
inflection	ABiyogika	ABiyogika	ABiyogika	vidyut	ābhiyogika
inflection	ABizecanika	ABizecanika	ABizecanika	vidyut	ābhiṣecanika
inflection	ABizecanikam	ABizecanikam	ABizecanika	vidyut	ābhiṣecanikam
inflection	ABram	ABram	ABra	vidyut	ābhram
inflection	AByas	AByas	Asi	vidyut	ābhyas
inflection	ADArADeyaBAva	ADArADeyaBAva	ADArADeyaBAva	vidyut	ādhārādheyabhāva
inflection	ADAracakra	ADAracakra	ADAracakra	vidyut	ādhāracakra
inflection	ADArakArikA	ADArakArikA	ADArakArikA	vidyut	ādhārakārikā
inflection	ADArarUpa	ADArarUpa	ADArarUpA	vidyut	ādhārarūpa
inflection	ADAratva	ADAratva	ADAratva	vidyut	ādhāratva
inflection	ADArita	ADArita	ADAri	vidyut	ādhārita
inflection	ADAvatA	ADAvatA	Asf	vidyut	ādhāvatā
inflection	ADAyaka	ADAyaka	ADA	vidyut	ādhāyaka
inflection	ADIparRa	ADIparRa	ADIparRa	vidyut	ādhīparna
inflection	ADamA	ADamA	ADmA	vidyut	ādhamā
inflection	ADarzayan	ADarzayan	ADarzi	vidyut	ādharṣayan
inflection	ADirAjya	ADirAjya	ADirAjya	vidyut	ādhirājya
inflection	ADistena	ADistena	ADistena	vidyut	ādhistena
inflection	ADita	ADita	ADitA	vidyut	ādhita
inflection	ADvaryava	ADvaryava	ADvaryava	vidyut	ādhvaryava
inflection	ADyas	ADyas	ADA	vidyut	ādhyas
inflection	AGAwi	AGAwi	AGAwi	vidyut	āghāṭi
