attested_form	dcs_lemma	dcs_upos	verdict	cell	cell_occ	generator_has	evidence_count	target_locus
tvāt	tva	NOUN	slot-conflict	n.abl.sg	3421	tvasmāt	6853	dcs:479312
rājñ	rājan	NOUN	slot-conflict	m.voc.sg	4332	rājan	5212	dcs:387206
ātma	ātman	NOUN	compound-member		2544		5108	dcs:590053
asmai	idam	PRON	coverage-hole	m.dat.sg	1819		3375	dcs:748682
tasmai	tad	PRON	coverage-hole	m.dat.sg	1667		3228	dcs:479273_1
striyaḥ	strī	NOUN	slot-conflict	f.nom.pl	656	stryaḥ	1434	dcs:483887
śriyaṃ	śrī	NOUN	slot-conflict	f.acc.sg	272	śrīm	1356	dcs:483769
vaiśaṃpāyana	vaiśampāyana	NOUN	slot-conflict	m.nom.sg	912	vaiśampāyanaḥ	1108	dcs:757894
ākhyam	ākhyā	NOUN	coverage-hole	n.nom.sg	287		1036	dcs:479319
satāṃ	sat	ADJ	coverage-hole	m.gen.pl	304		909	dcs:464406
amum	adas	PRON	coverage-hole	m.acc.sg	438		829	dcs:748917
etasmin	etad	PRON	coverage-hole	m.loc.sg	288		784	dcs:748679_2
asme	mad	PRON	lexicon-gap	?.dat.pl	214		756	dcs:650214_5
mahātmā	mahātman	ADJ	coverage-hole	m.nom.sg	369		739	dcs:641926
tasyai	tad	PRON	coverage-hole	f.dat.sg	384		728	dcs:748817
striyaṃ	strī	NOUN	slot-conflict	f.acc.sg	154	strīm	722	dcs:483886
yato	yatas	SCONJ	coverage-hole	m.nom.sg	7		702	dcs:484447
tvāya	tva	NOUN	slot-conflict	n.dat.sg	344	tvasmai	688	dcs:650089_1
āpo	ap	NOUN	coverage-hole	f.nom.pl	497		635	dcs:484621
tamas	tama	NOUN	compound-member		299		617	dcs:75265
imāni	idam	PRON	coverage-hole	n.nom.pl	269		610	dcs:748809
mahātmānaṃ	mahātman	ADJ	coverage-hole	m.acc.sg	249		598	dcs:575023
āsāṃ	idam	PRON	coverage-hole	f.gen.pl	111		594	dcs:651351
śvaḥ	śvas	ADV	indeclinable		96		551	dcs:75340
striyāḥ	strī	NOUN	slot-conflict	f.gen.sg	216	stryāḥ	547	dcs:483887
asmat	mad	PRON	lexicon-gap	?.abl.pl	320		542	dcs:652640_3
tebhiḥ	tad	PRON	coverage-hole	n.instr.pl	336		539	dcs:651869
nāmā	nāman	NOUN	coverage-hole	m.nom.sg	223		536	dcs:749179
aśma	aśman	NOUN	compound-member		245		502	dcs:653042
mahātmānaḥ	mahātman	ADJ	coverage-hole	m.nom.pl	317		471	dcs:89633
asmabhyam	mad	PRON	lexicon-gap	?.dat.pl	229		450	dcs:650687_1
śriyaḥ	śrī	NOUN	slot-conflict	f.gen.sg	100	śryāḥ	424	dcs:483870
plīha	plīhan	NOUN	compound-member		208		416	dcs:465125
amuṣya	adas	PRON	coverage-hole	m.gen.sg	213		411	dcs:650496_3
dhiyā	dhī	NOUN	slot-conflict	f.instr.sg	224	dhyā	393	dcs:748689
dakṣiṇata	dakṣiṇatas	ADV	indeclinable		155		377	dcs:652209
ānanā	ānana	NOUN	coverage-hole	f.nom.sg	91		366	dcs:102983
etasmāt	etad	PRON	coverage-hole	n.abl.sg	112		352	dcs:748656_2
īkṣaṇāḥ	īkṣaṇa	NOUN	coverage-hole	m.nom.pl	32		352	dcs:387207
hem	heman	NOUN	slot-conflict	n.nom.sg	187	hema	339	dcs:37268
amunā	adas	PRON	coverage-hole	m.instr.sg	133		335	dcs:749165
samyaksaṃbodhau	samyaksambodhi	NOUN	slot-conflict	f.loc.sg	153	samyaksambodhau samyaksambodhyām	304	dcs:642000
kasmin	ka	PRON	slot-conflict	m.loc.sg	106	ke	298	dcs:651793
amuṣmai	adas	PRON	coverage-hole	m.dat.sg	167		293	dcs:749165
madhyataḥ	madhya	NOUN	slot-conflict	n.abl.sg	121	madhyāt	290	dcs:748744_1
it	id	PART	coverage-hole	m.nom.sg	21		284	dcs:748856
mūrdha	mūrdhan	NOUN	compound-member		134		268	dcs:465907
samyaksaṃbodhiṃ	samyaksambodhi	NOUN	slot-conflict	f.acc.sg	16	samyaksambodhim	267	dcs:641970
asmāsu	mad	PRON	lexicon-gap	?.loc.pl	159		263	dcs:748883
devāsa	deva	NOUN	slot-conflict	m.voc.pl	22	devāḥ	262	dcs:748691
tattvataḥ	tattva	NOUN	slot-conflict	n.abl.sg	231	tattvāt	259	dcs:555599
svāmi	svāmin	NOUN	compound-member		126		252	dcs:589901
prayatnataḥ	prayatna	NOUN	slot-conflict	m.abl.sg	238	prayatnāt	248	dcs:27539
pṛṣṭhataḥ	pṛṣṭhatas	ADV	coverage-hole	n.abl.sg	19		241	dcs:484962
samyaksaṃbuddhaḥ	samyaksambuddha	ADJ	slot-conflict	m.nom.sg	173	samyaksambuddhaḥ	235	dcs:642266
asmad	mad	PRON	lexicon-gap	?.abl.pl	87		230	dcs:646140
