lemma_slp1	group_id	status	shape	method	score	witnesses	flags	failure_class	pwg_sense_ids	pwg_gloss	mw_sense_ids	mw_gloss	apte_sense_ids	apte_gloss	skd_sense_ids	skd_gloss	vcp_sense_ids	vcp_gloss	note	stratum	stratum_census	stratum_population	population_share	sample_weight
yama	yama#1	aligned	1-1-1-1-0	attrib+gloss+ls	1.000	mbh skdr yajn			pwg:81527:5	Selbstbezwingung, das Verbot der Beschädigung Anderer durch Wort oder That und der Ueppigkeit, ein allgemeines Sittengesetz; Observanz	mw:170385:1	self-control, forbearance, any great moral rule or duty (as opp. to , a minor observance; in ten Yama s are mentioned, sometimes only five), ; &amp;c	ap90:23695:8	4 Any great moral or religious duty or observance ( opp. ); ( and are thus distinguished:- ; see on and also. The yamas are usually said to be ten, but their names are given differently by different writers; e. g. ; or ; sometimes only five yamas are mentioned	skd:28391:1	yama , O u viratO . iti kavikalpadrumaH .. (BvA0-para0-aka0-aniw . ktvAvew .) O, yantA . u, yamitvA yantvA . viratirnivfttiH . yacCati pApAt sADuH . iti durgAdAsaH			shared literary witness, weighted 1/df within the lemma	attrib+gloss+ls|hi >=0.70|clean	yes	1	0.000143	0.0171
SaWa	SaWa#1	aligned	1-2-1-1-0	attrib+gloss+ls	1.000	hariv m r skdr			pwg:97406:2	falsch, hinterlistig, heimtückisch, boshaft	mw:211742:1; mw:211749:1	m. a cheat, rogue ( esp. a false husband or lover, who pretends affection for one female while his heart is fixed on another; one of the four classes into which husbands are divided) ‖ of a son of Vasu-deva , ( v.l. and )	ap90:27569:6	2 A false or deceitful lover (who pretends to love one woman while his heart is fixed on another); , ; (the thus defines a )	skd:34794:1	SaWa , vaDakleSakEtave . iti kavikalpadrumaH .. (BvA0- para0-saka0-sew .) kleSo duHKAnuBavaH . kEtavaM mitravaYcanam . SaWati KalaH sADuM vaYcayatItyarTaH . iti durgAdAsaH			shared literary witness, weighted 1/df within the lemma	attrib+gloss+ls|hi >=0.70|m2m	yes	1	0.000143	0.0171
kriyA	kriyA#1	aligned	1-1-1-1-0	attrib+gloss+ls	0.500	mbh skdr yajn			pwg:19845:4	eine heilige Handlung, Opferhandlung, Cerimonie; Todtencerimonie, Verbrennung des Leichnams u. s. w.; Cultus	mw:57988:1	a religious rite or ceremony, sacrificial act, sacrifice, ; ; &amp;c	ap90:11714:9	8 A purificatory rite, a religious rite or ceremony	skd:9247:1	kriyA , strI, (kriyate anayA asO asmin iti vA . qu kf Y karaRe karaRakarmmADikaraRAdO ca yaTAyaTaM Sa pratyayaH . riN SayagliNkzu . 7 . 4 . 18 . iti riNAdeSaH . aciSnuDAtu- BruvAM yvoriyaNuvaNO . 6 . 4 . 77 . iti iyaN .) AramBaH . nizkftiH . SikzA . pUja- nam…			shared literary witness, weighted 1/df within the lemma	attrib+gloss+ls|mid 0.40-0.69|clean	yes	3	0.000428	0.0171
maDu	maDu#1	aligned	1-1-1-1-0	attrib+gloss+ls	0.500	rv skdr ts			pwg:56888:2	süss, lieblich, schmeckend; lieblich, angenehm	mw:155768:1	mf( or or )n. ( gen. n. Ved. , , or ; instr. ; dat. ; loc. ) sweet, delicious, pleasant, charming, delightful	ap90:22602:1	a. ( or f. ) [ ] Sweet, pleasant, agreeable, delightful	skd:25968:1	maDu , klI, (manyante viSezeRa jAnanti janA yasmin . man + PalipAwinamimanijanAM guk- pawinAkiDataSca . uRA0 1 . 19 . iti uH DaScAntAdeSaH . madyam . (yaTA, AryyAsapta- SatyAm . 425 . maDumadavItavrIqA yaTA yaTA lapati sammuKaM bAlA .. ) kzIram . jalam . iti …			shared literary witness, weighted 1/df within the lemma	attrib+gloss+ls|mid 0.40-0.69|clean	yes	3	0.000428	0.0171
plava	plava#1	aligned	1-1-1-1-0	attrib+gloss+ls	0.500	skdr vs			pwg:51326:8	ein best. Schwimmvogel	mw:141473:1	m. a kind of aquatic bird (= , , , or , ), &amp;c. &amp;c	ap90:21423:27	3 an aquatic bird, the diver	skd:23649:1	plava , Na gatyAm . (BvA0-Atma0-saka0-sew .) antaHsTatftIyayuktaH . Na, plavate . plu Na ityane- nEvezwasidDe asya pAWaH plavizyate plavyate ityAdi sidDyarTaH . iti durgAdAsaH			shared literary witness, weighted 1/df within the lemma	attrib+gloss+ls|mid 0.40-0.69|clean	yes	3	0.000428	0.0171
BAsa	BAsa#1	aligned	1-1-0-1-0	attrib+ls	1.000	hariv kathas mbh skdr			pwg:54781:1	Licht, Glanz	mw:150601:1	m. light, lustre, brightness (often ifc. )			skd:25023:1	BAsa f Na BAsi . dIptO . iti kavikalpa- drumaH .. (BvA0-Atma0-aka0-sew .) f avIBasat abaBAsat . Na BAsate . iti durgAdAsaH			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	12	0.001712	0.0171
Bramara	Bramara#1	aligned	1-0-1-0-1	attrib+ls	1.000	r vacasp			pwg:55966:3	Biene			ap90:22389:12	a. with bees clung or attached to			vcp:37095:1	Bramara puMstrI0 Brama karan . 1 maDukare amaraH striyAM jAti- tvAt NIz . 2 kAmuke medi0 . 3 BramaracCallIlatABede strI rAjani0 wAp	shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	12	0.001712	0.0171
dakza	dakza#1	aligned	1-1-0-1-0	attrib+ls	1.000	nir rv santik skdr			pwg:31601:8	rechtem; des Ungeborenen	mw:89330:1	N. of an Āditya (identified with Prajā-pati , ; ; father of Kṛttikā , )			skd:15784:1	dakza , za ma Na hantyarTe . iti kavikalpadrumaH .. (BvAM-AtmaM-sakaM-sew .) ma, adakzi adAkzi . dakzaM dakzam . dAkzaM dAkzam . mAnubanDabalA- danupaDayorapi dIrGaH . svamate tu dIrGaviDi- rupaDAM nApekzate . za, dakzA . semaktAt saro- rityanenEvezwasidDe'sy…			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	12	0.001712	0.0171
dakza	dakza#2	aligned	1-1-0-1-0	attrib+ls	0.783	hariv mbh r skdr			pwg:31601:2	tüchtig, tauglich; geschickt, anstellig; gescheidt; verständig; kräftig, geistig; Allen zur Genüge seiend; angemessen, entsprechend; geeignet zu Etwas; ein allen Geliebten genügender Liebhaber	mw:89331:1	N. of one of the Prajā-pati s ( ; ; and ; ; ; &amp;c., ; born from Brahmā 's right thumb, , ; &amp;c.; or from A-ja , ‘the unborn’, ; or son of Pra-cetas or of the of 10 Pra-cetasa s, whence called Prācetasa , , ; ; ; father of 24 daughters by Pra-sūti , ; &a…			skd:15783:1	dakza , Na syade . vfdDO . iti kavikalpadrumaH .. (BvAM-AtmaM-sakaM-sew .) syada iha SIGrakara- Ram . Na, dakzate DanamudyogI . SIGramutpAda- yati ityarTaH . iti durgAdAsaH .. (sAmarTye akarmmako'yam . yaTA, fgvede . 2 . 1 . 11 . tamiLA SatamihAsi dakzase .. …			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	12	0.001712	0.0171
dala	dala#1	aligned	1-1-0-1-0	attrib+ls	0.750	mbh r skdr			pwg:32168:7	Blatt (was auseinandergeht, sich entfaltet)	mw:90705:1	‘unfolding itself’, a small shoot, blade, petal, leaf (often ifc. in names of plants), ; &amp;c			skd:16059:1	dala , ka Bede . iti kavikalpadrumaH .. (curAM-paraM- sakaM-sew .) ka, dAlayati gAtraM vARaH . iti durgAdAsaH			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	12	0.001712	0.0171
