mandala	sukta	verse	pada_letter	pratika	full_citation
1	1	1	a	agnim īḍe (ŚŚ.ŚG. īle) purohitam	RV.1.1.1a; ArS.3.4a; TS.4.3.13.3a; MS.4.10.5a: 155.1; KS.2.14a; GB.1.1.29a; AŚ.2.1.26; ŚŚ.6.4.1; 14.52.1; AG.3.5.6; ŚG.4.5.7; N.7.15a. P: agnim īḍe AŚ.4.13.7; LŚ.4.10.5; MŚ.5.1.4.7; VHDh.5.429; 7.64; 8.250; Karmap.3.1.16. Cf. Rvidh.1.13.5; 16.1; 2.31.6; BDh.4.6.1
1	1	1	b	yajñasya devam ṛtvijam	RV.1.1.1b; ArS.3.4b; TS.4.3.13.3b; MS.4.10.5b: 155.1; KS.2.14b; GB.1.1.29b; N.7.15b
1	1	1	c	hotāraṃ ratnadhātamam	RV.1.1.1c; ArS.3.4c; TS.4.3.13.3c; MS.4.10.5c: 155.2; KS.2.14c; GB.1.1.29c; N.7.15c
1	1	2	a	agniḥ pūrvebhir ṛṣibhiḥ	RV.1.1.2a; N.7.16a
1	1	2	b	īḍyo nūtanair uta	RV.1.1.2b; N.7.16b
1	1	2	c	sa devāṃ eha vakṣati	RV.1.1.2c; 4.8.2c; KS.12.15c; N.7.16c
1	1	3	a	agninā rayim aśnavat	RV.1.1.3a; TS.3.1.11.1a; 4.3.13.5a; MS.4.10.4a: 152.9; 4.4.16: 242.8; ŚB.11.4.3.19a; AŚ.2.1.27; KŚ.5.12.19a; MŚ.5.1.3.18. P: agninā rayim ŚŚ.3.7.3; 15.8; ŚG.1.20.5
1	1	3	b	dhenā jigāti dāśuṣe	RV.1.1.3b
1	1	3	b	poṣam eva dive-dive	RV.1.1.3b; TS.3.1.11.1b; 4.3.13.5b; MS.4.10.4b: 152.9; ŚB.11.4.3.19b; KŚ.5.12.19b
1	1	3	c	yaśasaṃ vīravattamam	RV.1.1.3c; TS.3.1.11.1c; 4.3.13.5c; MS.4.10.4c: 152.10; ŚB.11.4.3.19c; KŚ.5.12.19c
1	1	4	a	agne yaṃ yajñam adhvaram	RV.1.1.4a; TS.4.1.11.1a; MS.4.10.3a: 149.7; KS.2.14a; AŚ.7.8.1. P: agne yam MŚ.5.1.3.7
1	1	4	b	viśvataḥ paribhūr asi	RV.1.1.4b; 97.6b; AVŚ.4.33.6b; AVP.4.29.6c; TS.4.1.11.1b; MS.4.10.3b: 149.7; KS.2.14b; TA.6.11.2b
1	1	4	c	sa id deveṣu gachati	RV.1.1.4c; TS.4.1.11.1c; MS.4.10.3c: 149.8; KS.2.14c
1	1	5	a	agnir hotā kavikratuḥ	RV.1.1.5a
1	1	5	b	satyaś citraśravastamaḥ	RV.1.1.5b. Cf. satyaṃ citra°
1	1	5	c	devo devebhir ā gamat	RV.1.1.5c; AVP.9.12.2a; TB.2.7.12.3c
1	1	6	a	yad aṅga dāśuṣe tvam	RV.1.1.6a
