anchor_type	anchor_id	anchor_key_slp1	target_locus	source_dataset	match_method	confidence	evidence_count	dcs_lemma_iast	n_texts
dict-entry	kochergina:e275	A	lemma:213041	kochergina	exact	0.95	5743	ā	122
dict-entry	kochergina:e275	A	lemma:213382	kochergina	floor	0.85	8	āḥ	5
dict-entry	kochergina:e291	ABA	lemma:58820	kochergina	exact	0.95	39	ābhā	15
dict-entry	kochergina:e291	ABA	lemma:159845	kochergina	exact	0.95	168	ābhā	38
dict-entry	kochergina:e304	ABAsa	lemma:58829	kochergina	exact	0.95	136	ābhāsa	53
dict-entry	kochergina:e303	ABAz	lemma:159846	kochergina	exact	0.95	104	ābhāṣ	26
dict-entry	kochergina:e388	ABIkzRya	lemma:58870	kochergina	exact	0.95	6	ābhīkṣṇya	3
dict-entry	kochergina:e555	ABU	lemma:159852	kochergina	exact	0.95	69	ābhū	33
dict-entry	kochergina:e555	ABU	lemma:219355	kochergina	exact	0.95	25	ābhū	9
dict-entry	kochergina:e560	ABUti	lemma:58891	kochergina	exact	0.95	17	ābhūti	7
dict-entry	kochergina:e560	ABUti	lemma:58892	kochergina	exact	0.95	2	ābhūti	1
dict-entry	kochergina:e295	ABaga	lemma:58815	kochergina	exact	0.95	7	ābhaga	4
dict-entry	kochergina:e297	ABaj	lemma:159844	kochergina	exact	0.95	71	ābhaj	20
dict-entry	kochergina:e301	ABaraRa	lemma:58897	kochergina	exact	0.95	667	ābharaṇa	62
dict-entry	kochergina:e366	ABijAtya	lemma:58844	kochergina	exact	0.95	6	ābhijātya	5
dict-entry	kochergina:e550	ABoga	lemma:58888	kochergina	exact	0.95	59	ābhoga	29
dict-entry	kochergina:e550	ABoga	lemma:58904	kochergina	exact	0.95	24	ābhoga	15
dict-entry	kochergina:e551	ABogi	lemma:58907	kochergina	exact	0.95	1	ābhogi	1
dict-entry	kochergina:e554	ABu	lemma:58885	kochergina	exact	0.95	11	ābhu	9
dict-entry	kochergina:e557	ABuj	lemma:159851	kochergina	exact	0.95	23	ābhuj	12
dict-entry	kochergina:e574	AByantara	lemma:58910	kochergina	exact	0.95	74	ābhyantara	28
dict-entry	kochergina:e729	ADA	lemma:159787	kochergina	exact	0.95	1795	ādhā	128
dict-entry	kochergina:e747	ADAna	lemma:58159	kochergina	exact	0.95	121	ādhāna	56
dict-entry	kochergina:e751	ADAra	lemma:58214	kochergina	exact	0.95	296	ādhāra	68
dict-entry	kochergina:e770	ADAv	lemma:159788	kochergina	exact	0.95	24	ādhāv	15
dict-entry	kochergina:e776	ADI	lemma:58196	kochergina	exact	0.95	21	ādhī	3
dict-entry	kochergina:e776	ADI	lemma:159789	kochergina	exact	0.95	15	ādhī	5
dict-entry	kochergina:e854	ADU	lemma:159790	kochergina	exact	0.95	48	ādhū	15
dict-entry	kochergina:e738	ADam	lemma:159795	kochergina	exact	0.95	53	ādham	22
dict-entry	kochergina:e774	ADi	lemma:58168	kochergina	exact	0.95	70	ādhi	22
dict-entry	kochergina:e774	ADi	lemma:58247	kochergina	exact	0.95	75	ādhi	28
dict-entry	kochergina:e783	ADidEvika	lemma:58187	kochergina	exact	0.95	25	ādhidaivika	13
dict-entry	kochergina:e800	ADikya	lemma:58186	kochergina	exact	0.95	133	ādhikya	47
dict-entry	kochergina:e838	ADivedanika	lemma:58195	kochergina	exact	0.95	3	ādhivedanika	2
dict-entry	kochergina:e848	ADra	lemma:58254	kochergina	exact	0.95	7	ādhra	4
dict-entry	kochergina:e856	ADunika	lemma:58208	kochergina	exact	0.95	1	ādhunika	1
dict-entry	kochergina:e880	ADyAtmika	lemma:58242	kochergina	exact	0.95	67	ādhyātmika	25
dict-entry	kochergina:e981	AGAta	lemma:62158	kochergina	exact	0.95	76	āghāta	33
dict-entry	kochergina:e982	AGAwa	lemma:62153	kochergina	exact	0.95	2	āghāṭa	2
dict-entry	kochergina:e988	AGfRi	lemma:62169	kochergina	exact	0.95	18	āghṛṇi	3
dict-entry	kochergina:e986	AGrA	lemma:159735	kochergina	exact	0.95	125	āghrā	49
dict-entry	kochergina:e989	AGuz	lemma:159732	kochergina	exact	0.95	8	āghuṣ	5
dict-entry	kochergina:e1242	AKaRqala	lemma:61975	kochergina	exact	0.95	33	ākhaṇḍala	17
dict-entry	kochergina:e1244	AKewaka	lemma:61988	kochergina	exact	0.95	6	ākheṭaka	1
dict-entry	kochergina:e1244	AKewaka	lemma:219820	kochergina	exact	0.95	1	ākheṭaka	1
dict-entry	kochergina:e1246	AKu	lemma:61956	kochergina	exact	0.95	113	ākhu	42
dict-entry	kochergina:e1247	AKyA	lemma:61995	kochergina	exact	0.95	1670	ākhyā	127
dict-entry	kochergina:e1247	AKyA	lemma:159722	kochergina	exact	0.95	972	ākhyā	99
dict-entry	kochergina:e1249	AKyAna	lemma:62002	kochergina	exact	0.95	236	ākhyāna	39
dict-entry	kochergina:e1250	AKyAnaka	lemma:62003	kochergina	exact	0.95	10	ākhyānaka	7
dict-entry	kochergina:e1252	AKyAta	lemma:61997	kochergina	exact	0.95	18	ākhyāta	7
dict-entry	kochergina:e1254	AKyAyikA	lemma:62008	kochergina	exact	0.95	23	ākhyāyikā	14
dict-entry	kochergina:e1	AKyAyin	lemma:62009	kochergina	exact	0.95	1	ākhyāyin	1
dict-entry	kochergina:e1565	ANgArika	lemma:62193	kochergina	exact	0.95	1	āṅgārika	1
dict-entry	kochergina:e1585	ANgUza	lemma:62200	kochergina	exact	0.95	13	āṅgūṣa	1
dict-entry	kochergina:e863	AQya	lemma:57650	kochergina	exact	0.95	554	āḍhya	83
dict-entry	kochergina:e1738	ARi	lemma:57667	kochergina	exact	0.95	16	āṇi	10
dict-entry	kochergina:e1738	ARi	lemma:57668	kochergina	exact	0.95	6	āṇi	5
dict-entry	kochergina:e1738	ARi	lemma:215119	kochergina	floor	0.85	1	āni	1
dict-entry	kochergina:e2634	ASA	lemma:62598	kochergina	exact	0.95	308	āśā	64
dict-entry	kochergina:e2634	ASA	lemma:62624	kochergina	exact	0.95	241	āśā	62
dict-entry	kochergina:e2634	ASA	lemma:159980	kochergina	exact	0.95	1	āśā	1
dict-entry	kochergina:e2735	ASAs	lemma:159978	kochergina	exact	0.95	273	āśās	38
dict-entry	kochergina:e2738	ASAsya	lemma:62641	kochergina	exact	0.95	1	āśāsya	1
dict-entry	kochergina:e2767	ASI	lemma:62643	kochergina	exact	0.95	2	āśī	2
dict-entry	kochergina:e2767	ASI	lemma:62656	kochergina	exact	0.95	92	āśī	39
dict-entry	kochergina:e2767	ASI	lemma:159981	kochergina	exact	0.95	22	āśī	9
dict-entry	kochergina:e2750	ASOca	lemma:62711	kochergina	exact	0.95	96	āśauca	21
