anchor_key_slp1	dcs_lemma_id	dcs_lemma_iast	tier	evidence_count
ABA	58821	ābha	relaxed	1025
ABAsa	58825	ābhāṣa	relaxed	8
ABAz	159847	ābhās	relaxed	18
ABaraRa	214302	abharaṇa	relaxed	1
ABoga	31292	abhoga	relaxed	3
ABoga	206686	abhoga	relaxed	1
ABuj	31250	abhuj	relaxed	2
ADArya	7903	adhārya	relaxed	4
ADArya	58156	ādharya	relaxed	3
ADidEvika	7994	adhidaivika	relaxed	2
ADyAtmika	201434	adhyātmika	relaxed	4
AKyA	169811	ākhya	relaxed	284
AKyAyikA	220777	ākhyāyika	relaxed	1
AQya	159797	ādhyā	relaxed	102
ASAsya	59940	aśāsya	relaxed	1
ASAsya	171656	āsasya	relaxed	2
ASOca	59997	aśauca	relaxed	38
ASOca	171526	aśauca	relaxed	5
ASaya	219290	āsayā	relaxed	2
ASin	221238	āsin	relaxed	2
ASizWa	61032	asiṣṭha	relaxed	2
ASleza	60197	aśleṣā	relaxed	6
ASleza	62788	āśleṣā	relaxed	14
ASvina	62828	āśvīna	relaxed	2
ASvina	62829	āśvīna	relaxed	3
AbanDa	209959	abandha	relaxed	1
AcArya	57431	ācāryā	relaxed	1
AcArya	211961	ācarya	relaxed	2
AcCanna	171248	acchanna	relaxed	1
Acarana	203642	acaraṇa	relaxed	2
Acarita	202164	acārita	relaxed	1
Acarita	211393	acarita	relaxed	1
AdA	171572	āda	relaxed	283
Adi	57639	āḍi	relaxed	4
Adi	57641	āḍī	relaxed	1
Adi	215264	adi	relaxed	1
AdiS	170717	adiś	relaxed	2
Aditya	58040	ādityā	relaxed	1
AgAmin	62047	āgamin	relaxed	2
Agamana	201548	agamana	relaxed	6
Agata	5629	agata	relaxed	3
Agata	5630	agata	relaxed	10
AgnIDra	5908	agnīdhra	relaxed	24
Agnika	5931	agnika	relaxed	30
Agnika	200770	agnikā	relaxed	1
Agnika	224340	agnika	relaxed	2
Ahati	61478	ahati	relaxed	1
Ahava	63115	āhāva	relaxed	12
Ahava	63185	āhāva	relaxed	26
Ahu	63188	āhū	relaxed	2
Ahuti	63193	āhūti	relaxed	5
AhvA	63194	āhva	relaxed	26
AjYApay	171327	ājñapay	relaxed	53
Aji	214952	aji	relaxed	2
Aji	223842	ājī	relaxed	1
AkANkzA	61742	ākāṅkṣa	relaxed	4
AkOSala	5344	akauśala	relaxed	1
AkUta	5299	akūṭa	relaxed	5
Akalpa	1816	akalpa	relaxed	10
Akaray	171959	ākāray	relaxed	31
Akrama	5355	akrama	relaxed	3
Akrama	5356	akrama	relaxed	25
AkulI	61811	ākuli	relaxed	2
AlApin	200543	alapin	relaxed	1
Alapana	62248	ālāpana	relaxed	1
Alepa	210225	alepa	relaxed	1
Alocana	53811	alocana	relaxed	2
Alocana	62370	ālocanā	relaxed	14
Alohita	53828	alohita	relaxed	3
Aloka	53805	aloka	relaxed	15
AmAd	217667	āmad	relaxed	1
AmAvAsya	31764	amāvāsya	relaxed	1
AmAvAsya	31765	amāvāsya	relaxed	4
AmAvAsya	31766	amāvāsyā	relaxed	293
AmAvAsya	169402	āmāvasya	relaxed	4
AmAvAsya	169429	amāvasyā	relaxed	31
AmiSra	31836	amiśra	relaxed	8
AnIta	10456	anita	relaxed	5
AnadDa	9818	anaddhā	relaxed	19
Anana	9757	anana	relaxed	2
Ananda	9905	ananda	relaxed	1
Ananda	9906	ananda	relaxed	1
Ananda	58283	ānandā	relaxed	2
Ananda	58284	ānandā	relaxed	1
Anata	9806	anata	relaxed	1
AnfRya	170026	anṛṇya	relaxed	3
ApIqa	21417	apīḍā	relaxed	6
ApIta	21418	apīta	relaxed	6
ApUrRa	21469	apūrṇa	relaxed	17
ApUraRa	21441	apurāṇa	relaxed	1
ApUraRa	214603	apūraṇa	relaxed	1
Apaday	159813	āpāday	relaxed	85
Aplavana	202154	āplāvana	relaxed	5
Apya	20671	apya	relaxed	19
Apya	159828	āpyā	relaxed	207
ArADana	59395	ārādhanā	relaxed	1
ArAma	205104	arāma	relaxed	2
ArAt	211734	āraṭ	relaxed	9
AraRyaka	32560	araṇyaka	relaxed	4
Aram	32594	aram	relaxed	55
Arava	32615	arava	relaxed	1
Arava	59417	ārāva	relaxed	41
Ardra	59558	ārdrā	relaxed	25
AriS	221487	āriṣ	relaxed	1
Arti	53134	arti	relaxed	34
Arti	214890	arti	relaxed	8
Aruj	32755	aruj	relaxed	12
Arza	62205	ārśa	relaxed	1
AsPowa	63060	āsphota	relaxed	6
AsPowa	63061	āsphotā	relaxed	14
AsTA	220755	astha	relaxed	14
AsaNga	60665	asaṅga	relaxed	40
AsaNga	60666	asaṅga	relaxed	66
Asaday	159999	āsāday	relaxed	1183
Asava	62969	āsāva	relaxed	1
Asecana	61151	asecana	relaxed	1
AsevA	60025	aśeva	relaxed	4
AsevA	61155	asevā	relaxed	2
Asic	215944	asic	relaxed	1
AsidDa	61026	asiddha	relaxed	40
AsrAva	62776	āśrava	relaxed	1
AsrAva	62777	āśrava	relaxed	5
AsrAva	63068	āsrava	relaxed	36
Asuti	61113	asūti	relaxed	1
AsvAda	201216	āsvādā	relaxed	1
AsvAdana	217554	āsvadana	relaxed	1
Asya	62879	āsyā	relaxed	7
Asya	204114	āśyā	relaxed	15
Atam	215657	ātām	relaxed	1
Atapa	6804	atapa	relaxed	19
AtiTya	57714	ātithyā	relaxed	16
AtiTya	224872	atithyā	relaxed	2
Atman	223537	atman	relaxed	2
Atura	7344	atura	relaxed	1
Atyantika	7408	atyantika	relaxed	2
Atyantika	7409	atyantika	relaxed	1
AvaSyaka	213190	avaśyaka	relaxed	1
Avapana	54331	avapāna	relaxed	5
Avapana	62399	āvāpana	relaxed	2
Avarj	225580	avarj	relaxed	1
Avartana	201858	avartana	relaxed	2
AvasaTa	54649	avasatha	relaxed	1
Avedana	59700	avedana	relaxed	3
Avedana	59706	avedana	relaxed	18
Avega	205099	avega	relaxed	3
Avid	170921	avid	relaxed	1
Avigna	54895	avigna	relaxed	3
AvyaTA	59759	avyatha	relaxed	18
AvyaTA	59761	avyathā	relaxed	16
AyUj	32422	ayuj	relaxed	32
AyUj	59241	āyuj	relaxed	2
AyUj	159880	āyuj	relaxed	22
Ayata	32252	ayata	relaxed	10
Ayata	32376	ayāta	relaxed	1
Ayata	59188	āyāta	relaxed	1
Ayatta	209452	ayatta	relaxed	1
Ayogava	32465	ayogava	relaxed	2
AyuDa	32452	ayudha	relaxed	1
BAgIraTI	220279	bhagīrathī	relaxed	1
BAjana	48540	bhajana	relaxed	3
BAjana	48541	bhajana	relaxed	18
BAjana	208631	bhajanā	relaxed	1
BAjay	201618	bhajay	relaxed	1
BAjin	176414	bhajin	relaxed	2
BAma	49678	bhāmā	relaxed	1
BAradvAja	49034	bharadvāja	relaxed	346
BAratI	49003	bharatī	relaxed	1
BArgava	211268	bhārgavā	relaxed	1
BAsura	209312	bhāsurā	relaxed	1
BAzita	49338	bhasita	relaxed	23
BErava	25981	bhairavā	relaxed	1
BIma	50304	bhīmā	relaxed	7
BIzaRa	50410	bhīṣaṇā	relaxed	1
BUmikA	205279	bhūmika	relaxed	5
BUr	218906	bhur	relaxed	3
BUri	169052	bhūrī	relaxed	1
BUrja	166363	bhurja	relaxed	2
BUzAya	25184	bhūśaya	relaxed	4
BaNgura	48610	bhaṅgurā	relaxed	6
BadrAha	209351	bhadrahā	relaxed	1
BagIraTa	220762	bhāgīratha	relaxed	5
BaginI	49537	bhāginī	relaxed	4
BallI	49138	bhalli	relaxed	1
BallUka	49140	bhalluka	relaxed	2
BallUka	49842	bhāllūka	relaxed	1
Balla	49838	bhālla	relaxed	1
Bandana	48702	bhaṇḍana	relaxed	1
Bandana	48895	bhandanā	relaxed	3
Barga	49773	bhārga	relaxed	5
Barga	199690	bhārga	relaxed	1
Barita	49766	bhārīṭa	relaxed	1
Baruja	49097	bharūja	relaxed	1
BavatI	213351	bhavati	relaxed	2
BayAvaha	174771	bhayāvahā	relaxed	1
Baya	206008	bhayā	relaxed	2
Beda	25871	bheḍa	relaxed	5
Beda	166617	bheḍā	relaxed	1
BeruRqa	25928	bheruṇḍā	relaxed	1
BfNga	25782	bhṛṅgā	relaxed	1
BfSa	176546	bhṛśā	relaxed	2
Bftya	25716	bhṛtyā	relaxed	5
BidA	215452	bhida	relaxed	2
BikzA	215513	bhikṣa	relaxed	1
BikzaRa	216049	bhīkṣaṇa	relaxed	1
Boja	26100	bhojā	relaxed	2
Bojya	26165	bhojyā	relaxed	2
BrAj	221107	bhraj	relaxed	4
BrAja	224951	bhraja	relaxed	1
BrAmin	26340	bhramin	relaxed	2
Brama	26354	bhrāma	relaxed	8
Brama	217092	bhramā	relaxed	1
Bramara	26304	bhramarā	relaxed	1
Bramara	26361	bhrāmara	relaxed	1
Bramara	26362	bhrāmara	relaxed	3
Bramara	26364	bhrāmara	relaxed	8
Brazwra	26285	bhrāṣṭra	relaxed	6
Bujizya	50572	bhujiṣyā	relaxed	13
Bukta	166774	bhuktā	relaxed	1
Buvana	172002	bhuvanā	relaxed	3
CAga	52636	chāgā	relaxed	40
CAndasa	224934	chandasa	relaxed	9
CAyA	52689	chāya	relaxed	8
Calana	52619	chalanā	relaxed	1
Candasya	52564	chandasyā	relaxed	10
Cavi	216955	chāvī	relaxed	1
CawA	52873	chāta	relaxed	2
Cidra	209353	chidrā	relaxed	2
DAnuzka	91819	dhanuṣka	relaxed	6
DAnyaka	91744	dhanyaka	relaxed	5
DAnyaka	91747	dhanyāka	relaxed	2
DAnyaka	203729	dhānyāka	relaxed	3
DAraka	42501	dhārakā	relaxed	1
DAraka	221817	dharaka	relaxed	2
DArmika	216256	dharmika	relaxed	1
DAtreyikA	209113	dhātreyika	relaxed	1
DAv	219727	dhav	relaxed	3
DIra	42705	dhīrā	relaxed	6
DUlikA	211729	dhūlīka	relaxed	1
DUma	214056	dhuma	relaxed	2
