k1	status	pw_entries	pwg_entries	pw_blocks	pwg_blocks	matched_blocks	cut_blocks	pwg_extra_blocks	cut_gloss_sample
vart	shared	3	5	772	385	233	539	152	verlaufen | vor sich gehen, einen Verlaufen nehmen, von Statten gehen; wie geht es der | sich irgendwo befinden, weilen, verweilen, bleiben, wohnen; obenan stehen;; nicht bei sich selbst se
sTA	shared	3	3	680	496	311	369	185	stehen, — auf in oder an; dastehen, vor Einem stehen, stillstehen, stehen bleiben, Halt machen, zum  | bei Etwas bleiben,; dauernd obliegen,; verharren;; Mädchen —, unverheirathet bleiben | dasein, vorhanden sein, — in oder bei
i	shared	10	7	530	412	172	358	240	gehen, wandern, fahren, fliessen, sich fortbewegen, — verbreiten; kommen; gekommen in | hingehen zu, sich begeben in, nach, zu | wiederkommen
DA	shared	8	12	468	358	162	306	196	setzen, legen, stellen, einfügen, einbringen, — in oder auf; den Stock legen auf,; Strafe verhängen  | hinbringen —, hinschaffen zu; weit wegschaffen | Jmd; versetzen, verhelfen zu, bringen in oder zu
har	shared	4	4	530	351	235	295	116	halten, tragen, auf oder in | herbeischaffen, — bringen, holen | ab-, wegwenden
gam	shared	4	4	367	295	122	245	173	kommen —, hingehen —, sich begeben nach, in, zu oder auf, gelangen nach oder zu, zu Theil werden; | gehen,; beiwohnen; mit Vieh Unzucht treiben; den Beischlaf vollziehen | kommen, gerathen; theilhaftig werden, erlangen;
han	shared	3	3	380	244	135	245	109	abschlagen, herunterschlagen | tödten; mit dem Tode bestrafen, hinrichten lassen | verletzen; beissen
kar	shared	11	15	365	351	131	234	220	bearbeiten, zubereiten, bestellen | machen, machen zu; zur Arzenei gemacht | Etwas; meist; Was?; mit Etwas; anfangen, einen Gebrauch von Etwas machen
pad	shared	7	7	365	267	151	214	116	hinausgehen über; überspringen | versäumen, übertreten | verstreichen lassen
yuj	shared	3	3	335	207	140	195	67	schirren, anschirren mit; fahrend mit | anspannen; in Thätigkeit setzen, in Gebrauch nehmen, zurüsten, ausrüsten; verrichten, darbringen; an | Jmd anstellen bei, beauftragen mit; an die Spitze stellen; beschäftigt mit
var	shared	4	9	230	89	37	193	52	verhüllen, bedecken, zudecken | umschliessen, umringen | schliessen
sad	shared	3	3	267	140	84	183	56	versunken | niedergesunken, erschlafft; matt, erloschen; mitgenommen, erschöpft | todt
BU	shared	4	4	279	188	103	176	85	werden, — zu oder Etwas; entstehen, geschehen, eintreten, sich erheben; zum Vorschein kommen, — aus; | kann —, mag sein, wohl möglich | was werden aus?; geschehen sein um, aus sein mit
viS	shared	4	4	335	238	164	171	74	sich niederlassen, hineintreten —, eingehen —, einziehen —, sich hineinbegeben —, hineinschlüpfen —, | sich; begeben | zuströmen
sar	shared	2	2	250	147	82	168	65	rasch laufen, gleiten, fliessen, zerrinnen; wehen; wettlaufen,; sich anstrengen; aufschnellen | sich entfernen, entlaufen, entfliehen | nachjagen, verfolgen;
pat	shared	6	8	227	142	61	166	81	fliegen, sich in der Luft schnell bewegen; wehen (von Fahnen), dahineilen, fliehen | sich herablassen, sich niederlassen, sich senken; mit dem Kopfe sich Jmd; zu Füssen werfen; sich Jmd | niederfahren;
vas	shared	13	14	249	171	84	165	87	illucescere, hell werden, — sein, leuchten | durch Leuchten Etwas bringen | wegleuchten
as	shared	15	10	223	174	60	163	114	sein, da —, vorhanden sein, existiren; Statt finden, geschehen, sich ereignen; da bin ich | nicht da sein; und auch dieser ist so gut wie nicht da; es ist Nichts da, ich habe Nichts | verloren —, hin —, nicht mehr zu retten sein
