lemma_slp1	group_id	status	shape	method	score	witnesses	flags	failure_class	pwg_sense_ids	pwg_gloss	mw_sense_ids	mw_gloss	apte_sense_ids	apte_gloss	skd_sense_ids	skd_gloss	vcp_sense_ids	vcp_gloss	note	stratum	stratum_census	stratum_population	population_share	sample_weight
maDu	maDu#1	aligned	1-1-1-1-0	attrib+gloss+ls	0.500	rv skdr ts			pwg:56888:2	süss, lieblich, schmeckend; lieblich, angenehm	mw:155768:1	mf( or or )n. ( gen. n. Ved. , , or ; instr. ; dat. ; loc. ) sweet, delicious, pleasant, charming, delightful	ap90:22602:1	a. ( or f. ) [ ] Sweet, pleasant, agreeable, delightful	skd:25968:1	madhu , klī, (manyante viśeṣeṇa jānanti janā yasmin . man + phalipāṭinamimanijanāṃ guk- paṭinākidhataśca . uṇā0 1 . 19 . iti uḥ dhaścāntādeśaḥ . madyam . (yathā, āryyāsapta- śatyām . 425 . madhumadavītavrīḍā yathā yathā lapati sammukhaṃ bālā .. ) kṣīram . jalam . iti …			shared literary witness, weighted 1/df within the lemma	attrib+gloss+ls|mid 0.40-0.69|clean	yes	2	0.000664	0.0398
plava	plava#1	aligned	1-1-1-1-0	attrib+gloss+ls	0.500	skdr vs			pwg:51326:8	ein best. Schwimmvogel	mw:141473:1	m. a kind of aquatic bird (= , , , or , ), &amp;c. &amp;c	ap90:21423:27	3 an aquatic bird, the diver	skd:23649:1	plava , ṅa gatyām . (bhvā0-ātma0-saka0-seṭ .) antaḥsthatṛtīyayuktaḥ . ṅa, plavate . plu ṅa ityane- naiveṣṭasiddhe asya pāṭhaḥ plaviṣyate plavyate ityādi siddhyarthaḥ . iti durgādāsaḥ			shared literary witness, weighted 1/df within the lemma	attrib+gloss+ls|mid 0.40-0.69|clean	yes	2	0.000664	0.0398
dakza	dakza#1	aligned	1-1-0-1-0	attrib+ls	1.000	nir rv santik skdr			pwg:31601:8	rechtem; des Ungeborenen	mw:89330:1	N. of an Āditya (identified with Prajā-pati , ; ; father of Kṛttikā , )			skd:15784:1	dakṣa , ṣa ma ṅa hantyarthe . iti kavikalpadrumaḥ .. (bhvāṃ-ātmaṃ-sakaṃ-seṭ .) ma, adakṣi adākṣi . dakṣaṃ dakṣam . dākṣaṃ dākṣam . mānubandhabalā- danupadhayorapi dīrghaḥ . svamate tu dīrghavidhi- rupadhāṃ nāpekṣate . ṣa, dakṣā . semaktāt saro- rityanenaiveṣṭasiddhe'sy…			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	5	0.001659	0.0398
dakza	dakza#2	aligned	1-1-0-1-0	attrib+ls	0.783	hariv mbh r skdr			pwg:31601:2	tüchtig, tauglich; geschickt, anstellig; gescheidt; verständig; kräftig, geistig; Allen zur Genüge seiend; angemessen, entsprechend; geeignet zu Etwas; ein allen Geliebten genügender Liebhaber	mw:89331:1	N. of one of the Prajā-pati s ( ; ; and ; ; ; &amp;c., ; born from Brahmā 's right thumb, , ; &amp;c.; or from A-ja , ‘the unborn’, ; or son of Pra-cetas or of the of 10 Pra-cetasa s, whence called Prācetasa , , ; ; ; father of 24 daughters by Pra-sūti , ; &a…			skd:15783:1	dakṣa , ṅa syade . vṛddhau . iti kavikalpadrumaḥ .. (bhvāṃ-ātmaṃ-sakaṃ-seṭ .) syada iha śīghrakara- ṇam . ṅa, dakṣate dhanamudyogī . śīghramutpāda- yati ityarthaḥ . iti durgādāsaḥ .. (sāmarthye akarmmako'yam . yathā, ṛgvede . 2 . 1 . 11 . tamiḻā śatamihāsi dakṣase .. …			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	5	0.001659	0.0398
guqa	guqa#1	aligned	1-1-0-1-0	attrib+ls	1.000	katy mbh skdr yajn			pwg:22528:5	trockner, in (runde) Stücke sich ballender Zucker; gekochter Zuckerrohrsaft, Melasse; Sandzucker; mit Melasse vermischtes Wasser; Melasse statt Wasser enthaltend; Reis mit Zucker; in Melasse eingemachte Myrobalane; mit Melasse; in Kugelform	mw:65427:1	sugar which forms itself into lumps, dry sugar, treacle, molasses, first thickening of the juice of the sugarcane by boiling, ; ; ; &amp;c			skd:10969:1	guḍa , i ka veṣṭe . rakṣe . iti kavikalpadrumaḥ .. (curāṃ-paraṃ-sakaṃ-seṭ .) pañcamasvarī . i ka, guṇḍayati . anekārthatvāccūrṇīkaraṇe'pi . guṇḍa- yati hiṅgulaṃ lokaḥ . iti durgādāsaḥ			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	5	0.001659	0.0398
kuSa	kuSa#1	aligned	1-1-0-1-0	attrib+ls	1.000	mbh skdr yajn			pwg:18235:4	das heilige, bei verschiedenen religiösen Ceremonien verwendete Gras; mit; aufgekochtes Wasser	mw:53297:1	the sacred grass used at certain religious ceremonies ( Poa cynosuroides , a grass with long pointed stalks), ; ; &amp;c			skd:8332:1	kuśa i ki dyutau . iti kavikalpadrumaḥ .. (curāṃ pakṣe bhvāṃ paraṃ-akaṃ-seṭ-idit .) pañcamasvarī . i kuṃśyate . ki kuṃśayati kuṃśati . iti durgā- dāsaḥ			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	5	0.001659	0.0398
nala	nala#1	aligned	1-1-0-1-0	attrib+ls	1.000	brahmap skdr			pwg:37896:7	N. pr. eines Daitya _im_	mw:104385:1	of a Daitya			skd:18425:1	nala , ja bandhe . iti nalaśabdasya vyutpattau bharataḥ .. (bhvāṃ-paraṃ-sakaṃ-seṭ ..)			shared literary witness, weighted 1/df within the lemma	attrib+ls|hi >=0.70|clean	yes	5	0.001659	0.0398
SAKa	SAKa#1	aligned	1-1-0-1-0	attrib+ls	0.533	hariv mbh skdr			pwg:98647:2	eine Manifestation; die als sein Sohn gefasst wird	mw:214946:1	m. N. of a manifestation of Skanda or of his son			skd:35276:1	śākha , ṛ vyāptau . iti kavikalpadrumaḥ .. (bhvā0- para0-saka0-seṭ .) ṛ, aśaśākhat . iti durgādāsaḥ			shared literary witness, weighted 1/df within the lemma	attrib+ls|mid 0.40-0.69|clean	yes	4	0.001328	0.0398
ka	ka#1	aligned	1-1-0-1-0	attrib+ls	0.500	nir skdr			pwg:14150:1	eines obersten Gottes, des; der Wer, der Unbekannte; Wind; Sonne; Seele; Feuer; Pfau; a clever or dexterous man; der Liebesgott; Knoten; König der Vögel; König; Körper; Zeit; Reichthum; Laut; Schein, Glanz	mw:41356:1	( ), n. happiness, joy, pleasure, ; &amp;c			skd:5738:1	ka , kakāraḥ . (varṇasya svarūpagrahaṇāya kāraḥ .) sa tu vyañjanaprathamavarṇaḥ . asyoccāraṇasthānaṃ kaṇṭhaḥ . iti vyākaraṇam .. (taṃthā coktam tulyāsya prayatnaṃ savarṇaṃ . 1 . 1 . 9 . siddhāntakaumudyām . akuhavisarjanīyānāṅkaṇṭhaḥ .. iti .. * ..) (vaṅgīyabhāṣāyāṃ)…			shared literary witness, weighted 1/df within the lemma	attrib+ls|mid 0.40-0.69|clean	yes	4	0.001328	0.0398
kuSa	kuSa#2	aligned	1-1-0-1-0	attrib+ls	0.667	hariv ragh skdr			pwg:18235:6	N. pr. eines Sohnes von Vasu Uparicara . eines Sohnes von Balākāśva oder Grossohnes von Balāka und Vaters von Kuśāmba , Kuśanābha (und auch von Vasu ) . . ( ). . . eines Sohnes von Suhotra ( vgl. ) . von Vidarbha . von Rāma ( vgl. ) . . . . . _im_ ( vgl. ). .…	mw:53304:1	of a son of Rāma ( cf. )			skd:8333:1	kuśa ya ir śliṣi . āliṅgana iti yāvat . iti kavikalpadrumaḥ .. (divāṃ-paraṃ-sakaṃ-seṭ .) ya kuśyati bālā kāntam . ir akuśat akośīt . asmāt pūṣāditvānnityaṃ ṅa ityanye . iti durgā- dāsaḥ			shared literary witness, weighted 1/df within the lemma	attrib+ls|mid 0.40-0.69|clean	yes	4	0.001328	0.0398
