attested_form	form_key	dcs_lemma	dcs_upos	target_locus	source_dataset	evidence_count	tense_caveat	attested_via	triage_class
namo	namo	namas	NOUN	dcs:479271	dcs	1403	0	surface	paradigm_gap
jagant	jagant	jagant	NOUN	dcs:479273_1	dcs	1191	0	surface+unsandhied	lexicon_gap
ujjahāra	ujjahāra	uddhṛ	VERB	dcs:479273_1	dcs	58	1	surface+unsandhied	lexicon_gap
tasmai	tasmai	tad	PRON	dcs:479273_1	dcs	3228	0	surface+unsandhied	paradigm_gap
namaskṛtya	namaskṛtya	namaskṛ	VERB	dcs:479273_1	dcs	368	0	surface+unsandhied	lexicon_gap
pravakṣyāmi	pravakṣyāmi	pravac	VERB	dcs:479273_1	dcs	1056	0	surface+unsandhied	lexicon_gap
samanupraveśāt	samanupraveśāt	samanupraveśa	NOUN	dcs:479275	dcs	2	0	surface+unsandhied	lexicon_gap
dharmāṇāṃ	dharmānān	dharma	NOUN	dcs:479276	dcs	65	0	surface	paradigm_gap
kleśānāṃ	kleśānān	kleśa	NOUN	dcs:479276	dcs	7	0	surface	paradigm_gap
samanuśerate	samanuśerate	samanuśī	VERB	dcs:479279	dcs	2	0	surface+unsandhied	lexicon_gap
trividhaṃ	trividhan	trividha	ADJ	dcs:479280	dcs	164	0	surface	paradigm_gap
ākāśaṃ	ākāśan	ākāśa	NOUN	dcs:479281	dcs	117	0	surface	paradigm_gap
dvau	dvau	dvi	NUM	dcs:479281	dcs	2153	0	surface+unsandhied	lexicon_gap
duḥkhaṃ	duḥkhan	duḥkha	NOUN	dcs:479287	dcs	565	0	surface	paradigm_gap
samudayo	samudayo	samudaya	NOUN	dcs:479287	dcs	10	0	surface	paradigm_gap
loko	loko	loka	NOUN	dcs:479287	dcs	343	0	surface	paradigm_gap
rūpaṃ	rūpan	rūpa	NOUN	dcs:479288	dcs	1113	0	surface	paradigm_gap
cakṣus	cakṣus	cakṣus	NOUN	dcs:479289	dcs	423	0	surface+unsandhied	paradigm_gap
viṃśatidhā	vinśatidhā	viṃśatidhā	ADV	dcs:479290	dcs	6	0	surface+unsandhied	lexicon_gap
caturvidho	caturvidho	caturvidha	ADJ	dcs:479291	dcs	16	0	surface	paradigm_gap
acittakasya	acittakasya	acittaka	ADJ	dcs:479292	dcs	2	0	surface+unsandhied	lexicon_gap
upādāya	upādāya	upādā	VERB	dcs:479293	dcs	548	0	surface+unsandhied	lexicon_gap
hy	hy	hi	PART	dcs:479293	dcs	2561	0	surface	paradigm_gap
tejas	tejas	tejas	NOUN	dcs:479294	dcs	960	0	surface+unsandhied	paradigm_gap
daśa	daśa	daśan	NUM	dcs:479298	dcs	6043	0	surface+unsandhied	lexicon_gap
caturbhyaḥ	caturbhya	catur	NUM	dcs:479300	dcs	43	0	surface+unsandhied	lexicon_gap
vijñānaṃ	vijnānan	vijñāna	NOUN	dcs:479302	dcs	164	0	surface	paradigm_gap
prativijñaptiḥ	prativijnapti	prativijñapti	NOUN	dcs:479302	dcs	2	0	surface+unsandhied	lexicon_gap
āyatanaṃ	āyatanan	āyatana	NOUN	dcs:479302	dcs	46	0	surface	paradigm_gap
ṣaḍ	ṣaḍ	ṣaṣ	NUM	dcs:479303	dcs	743	0	surface+unsandhied	lexicon_gap
ṣaṇṇām	ṣannām	ṣaṣ	NUM	dcs:479304	dcs	95	0	surface+unsandhied	lexicon_gap
dhātavo	dhātavo	dhātu	NOUN	dcs:479305	dcs	41	0	surface	paradigm_gap
'ṣṭādaśa	'ṣṭādaśa	aṣṭādaśan	NUM	dcs:479305	dcs	4	0	surface	lexicon_gap
dvi	dvi	dvi	NUM	dcs:479309	dcs	3999	0	surface+unsandhied	lexicon_gap
tisraḥ	tisra	tri	NUM	dcs:479311	dcs	1363	0	surface+unsandhied	lexicon_gap
tvāt	tvāt	tva	NOUN	dcs:479312	dcs	6853	0	surface+unsandhied	paradigm_gap
caittebhyo	caittebhyo	caitta	ADJ	dcs:479313	dcs	1	0	surface	paradigm_gap
vārttamānārthyāt	vārttamānārthyāt	vārtamānārthya	NOUN	dcs:479316	dcs	1	0	surface	lexicon_gap
vārtamānārthyāt	vārtamānārthyāt	vārtamānārthya	NOUN	dcs:479316	dcs	1	0	unsandhied	lexicon_gap
bhautikārthyāt	bhautikārthyāt	bhautikārthya	NOUN	dcs:479316	dcs	2	0	surface+unsandhied	lexicon_gap
āśutara	āśutara	āśutara	ADJ	dcs:479317	dcs	2	0	surface+unsandhied	lexicon_gap
yathāsthānaṃ	yathāsthānan	yathāsthānam	ADV	dcs:479317	dcs	51	0	surface	paradigm_gap
prādhānyād	prādhānyād	prādhānya	NOUN	dcs:479318	dcs	2	0	surface	paradigm_gap
ākhyam	ākhyam	ākhyā	NOUN	dcs:479319	dcs	1035	1	surface+unsandhied	paradigm_gap
jagau	jagau	gā	VERB	dcs:479320	dcs	124	1	surface+unsandhied	paradigm_gap
vāc	vāc	vāc	NOUN	dcs:479321	dcs	3561	0	surface+unsandhied	paradigm_gap
anuvarṇitaḥ	anuvarnita	anuvarṇay	VERB	dcs:479323	dcs	16	0	surface+unsandhied	lexicon_gap
yathāyogaṃ	yathāyogan	yathāyogam	ADV	dcs:479324	dcs	55	0	surface	paradigm_gap
