k1	pw_L	hom	sense_ord	div_n	marker	gloss	witnesses	pw_entry_blocks	pwg_entry_blocks
A	13334	1	1					28	31
A	13334	1	2	1	1〉			28	31
A	13334	1	3	2	a〉	heran, herbei		28	31
A	13334	1	5	2	c〉	gerade, recht, zumal		28	31
A	13334	1	6	1	2〉			28	31
A	13334	1	8	2	b〉	mit Ausschluss von		28	31
A	13334	1	9	2	c〉			28	31
A	13334	1	12	2	d〉			28	31
A	13334	1	14	3		von — an		28	31
A	13334	1	16	1	3〉			28	31
A	13334	1	17	2	a〉	bis zu — sich erstreckend		28	31
A	13334	1	18	2	b〉	bis zu		28	31
A	13334	1	19	2	c〉	etwas, ein wenig, kaum; gering		28	31
A	13335	2	20					28	31
A	13336	3	21					28	31
A	13336	3	22	1	1〉			28	31
A	13336	3	23	2	a〉			28	31
A	13336	3	24	2	b〉	Grossvater		28	31
A	13336	3	25	2	c〉	Rede		28	31
A	13336	3	26	1	2〉			28	31
A	206725	1	27		3〉			28	31
A	213833	1	28					28	31
ABA	15064		1					4	2
ABA	15064		2	1	1〉	Glanz, Licht; Licht, Farbe, Aussehen; ähnlich gefasst	chr	4	2
ABA	15064		3	1	2〉	Acacia arabica	bhavapr	4	2
ABA	15064		4	1	3〉	eine Art Asparagus; Zizyphus	nigh.pr	4	2
ABAradvAja	214207		1				maitr.s	1	0
ABAsa	15070		1					4	2
ABAsa	15070		2	1	1〉	Glanz, Licht; Farbe, Aussehen	chr	4	2
ABAsa	15070		3	1	2〉	blosser Schein, Trugbild	chr	4	2
ABAsa	214208		4				aniruddhazusamkhyas	4	2
ABAsin	15072		1			leuchtend wie		1	1
ABAsura	15073		1			eine best. Götterordnung		1	3
ABAti	15066		1		1〉			1	1
ABAza	15067		1					3	2
ABAza	15067		2	1	1〉	Rede, Sprache		3	2
ABAzaRa	15068		1			Unterredung		1	2
ABAzya	15069		1					3	2
ABAzya	15069		2	1	1〉	einer Unterredung würdig		3	2
ABISava	15102		1			Namen von		1	2
ABIka	15093		1					1	2
ABIkzRa	15094		1					3	1
ABIkzRa	15094		2	1	1〉	wiederholt		3	1
ABIkzRa	15094		3	1	2〉			3	1
ABIkzRya	15095		1			häufige Wiederholung		1	1
ABIla	15100		1					5	3
ABIla	15100		2	1	1〉	schrecklich		5	3
ABIla	206796		4		2〉	traurige Lage	harsac	5	3
ABIla	214217		5					5	3
ABIra	15096		1					12	8
ABIra	15096		2	1	1〉			12	8
ABIra	15096		3	2	a〉			12	8
ABIra	15096		5	1	2〉	zum Volk der; gehörig, ihnen eigen		12	8
ABIra	15096		6	1	3〉			12	8
ABIra	15096		7	2	a〉	zur Kaste der; gehörig; die Frau eines solchen		12	8
ABIra	15096		8	2	b〉	ein best. Metrum		12	8
ABIra	15096		10	2	d〉	eine best.	s.s.s	12	8
ABIra	202630		11		3〉		hem.par	12	8
ABIra	214216		12					12	8
ABIraka	15097		1					3	1
ABIraka	15097		2	1	1〉			3	1
ABIraka	15097		3	1	2〉	eine best.	s.s.s	3	1
ABIrapalli	15098		1			eine Ansiedelung von Kuhhirten		1	1
ABIrika	15099		1		2〉			1	1
ABIvartastotrIya	15101		1				laty	1	0
ABIzaRa	214218		1			Waffe	katy,vivadar	1	0
ABU	15105		1					3	2
ABU	15105		2	1	1〉	gegenwärtig, zur Hand seiend, hülfreich, dienstfertig		3	2
ABU	15105		3	1	2〉	Gehülfe		3	2
ABUmipAla	15109		1			mit Einschluss des Fürsten	hariv	1	0
ABUtasaplavam	15107		1			bis zum Untergang der Geschöpfe, — Welt		1	0
ABUti	15108		1					3	3
ABUti	15108		2	1	1〉	Vermögen, Macht		3	3
ABaNgin	15054		1			ein wenig gebogen	kad	1	0
