slp1	hom	n_leaf_senses	n_loci_senses	n_ls	dcs_evidence	dcs_attested
nAgadanta		5	5	22	8	1
nAgadantaka		3	3	5	3	1
sTA	1	85	82	1339	9304	1
amfta		46	36	206	2814	1
citra		43	40	246	1680	1
han	1	41	41	1239	10052	1
yadi		39	39	361	6501	1
viS	1	33	33	539	2662	1
Siva		33	33	367	3393	1
siD	2	33	32	328	2028	1
nanda		33	32	103	273	1
Druva		32	30	259	1157	1
kAla	1	32	28	129	8488	1
gam	1	31	31	640	18352	1
nIla		31	27	167	1110	1
anu	1	31	30	138	2475	1
padma		31	31	129	1380	1
vftta		30	30	262	969	1
hari	1	29	27	215	2906	1
koSa		29	29	168	566	1
gOra		29	27	165	234	1
sama	2	28	28	413	5839	1
kfzRa		28	27	258	4653	1
aTa		28	21	246	22984	1
Suci		28	28	224	1784	1
ananta		28	28	106	943	1
tIkzRa		28	17	50	1701	1
yoga		27	27	460	4779	1
rohita		27	27	246	266	1
puzkara		27	27	176	509	1
sAvitra		27	27	160	241	1
sTAna		26	26	392	2504	1
Badra		26	25	312	1490	1
sTita		26	25	295	3	1
tantra		26	24	213	622	1
Sukla		26	26	171	1068	1
go		26	26	170	5821	1
aruRa		26	23	154	610	1
piNgala		26	25	153	157	1
lohita		26	25	147	662	1
piRqa		26	23	97	1088	1
antara		25	25	292	3638	1
rasa		25	25	246	10073	1
karaRa	2	25	22	195	1135	1
kumAra		25	25	170	1258	1
vfza	1	25	25	168	517	1
kawa		25	23	73	79	1
sAra	2	24	24	271	964	1
haMsa		24	24	224	739	1
tAla		24	22	159	599	1
candra		24	24	148	1692	1
plava		24	23	139	177	1
kAlika	1	24	24	82	26	1
vasu		23	22	316	2206	1
vijaya		23	23	192	645	1
kumBa		23	21	164	726	1
As	2	22	22	317	1985	1
SuBa		22	22	226	2965	1
saMDi		22	22	224	1000	1
sADana		22	22	181	695	1
bahula		22	22	175	475	1
Gana		22	21	160	1056	1
cakra		22	21	156	1886	1
suvarRa		22	22	144	1193	1
arizwa		22	22	135	384	1
kfta		22	22	118	596	1
ramaRa		22	22	88	72	1
BU	1	21	20	1159	43220	1
sA	3	21	20	297	145	1
sva		21	21	289	9852	1
maDu		21	20	279	3116	1
fta		21	20	268	1000	1
sarasvant		21	21	265	34	1
sOmya		21	21	234	917	1
parigraha		21	21	208	433	1
ganDarva		21	21	193	1738	1
sTiti		21	21	176	802	1
Sveta		21	21	171	1340	1
SiKin		21	20	149	249	1
tAra		21	21	145	1058	1
arjuna		21	21	141	2064	1
kakza		21	17	136	240	1
kamala	1	21	19	104	541	1
pAvana		21	18	88	254	1
akzara		21	18	76	1945	1
sad		20	20	541	1169	1
dA	1	20	20	435	12366	1
hA	2	20	18	429	3071	1
kim		20	17	214	1418	1
guRa		20	20	210	6053	1
daRqa		20	16	206	2046	1
SfNga		20	20	193	829	1
deva	1	20	20	177	23143	1
DAraRa		20	20	169	432	1
vAmana		20	20	160	203	1
rakta		20	15	156	2677	1
droRa		20	19	152	2078	1
grahaRa		20	20	138	897	1
rocana		20	19	132	234	1
lalita		20	20	131	52	1
vajra		20	20	103	2961	1
sumuKa	2	20	20	94	72	1
akza	2	20	20	65	1778	1
suBadra		20	20	58	40	1
i	3	19	19	1403	3747	1
Sri	1	19	19	641	456	1
mfga		19	18	214	1489	1
maDyama		19	18	200	974	1
Bavya		19	18	138	95	1
mADava		19	19	121	590	1
vfka		19	19	115	212	1
anta		19	19	111	5079	1
kaRwaka		19	18	102	283	1
Gawa		19	19	97	547	1
nandin		19	19	81	242	1
mAlin		19	19	73	245	1
ma	2	19	16	36	21	1
sADu		18	16	384	1976	1
satya		18	18	379	4449	1
para		18	18	319	9370	1
uttara	1	18	18	281	4327	1
sTira		18	18	244	793	1
bfhant		18	17	223	524	1
graha		18	18	212	1902	1
vIra		18	17	195	4074	1
prakASa		18	18	164	754	1
kva		18	18	159	1071	1
kUwa	1	18	17	115	322	1
SArada		18	18	113	153	1
BAvana	1	18	16	98	100	1
SaNku		18	18	97	186	1
sudarSana		18	17	79	189	1
kumuda		18	16	73	202	1
tapana		18	18	70	113	1
jIvaka		18	14	65	100	1
DaraRa		18	13	64	47	1
kAka	1	18	12	63	325	1
man		17	17	623	4709	1
vftti		17	17	349	1485	1
BUta		17	17	327	4672	1
pada		17	17	311	3568	1
saYj		17	15	254	478	1
Sukra		17	17	221	1717	1
sma	1	17	17	193	3124	1
manda		17	17	183	1107	1
ca	1	17	17	178	174415	1
BaNga		17	16	167	348	1
vakra		17	17	139	247	1
kuSa		17	16	128	559	1
sita	3	17	17	126	670	1
varAha		17	17	123	365	1
puRqarIka		17	16	118	196	1
nigraha		17	17	117	299	1
ganDa		17	17	110	2758	1
capala		17	17	98	283	1
saha	2	17	17	94	7215	1
nandana		17	17	89	938	1
nara		17	16	87	5101	1
pari		17	16	85	1244	1
aparAjita		17	17	65	221	1
anubanDa		17	16	54	231	1
candraka		17	15	49	31	1
sarvatoBadra		17	17	45	26	1
yam		16	16	902	1101	1
vas	5	16	16	343	2546	1
maRqala		16	16	268	1513	1
BAva		16	16	238	2986	1
suKa		16	16	231	3671	1
soma		16	13	229	5628	1
guru		16	16	215	5141	1
saMsTa		16	15	212	220	1
SAnta	1	16	15	207	20	1
vAruRa		16	14	172	490	1
nAga	1	16	15	163	2813	1
kzama		16	16	151	385	1
vaMSa		16	16	150	1168	1
gati		16	16	147	2608	1
fzaBa		16	14	144	2550	1
jyezWa		16	16	143	972	1
asura		16	14	140	2690	1
mEtra		16	16	134	187	1
samudra	1	16	16	134	1658	1
mUla		16	16	128	3524	1
jaya		16	15	125	1156	1
mAgaDa		16	16	122	249	1
Pala		16	16	116	6392	1
jIva		16	16	114	957	1
viSva		16	15	113	4447	1
Sambara		16	16	111	166	1
caRqa		16	16	103	269	1
pataMga		16	15	91	179	1
tuNga		16	15	89	107	1
muRqa		16	14	84	249	1
grAhya		16	16	76	24	1
aNka		16	16	71	424	1
nAgara		16	12	65	318	1
dIpaka		16	16	64	37	1
jayanta		16	16	64	60	1
karRika		16	16	62	9	1
mohana		16	16	61	100	1
pura		16	16	58	1663	1
vartana		16	16	52	59	1
rOdra		16	16	42	565	1
yA	1	15	15	909	5678	1
vah	1	15	15	722	1857	1
banD		15	15	500	2655	1
api		15	12	446	37474	1
yat		15	15	403	9672	1
SrI	5	15	15	362	5074	1
rUpa		15	15	320	8872	1
varRa		15	15	292	3633	1
vad		15	15	238	3918	1
sidDi		15	15	236	2250	1
dakziRa		15	15	229	3068	1
A	2	15	15	224	5743	1
Atman		15	13	221	13409	1
muKa		15	15	197	5322	1
rajas		15	14	182	1553	1
saMgraha		15	13	178	417	1
BArata		15	15	165	2680	1
kAraRa	1	15	10	144	2571	1
CAya		15	14	138	8	1
saMDya		15	15	138	2	1
arka		15	15	135	1697	1
jAti		15	15	135	1016	1
vyaYjana		15	14	134	166	1
Agama		15	14	127	695	1
puruza		15	15	127	6563	1
viSAla		15	14	122	404	1
Kara		15	15	115	734	1
vAma	1	15	15	115	865	1
vESvAnara		15	15	115	783	1
viSAKa		15	15	110	84	1
yogya		15	15	110	384	1
SiKA		15	15	108	446	1
visarga		15	15	108	219	1
SudDa		15	14	106	512	1
SItala		15	15	98	595	1
Ka	2	15	15	93	756	1
caraRa		15	15	88	831	1
gotra		15	12	83	382	1
jIvana		15	15	82	276	1
puzpa		15	15	81	2370	1
paYcama		15	14	80	1094	1
cara		15	14	75	440	1
kuSala		15	13	71	1165	1
vEjayanta		15	15	71	19	1
Agneya		15	15	65	927	1
surasa		15	15	60	65	1
vapra		15	15	60	60	1
Davala		15	14	59	161	1
suparRa		15	14	56	378	1
cakrin		15	13	51	63	1
jAlaka		15	14	38	26	1
pItaka		15	10	29	55	1
dIrGapattra		15	7	10	9	1
sarj	3	14	13	1087	3	1
mAtra		14	14	360	3146	1
nAman		14	14	281	3386	1
maDya		14	14	258	4330	1
prati	1	14	14	239	2582	1
hasta		14	14	232	2916	1
SUnya		14	14	206	725	1
suraBi		14	14	187	393	1
prakfti		14	14	180	1577	1
SAnti		14	14	178	1019	1
pfTu		14	12	165	632	1
jyotis		14	13	162	1719	1
