anchor_key_slp1	anchor_iast	dcs_lemma_id	dcs_lemma_iast	evidence_count	pre_classification	rationale	axis	n_diff	first_diff_pos	word_len
ABAsin	ābhāsin	214481	ābhāṣin	2	likely-spurious	Single mid-word sibilant difference (position 3 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	3	6
ABaraRa	ābharaṇa	214302	abharaṇa	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
ABrika	ābhrika	213561	abhrikā	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	0	6
ADAraRa	ādhāraṇa	201233	adhāraṇa	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
ADyE	ādhyai	216338	adhyai	1	likely-spurious	Short word (4 chars) with a vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	vowel-length	1	0	4
AGrARa	āghrāṇa	201929	aghrāṇa	3	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AKyAyikA	ākhyāyikā	220777	ākhyāyika	1	worth-a-closer-look	Single word-final vowel-length difference on a 8-char word (position 7) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	7	8
ANgarizWa	āṅgariṣṭha	214508	aṅgāriṣṭha	2	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	0	9
APUka	āphūka	204652	aphūka	3	likely-spurious	Single mid-word vowel-length difference (position 0 of 5) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	5
APUka	āphūka	205812	aphuka	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	0	5
APalaka	āphalaka	171357	aphalaka	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
ASiYj	āśiñj	211026	āsiñj	1	likely-spurious	Single mid-word sibilant difference (position 1 of 5) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	1	5
ASikzA	āśikṣā	214017	aśikṣā	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
ASrayASa	āśrayāśa	225371	āśrāyasa	2	likely-spurious	3 differing positions (sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant+vowel-length	3	3	8
ASreya	āśreya	222174	āsreya	1	likely-spurious	Single mid-word sibilant difference (position 1 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	1	6
ASvinI	āśvinī	60410	aśvinī	46	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
ASvineya	āśvineya	201406	aśvineya	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	8
AYjigavi	āñjigavi	225770	āñjīgavi	1	likely-spurious	Single mid-word vowel-length difference (position 3 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	3	8
Abrahma	ābrahma	177139	abrāhma	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	0	7
AcCanna	ācchanna	171248	acchanna	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
AdAyamAna	ādāyamāna	214411	adayamāna	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	0	9
AdIpta	ādīpta	7579	adīpta	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AdaMSa	ādaṃśa	199178	adaṃśa	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AdiS	ādiś	170717	adiś	2	likely-spurious	Short word (4 chars) with a vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	vowel-length	1	0	4
AdigDa	ādigdha	207026	adigdha	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AdityapraBa	ādityaprabha	226482	ādityaprabhā	5	worth-a-closer-look	Single word-final vowel-length difference on a 11-char word (position 10) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	10	11
AdityavarRa	ādityavarṇa	209580	ādityavarṇā	1	worth-a-closer-look	Single word-final vowel-length difference on a 11-char word (position 10) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	10	11
Adizwa	ādiṣṭa	172373	adiṣṭa	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
AdyakAlika	ādyakālika	209966	adyakālika	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 10) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	10
AgAraDUma	āgāradhūma	203064	agāradhūma	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	9
AgArika	āgārika	170693	agārika	6	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
AgF	āgṝ	159726	āgṛ	1	likely-spurious	Short word (3 chars) with a vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	vowel-length	1	2	3
Agamana	āgamana	201548	agamana	6	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
