attested_form	form_key	dcs_lemma	dcs_upos	target_locus	evidence_count	tense_caveat
tvāt	tvāt	tva	NOUN	dcs:479312	6853	0
rājñ	rājn	rājan	NOUN	dcs:387206	5212	0
ātma	ātma	ātman	NOUN	dcs:590053	5108	0
asmai	asmai	idam	PRON	dcs:748682	3375	0
tasmai	tasmai	tad	PRON	dcs:479273_1	3228	0
striyaḥ	striya	strī	NOUN	dcs:483887	1434	0
śriyaṃ	śriyam	śrī	NOUN	dcs:483769	1356	0
ākhyam	ākhyam	ākhyā	NOUN	dcs:479319	1036	1
satāṃ	satām	sat	ADJ	dcs:464406	909	0
amum	amum	adas	PRON	dcs:748917	829	0
etasmin	etasmin	etad	PRON	dcs:748679_2	784	0
asme	asme	mad	PRON	dcs:650214_5	756	0
mahātmā	mahātmā	mahātman	ADJ	dcs:641926	739	0
tasyai	tasyai	tad	PRON	dcs:748817	728	0
striyaṃ	striyam	strī	NOUN	dcs:483886	722	0
yato	yato	yatas	SCONJ	dcs:484447	702	0
tvāya	tvāya	tva	NOUN	dcs:650089_1	688	0
āpo	āpo	ap	NOUN	dcs:484621	635	0
tamas	tamas	tama	NOUN	dcs:75265	617	0
imāni	imāni	idam	PRON	dcs:748809	610	0
mahātmānaṃ	mahātmānam	mahātman	ADJ	dcs:575023	598	0
āsāṃ	āsām	idam	PRON	dcs:651351	594	0
śvaḥ	śva	śvas	ADV	dcs:75340	551	0
striyāḥ	striyā	strī	NOUN	dcs:483887	547	0
asmat	asmat	mad	PRON	dcs:652640_3	542	0
tebhiḥ	tebhi	tad	PRON	dcs:651869	539	0
nāmā	nāmā	nāman	NOUN	dcs:749179	536	0
aśma	aśma	aśman	NOUN	dcs:653042	502	0
mahātmānaḥ	mahātmāna	mahātman	ADJ	dcs:89633	471	0
asmabhyam	asmabhyam	mad	PRON	dcs:650687_1	450	0
śriyaḥ	śriya	śrī	NOUN	dcs:483870	424	0
plīha	plīha	plīhan	NOUN	dcs:465125	416	0
amuṣya	amuṣya	adas	PRON	dcs:650496_3	411	0
dhiyā	dhiyā	dhī	NOUN	dcs:748689	393	0
dakṣiṇata	dakṣinata	dakṣiṇatas	ADV	dcs:652209	377	0
ānanā	ānanā	ānana	NOUN	dcs:102983	366	0
etasmāt	etasmāt	etad	PRON	dcs:748656_2	352	0
īkṣaṇāḥ	īkṣanā	īkṣaṇa	NOUN	dcs:387207	352	0
hem	hem	heman	NOUN	dcs:37268	339	0
amunā	amunā	adas	PRON	dcs:749165	335	0
kasmin	kasmin	ka	PRON	dcs:651793	298	0
amuṣmai	amuṣmai	adas	PRON	dcs:749165	293	0
madhyataḥ	madhyata	madhya	NOUN	dcs:748744_1	290	0
it	it	id	PART	dcs:748856	284	0
mūrdha	mūrdha	mūrdhan	NOUN	dcs:465907	268	0
asmāsu	asmāsu	mad	PRON	dcs:748883	263	0
devāsa	devāsa	deva	NOUN	dcs:748691	262	0
tattvataḥ	tattvata	tattva	NOUN	dcs:555599	259	0
svāmi	svāmi	svāmin	NOUN	dcs:589901	252	0
prayatnataḥ	prayatnata	prayatna	NOUN	dcs:27539	248	0
pṛṣṭhataḥ	pṛṣṭhata	pṛṣṭhatas	ADV	dcs:484962	241	0
asmad	asmad	mad	PRON	dcs:646140	230	0
duhitrī	duhitrī	duhitṛ	NOUN	dcs:590561	224	0
striyo	striyo	strī	NOUN	dcs:484561	222	0
etasyām	etasyām	etad	PRON	dcs:589946	220	0
nas	nas	mad	PRON	dcs:651466	220	0
kasmai	kasmai	ka	PRON	dcs:687541	218	0
āyudhāḥ	āyudhā	āyudha	NOUN	dcs:484741	216	0
vyom	vyom	vyoman	NOUN	dcs:590220	194	0
dhiyaṃ	dhiyam	dhī	NOUN	dcs:748685	193	0
mayāni	mayāni	maya	ADJ	dcs:749105	182	0
striyāṃ	striyām	strī	NOUN	dcs:749164	182	0
śreyān	śreyān	śreyas	ADJ	dcs:650197_2	180	0
yatnataḥ	yatnata	yatnatas	ADV	dcs:30080	177	0
dyāvā	dyāvā	div	NOUN	dcs:651652	172	0
abhidhaḥ	abhidha	abhidhā	NOUN	dcs:589947	168	0
etāsām	etāsām	etad	PRON	dcs:650801	164	0
anyonyasya	anyonyasya	anyonya	PRON	dcs:651643	160	0
nāmataḥ	nāmata	nāman	NOUN	dcs:484712	159	0
uttarata	uttarata	uttaratas	ADV	dcs:651895	153	0
dharmataḥ	dharmata	dharma	NOUN	dcs:479338	150	0
pratimam	pratimam	pratimā	NOUN	dcs:555633	150	0
yuvānam	yuvānam	yuvan	ADJ	dcs:648851	148	0
vidvasaḥ	vidvasa	vidvas	ADJ	dcs:484740	147	0
tās	tās	tad	PRON	dcs:748698	145	0
kas	kas	ka	PRON	dcs:555568	143	0
nāmbhiḥ	nāmbhi	nāman	NOUN	dcs:30991	143	0
amūḥ	amū	adas	PRON	dcs:650763	142	0
apekṣaḥ	apekṣa	apekṣā	NOUN	dcs:59301	140	0
etasyai	etasyai	etad	PRON	dcs:650856	138	0
in	in	id	PART	dcs:749330	138	0
patraḥ	patra	pattra	NOUN	dcs:647742	138	0
