slp1	hom	sense_id	n_ls	n_ls_resolved	n_dcs_assigned	variant_of	gloss
nAgadanta		1a	3	3	0		Elephantenzahn, Elfenbein H. an. 4,111 . MED. t. 203 . MBH. 12,3630
nAgadanta		1b	6	6	0		Pflock in der Wand zum Anhängen von Sachen H. 1011 . H. an. MED. PAÑCAT. 116,19 . 252,10 / b〉 KATHĀS. 76,24
nAgadanta		2	1	1	0		f. ( adj. comp. ) N. pr. einer Apsaras R. 2,91,17
nAgadanta		3a	8	8	0		N. einer Pflanze, Tiaridium indicum Lehm. H. an. MED. RATNAM. 35 . SUŚR. 1,138,12 . 2,62,6 . 102,9 . 284,8 . 387,16
nAgadanta		3b	4	4	0		= MED. , welches ŚKDR. und WILS. hier durch Hure erklären: aber H. an. hat statt dessen eine best. Arzeneipflanze
nAgadantaka		1a	1	1	0	nAgadanta	Elfenbein VARĀH. BṚH. S. 52,62
nAgadantaka		1b	3	3	0	nAgadanta	Pflock in der Wand zum Anhängen von Sachen AK. 3,4,31,238 . HIT. 27,12 . Schol. zu KĀTY. ŚR. 644,4
nAgadantaka		2	1	1	0	nAgadanta	f. N. einer Pflanze, Tragia involucrata L. RATNAM. 69
sTA	1	7	63	62	0		bestehen ( Gegens. vergehen, zu Grunde gehen): TS. 1,1,2,2 . MUṆḌ. UP. 2,1,9 . M. 4,111 . [Page7-1287] 9,316 . MBH. 5,47
sTA	1	9a	157	157	0		ein im nom. stehendes adj. , insbes. partic. : widersprachen fortwährend AIT. BR. 2,3 . AV. 4,16,6 . 7,60,2 . 8,10,8 . 1
sTA	1	9b	27	27	0		ein absol. : ŚVETĀŚV. UP. 3,16 . MBH. 1,1105 . 3,11844 . 2132 . 2705 . 4,596 . 3,11056 (S. 571) . 11775 . 5,7298 . R. 2,
sTA	1	9c	4	4	0		ein instr. : PAÑCAT. 93,10 . HIT. ed. JOHNS. 2407 . HIT. SCHL. 38,21 . Spr. (II) 4446
sTA	1	9d	9	9	0		ein adv. : sich anders verhalten R. 4,43,65 . Spr. (II) 4480 . verlegen dastehen ŚĀK. 38,4 . HIT. 14,22 . Spr. (II) 3769
sTA	1	10	53	51	0		dasein, vorhanden sein, sich vorfinden M. 8,158 . R. 2,57,29 . 4,5,10 . Spr. (II) 6247 . 6168 . KATHĀS. 3,50 . 43,58 . P
sTA	1	12	47	46	0		sich bei Jmd befinden, bei Jmd angetroffen werden, zu Jmdes Verfügung stehen, Jmd gehören, esse alicui; mit gen. und loc
sTA	1	13	2	2	0		geheftet —, gerichtet sein auf ( loc. ): HARIV. 3841 . BHAṬṬ. 8,12
sTA	1	14	8	8	0		ruhen —, beruhen auf, gegründet —, beschlossen sein in ( loc. ): ṚV. 7,101,4 . 1,164,36 . VS. 31,19 . AV. 6,138,4 . Spr.
sTA	1	15	19	18	1		Jmd still halten zu Etwas, sich fügen in, dienen zu; mit einfachem oder doppeltem dat. : ṚV. 4,54,5 . 8,85,1 . 9,62,27 .
sTA	1	16	2	2	0		erstehen aus ( abl. oder gen. ): ṚV. 4,51,1 . CHĀND. UP. 6,12,2
sTA	1	17	2	2	0		abstehen von Etwas, sich eines Bessern besinnen: M. 7,108 . MBH. 3,1946
sTA	1	18	12	12	0		dahingestellt —, unberücksichtigt —, unerörtert bleiben, nicht von Belang sein; nur im imperat. : so v. a. darauf kommt 
sTA	1	19a	12	12	0		stehend ṚV. 1,108,1 (auf dem Wagen). RAGH. 2,29 . was steht, — sich nicht bewegt ( Gegens. ) ṚV. 7,32,22 . 66,15 . 101,6
sTA	1	19b	2	2	0		sich befindend in ( loc. ): ṚV. 1,72,4 . so v. a. im Besitz seiend HARIV. 3064
sTA	1	19c	4	4	0		beschäftigt mit ( loc. ), obliegend: RĀJA-TAR. 3,370 . RAGH. 3,62 . so v. a. dem Vater gehorchend, — folgend 11,65 . ver
sTA	1	19d	1	1	0		der inne gehalten hat: so v. a. schwieg er HARIV. 10219
sTA	1	19e	2	2	0		ausharrend, beharrlich: (= NĪLAK. ) MBH. 2,32
sTA	1	19f	3	3	0		bereit zu ( dat. ): HARIV. 5667 . — caus. P. 7,4,5 . VOP. 18,9
sTA	1	8a	87	87	0		in act. Bed. α〉 stehend: MBH. 1,3572 . 13,997. fg. 1,7627 . 5,7349 . 13,867 . steckend, stecken geblieben: M. 5,141 . MB
sTA	1	8b	70	69	0		mit pass. Bed. α〉 bewohnt, besetzt von ( instr. oder im comp. vorangehend): MBH. 3,12198 . R. 1,1,32 ( 34 GORR. ). KĀM. 
sTA	1	11a	48	48	0		mit act. Bed. α〉 befolgend, sich richtend nach, nachahmend; mit acc. : M. 10,127 . — β〉 obliegend, mit acc. : MBH. 13,20
sTA	1	11b	60	60	0		mit pass. Bed. α〉 begleitet, unterstützt: (sic) TS. 2,4,12,3 . — β〉 dem man obgelegen hat, betrieben, geübt, ausgerichte
sTA	1	4a	33	33	0		ein adj. : BHAG. 6,18 . HARIV. 8727 ( act. ). Spr. (II) 4729 . KATHĀS. 37,63 . BHĀG. P. 6,11,12 . VEDĀNTAS. (Allah.) No.
sTA	1	4b	91	90	0		ein absol. : MBH. 1,5770 . (so ed. Bomb. ) 3,187 . Spr. (II) 178 . R. 3,76,37 / b〉 der sich an Etwas gemacht hat: R. 1,6
sTA	1	4c	30	30	0		ein instr. : MBH. 1,5080 . KATHĀS. 29,178 . ŚAṂK. _bei_ WINDISCHMANN, Sancara 142 . BHĀG. P. 2,2,12 . 3,28,44 . PAÑCAT. 
