rank	root_iast	dcs_lemma	grammar_class	dcs_status	attested_count	coverage_pct	top_attested_forms
1	1 kṛ / 2 kṛ / 3 kṛ	kṛ	1,2,6	homonym_shared	40799	7.4241	kṛtvā:6008; kuryāt:2720; kṛta:2601; karoti:2396; kṛtam:1646; kurute:1170; kṛtaṃ:1052; kuru:878; cakāra:871; cakre:852; kṛtaḥ:740; kuryād:677; kriyate:665; kurvanti:665; kāryaṃ:608
2	bhū	bhū	1	matched	40393	14.7743	bhavati:9633; bhavet:5615; bhavanti:3200; bhaviṣyati:2001; abhavat:1697; bhūtvā:1535; abhūt:1372; babhūva:1220; bhava:945; 'bhavat:909; bhaved:771; bhavaty:543; bhaviṣyanti:500; bhūtam:489; abhavan:440
3	1 as / 2 as	as	2,4	homonym_shared	35753	21.2802	syāt:5508; asi:5164; asti:3927; āsīt:1833; syād:1790; astu:1733; 'si:1482; asmi:1460; 'smi:744; syuḥ:716; sati:703; stha:663; santi:641; 'sti:585; san:581
4	vac	vac	2	matched	33948	27.4576	uvāca:13880; ucyate:2868; uktam:2586; uktvā:2372; uktaḥ:1698; ūcuḥ:889; ukta:789; uktaṃ:704; uktā:587; vakṣyāmi:566; ukte:556; avocat:538; vaktum:408; uktāḥ:394; ukto:316
5	gach / gam	gam	6	homonym_shared	18341	30.7951	gatvā:1938; gataḥ:1522; gatam:1155; jagāma:1140; gacchati:966; gaccha:890; gata:788; gatāḥ:730; gate:727; gacchet:518; gatā:490; gacchanti:397; gato:293; jagmuḥ:253; agamat:247
6	dṛś	dṛś	4	matched	14866	33.5002	dṛṣṭvā:5327; dadarśa:1083; dṛśyate:809; paśyati:533; dṛṣṭa:487; dṛṣṭaḥ:351; dṛśyante:330; dṛṣṭā:320; dṛṣṭaṃ:296; draṣṭuṃ:290; paśyanti:287; draṣṭum:257; dadṛśuḥ:216; dadṛśe:215; paśyāmi:211
7	1 dā / 2 dā / 3 dā / 4 dā	dā	1,4	homonym_shared	12008	35.6853	dattvā:1825; dadyāt:1442; dadāti:791; dadau:699; datta:407; dehi:402; dattaṃ:389; dadyād:376; deyaṃ:350; dadāmi:268; dattam:244; deyam:234; dattā:220; dīyate:197; dāsyāmi:146
8	1 vid / 2 vid	vid	1,2	homonym_shared	11314	37.744	veda:2359; vidyate:1085; vidvān:840; viduḥ:646; vidyāt:619; viddhi:505; viditvā:403; vetti:225; vettha:203; vindate:190; vidyād:187; viditaṃ:184; vindati:175; vidur:137; vidita:112
9	śru	śru	4	matched	10505	39.6556	śrutvā:3776; śṛṇu:1453; śrutam:425; śrotum:392; śrūyate:298; śrutaṃ:275; śṛṇuṣva:214; śṛṇoti:200; chrutvā:180; śuśrāva:167; śrūyatāṃ:164; śrutaḥ:155; śṛṇuyāt:132; śrotuṃ:129; śruta:127
10	brū	brū	6	matched	9781	41.4354	abravīt:3486; brūhi:797; 'bravīt:623; brūyāt:585; abruvan:562; bravīmi:363; abravīd:334; brūyād:273; 'bravīd:258; brūte:192; bruvan:181; 'bruvan:128; bruvāṇaṃ:86; brūta:77; bravīhi:77
