root	preverb	sense	gita_count	prefixus_forms	prefixus_sample_form	class_freqs	sources
abhavastṛ						9:1	classfreq
abhibandh						9:1	classfreq
abhibhañj						7:1	classfreq
abhibhā						2:2	classfreq
abhibhāṣ						1:264	classfreq
abhibhū						1:407	classfreq
abhibhūṣay						10:1	classfreq
abhibādh						1:1	classfreq
abhicakṣ						2:16	classfreq
abhicar						1:34	classfreq
abhicchāday						10:3	classfreq
abhicintay						10:15	classfreq
abhicoday						10:37	classfreq
abhicumb						1:1	classfreq
abhidah						1:2	classfreq
abhidarśay						10:3	classfreq
abhidaṁś						1:5	classfreq
abhidharṣay						10:1	classfreq
abhidheyīkṛ						8:1	classfreq
abhidhi						5:1	classfreq
abhidhvaṁs						1:1	classfreq
abhidhyai						2:48	classfreq
abhidhā						3:959	classfreq
abhidhāray						10:2	classfreq
abhidhāv						1:268	classfreq
abhidhṛ						1:1	classfreq
abhidhṛṣ						5:1	classfreq
abhidih						2:1	classfreq
abhidiś						6:1	classfreq
abhidru						1:475	classfreq
abhidruh						6:14	classfreq
abhidrāvay						10:2	classfreq
abhidu						5:1	classfreq
abhiduh						2:2	classfreq
abhidyotay						10:3	classfreq
abhidā						3:4	classfreq
abhidāpay						10:1	classfreq
abhidāray						10:1	classfreq
abhidās						1:41	classfreq
abhidīkṣ						1:3	classfreq
abhidīpay						10:2	classfreq
abhidūṣay						10:2	classfreq
abhidṛś						6:11	classfreq
abhigad						1:1	classfreq
abhigam						1:532	classfreq
abhigamay						10:4	classfreq
abhigarj						1:28	classfreq
abhigarv						1:1	classfreq
abhighrā						1:14	classfreq
abhighāray						10:41	classfreq
abhighātay						10:7	classfreq
abhigrah						9:16	classfreq
abhigras						1:1	classfreq
abhigrāhay						10:1	classfreq
abhigup						1:25	classfreq
abhigur						6:2	classfreq
abhigā						3:72|4:13	classfreq
abhigṛ						9:4	classfreq
abhigṛdh						9:1	classfreq
abhihan						4:489	classfreq
abhihary						1:1	classfreq
abhiharṣay						10:8	classfreq
abhiheṣ						1:1	classfreq
abhihiṁs						7:1	classfreq
abhihiṅkṛ						5:5	classfreq
abhihu						3:26	classfreq
abhihve						4:3	classfreq
abhihā						3:1	classfreq
abhihāray						10:11	classfreq
abhihṛ						2:13	classfreq
abhihṛṣ						4:1	classfreq
abhijalp						1:6	classfreq
abhijan						4:129	classfreq
abhijap						1:7	classfreq
abhiji						1:17	classfreq
abhijuṣ						6:4	classfreq
abhijval						1:3	classfreq
abhijñā						9:204	classfreq
abhikalpay						10:2	classfreq
abhikamp						1:4	classfreq
abhikampay						10:1	classfreq
abhikarśay						10:1	classfreq
abhikhan						1:1	classfreq
abhikhyā						2:7	classfreq
abhikhyāpay						10:4	classfreq
abhikram						1:62	classfreq
abhikramay						10:1	classfreq
abhikrand						1:7	classfreq
abhikrudh						4:32	classfreq
abhikruś						1:6	classfreq
abhikrāmay						10:1	classfreq
abhikrī						9:1	classfreq
abhikuṣ						9:1	classfreq
abhikāmay						10:18	classfreq
abhikāṅkṣ						1:53	classfreq
abhikīrṇīkṛ						8:1	classfreq
abhikṛ						6:9|8:1	classfreq
abhikṛt						6:3	classfreq
abhikṛṣ						1:2	classfreq
abhikṣan						8:1	classfreq
abhikṣar						1:9	classfreq
abhikṣip						6:4	classfreq
abhikﾱp						1:3	classfreq
abhilabh						1:4	classfreq
abhilakṣ						1:9	classfreq
abhilakṣay						10:9	classfreq
abhilap						1:12	classfreq
abhilaṅghay						10:6	classfreq
abhilaṣ						4:113	classfreq
abhilekhay						10:2	classfreq
abhilepay						10:1	classfreq
abhilikh						6:10	classfreq
abhiliṅg						1:1	classfreq
abhilobhay						10:2	classfreq
abhilul						1:1	classfreq
abhilup						6:1	classfreq
abhilāṣībhū						1:1	classfreq
abhilī						4:5	classfreq
abhimad						1:2	classfreq
abhiman						4:223	classfreq
abhimanth						9:9	classfreq
abhimarday						10:1	classfreq
abhimarśay						10:1	classfreq
